"abandon",-1.81,-1.03,1.2
"abuse",-2.62,-1.96,1.13
"accuse",-1.88,-0.97,1.34
"address",1.52,1.26,-0.64
"admonish",2.58,2.09,-1.4
"advise",2.27,2.02,-1.47
"agree_with",1.68,0.88,-0.56
"aid",2.28,1.84,-1.02
"amuse",1.45,0.71,0.18
"analyze",1.62,1.11,-0.51
"answer",1.71,1.02,-0.92
"apologize_to",2.74,1.65,-1.57
"appeal_to",-0.79,-1.11,0.19
"applaud",0.84,0.09,-0.13
"apprehend",-1.15,-2.03,-0.86
"approach",1.06,0.89,-0.15
"argue_with",-1.44,-0.56,1.46
"arrest",0.52,1.38,1.47
"ask_about_something",1.5,1.06,-0.94
"ask_out",1.11,0.46,-0.28
"assault",-2.96,-0.84,2
"assist",2.81,1.97,-1.3
"attack",-2.11,-0.3,1.56
"babble_to",-1.29,-0.59,1.19
"banter_with",1.46,0.64,0.03
"baptize",-0.17,0.2,0.33
"bargain_with",0.18,-0.07,-0.01
"barter_with",-0.33,0.33,0.06
"bash",-2.67,0.18,2.18
"bawl_out",-0.61,-0.13,0.51
"be_intimate_with",1.75,1.09,-0.77
"be_sarcastic_toward",-1.71,-1.42,1.06
"beat_up",-2.64,-0.72,2.19
"beckon_to",0.07,-0.2,-0.39
"bed",0.22,0.51,-0.11
"beg",-1.17,-0.94,-0.58
"belittle",-2.17,-1.59,1.18
"bellow_at",-2.35,-1.24,1.91
"beseech",-0.98,-1.12,-0.05
"bill",0.35,0.23,-0.07
"bind",-1.22,0.18,0.85
"bite",-1.26,-0.3,1.44
"blabber_to",-0.51,-0.65,0.73
"blame",-1.4,-0.95,1.34
"bless",2.19,1.66,-1.2
"bootlick",-1.47,-1.37,0.5
"booze_with",-1.6,-1.22,1.1
"borrow_money_from",-0.03,-0.46,-0.33
"boss_around",-1,-0.27,0.82
"bow_to",-0.74,-0.84,-1.07
"bribe",-2.88,-2.51,0.91
"brief",0.66,0.57,-0.63
"browbeat",-2.23,-0.61,1.78
"brutalize",-2.8,-1.22,1.55
"care_for",2.27,1.04,-0.41
"caress",2.06,1.27,-0.68
"caution",1.7,1.23,0.18
"challenge",0.95,1.23,0.7
"chase",-1.4,0.41,1.33
"chastise",1.2,1.05,0.01
"chat_up",1.98,1.12,-0.67
"chat_with",1.24,0.89,-0.07
"chatter_to",-1.17,-1.17,1.67
"cheat",-2.3,-1.79,1.21
"cheat_on",-2.81,-1.71,1.1
"cheer",3.06,2.06,-0.94
"cheer_up",3,1.85,-0.74
"choke",-2.52,0.01,1.51
"cling_to",1.32,1.03,-0.53
"club",-2.05,-0.48,1.61
"collaborate_with",3.03,2.3,-1.26
"combat",-1.27,0.47,1.98
"comfort",2.85,1.98,-1.53
"command",-0.92,0.68,1.12
"compensate",1.38,0.89,-0.58
