Z000000000	-0.05	-0.1	0.14	-0.09	0.06	0.23	0.16	-0.42	-0.09
Z100000000	0.41	0	0.05	0.11	0	0.02	0	0	0
Z010000000	0	0.56	0	0	0.16	-0.06	0	0	0
Z001000000	0	0.06	0.77	0	0	0.33	0	0	0
Z000100000	0.42	-0.14	-0.06	0.58	-0.17	0.04	0.11	0.12	0.02
Z000010000	-0.02	0.44	0	0	0.67	0	0	-0.11	0
Z000001000	-0.1	0	0.29	-0.12	0	0.64	0	0	0
Z000000100	0.03	0.04	0	0	0.03	0	0.61	-0.15	0.03
Z000000010	0.06	0	0	0.05	-0.04	0	0	0.66	-0.05
Z000000001	0	0	0	0	0	0	-0.05	0.07	0.83
Z100100000	0.05	0	0	0	0.01	0	0.03	0	0
Z100000010	0.03	0	0	0	0	0	0	0	0
Z010010000	0	-0.05	0	0	0	0	0	0	0
Z001001000	0	0	-0.06	0	0	0	0	0	0
Z000100100	0.12	0.01	0	0.11	0.01	0	0.04	0.03	0
Z000100010	-0.05	0	0	-0.05	0	0	0	0.03	0
Z000010100	-0.05	0	0	-0.02	0	0	-0.03	0	0
Z000010010	0	0	0	0	0	0	0	-0.05	0
Z100100100	0.03	0	0	0.02	0	0	0	0	0
Z100100010	-0.02	0	0	0	0	0	0	0	0
