"no_emotion",0,0,0," 10 100000000 000"
"abandoned",-1.15,-1.93,-0.87," 10 000100000 000"
"absent_minded",-0.44,-0.64,-0.65," 10 010000000 000"
"abusive",-1.99,-0.11,1.48," 10 010000000 000"
"accommodating",0.97,0.33,-0.21," 10 010000000 000"
"active",1.62,1.43,2.18," 10 010000000 000"
"adventurous",1.29,1.01,2.13," 10 010000000 000"
"affectionate",2.26,0.9,0.51," 10 010000000 000"
"afraid",-0.57,-1.77,-0.11," 10 100000000 000"
"aggressive",-0.17,1.92,1.74," 10 010000000 000"
"agreeable",1.71,0.21,-0.18," 10 010000000 000"
"aimless",-1.43,-1.98,-0.41," 10 010000000 000"
"alert",1.15,1.17,1.82," 10 010000000 000"
"aloof",-0.5,-0.41,0.24," 10 010000000 000"
"ambitious",1.33,1.63,1.61," 10 010000000 000"
"amusing",1.7,0.37,1.05," 10 010000000 000"
"angry",-0.72,0.34,1.5," 10 100000000 000"
"annoyed",-1.05,0.07,0.43," 10 100010000 000"
"annoying",-1.1,-0.35,1.12," 10 010000000 000"
"antisocial",-1.55,-1.02,-0.68," 10 000100000 000"
"anxious",-0.18,-0.02,0.91," 10 100000000 000"
"apathetic",-0.61,-0.72,-0.27," 10 110000000 000"
"appreciative",1.78,0.89,-0.15," 10 110000000 000"
"apprehensive",-0.33,-1.07,-0.18," 10 100000000 000"
"aroused",1.49,1.22,1.74," 10 000000000 000"
"arrogant",-0.87,0.83,1.48," 10 010000000 000"
"ashamed",-0.63,-0.69,-0.63," 10 100010000 000"
"astonished",0.28,0.12,0.67," 10 010000000 000"
"attractive",1.08,1.27,1.11," 10 000100000 000"
"authoritarian",-0.28,1.79,-0.15," 10 010000000 000"
"average",0.16,-0.31,-0.02," 10 001000000 000"
"awkward",-0.66,-0.8,0.18," 10 000100000 000"
"bad",-2.05,-0.39,0.25," 10 001000000 000"
"baptist",0.75,0.59,0.07," 10 001000000 000"
"belligerent",-1.13,0.65,0.94," 10 010000000 000"
"betrayed",-1.46,-0.79,-0.08," 10 000100000 000"
"bitchy",-1.75,0.51,1.43," 10 010000000 000"
"bitter",-1.29,-0.22,-0.11," 10 100010000 000"
"black",0.79,-0.17,1.01," 10 001000000 000"
"blue",-0.51,-0.65,-0.49," 10 100000000 000"
"bold",0.75,2.4,1.77," 10 010000000 000"
"bored",-1.48,-0.84,-0.24," 10 010100000 000"
"boring",-1.44,-1.52,-1.32," 10 000100000 000"
"bossy",-1.39,0.84,1.23," 10 010000000 000"
"brave",1.75,1.69,1.03," 10 010000000 000"
"bright",1.41,1.84,0.86," 10 010000000 000"
