"","term","E","P","A","instcodes"
"1","abandon",-1.895,-0.195,-0.89," 01 111111110 000"
"2","abduct",-2.285,0.105,-0.355," 10 101100001 011"
"3","abuse",-2.095,0.18,-0.24," 10 101000011 100"
"4","acclaim",1.73,0.91,1.645," 10 000100000 010"
"5","accommodate",1.35,1.095,0.92," 10 111111111 000"
"6","accuse",-0.875,0.52,-0.15," 10 111111111 010"
"7","admire",1.795,1.385,1.56," 01 111111111 100"
"8","admonish",0.71,0.675,0.045," 10 011111111 000"
"9","adore",0.92,0.745,1.27," 01 000000111 000"
"10","affront",-1.9,0.32,-0.285," 01 111111111 000"
"11","aggravate",-2.155,0.00499999999999999,-1.005," 01 111111111 100"
"12","agitate",-1.18,0.505,0.19," 01 111111111 100"
"13","agree_with",1.37,1.025,0.92," 10 111111111 000"
"14","aid",2.175,1.87,1.395," 10 111111111 000"
"15","alert",1.215,1.285,0.575," 10 010101000 000"
"16","alienate",-1.395,-0.12,-0.99," 01 111111110 010"
"17","amuse",1.71,0.97,1.615," 11 111111111 100"
"18","anger",-1.335,0.82,0.17," 01 111111111 000"
"19","annihilate",-0.235,1.19,0.045," 10 000100000 001"
"20","annoy",-1.665,0.515,-0.285," 01 111111111 000"
"21","answer",0.96,0.725,0.795," 10 111111111 000"
"22","antagonize",-1.51,0.455,-0.785," 01 111111111 000"
"23","ape",-0.05,-0.1,0.305," 01 100000000 010"
"24","apologize_to",1.17,0.795,0.46," 10 111111111 000"
"25","appeal_to",0.85,0.405,0.485," 10 111111111 000"
"26","appease",1.315,0.395,0.205," 10 011110110 000"
"27","applaud",1.805,1.44,1.865," 10 111111111 010"
"28","appoint",0.795,1.13,0.7," 10 000100000 010"
"29","appreciate",1.905,0.965,1.5," 01 111111101 000"
"30","apprehend",-0.565,1.105,0.19," 10 001000000 001"
"31","approach",0.925,0.435,1.085," 10 111111111 010"
"32","argue_with",0.37,1.075,1.45," 10 111111111 000"
