"","term","E","P","A","instcodes"
"1","abandon",-1.81,-0.17,-0.63," 01 111111110 000"
"2","abduct",-2.11,-0.01,-0.31," 10 101100001 011"
"3","abuse",-2.09,-0.15,-0.05," 10 101000011 100"
"4","acclaim",1.59,0.86,1.88," 10 000100000 010"
"5","accommodate",1.17,1.14,0.49," 10 111111111 000"
"6","accuse",-0.79,0.52,0.31," 10 111111111 010"
"7","admire",1.72,1.25,1.53," 01 111111111 100"
"8","admonish",0.9,0.8,0.4," 10 011111111 000"
"9","adore",0.71,0.44,0.93," 01 000000111 000"
"10","affront",-1.74,0.42,-0.47," 01 111111111 000"
"11","aggravate",-1.98,-0.14,-0.92," 01 111111111 100"
"12","agitate",-0.92,0.39,0.22," 01 111111111 100"
"13","agree_with",1.08,0.89,0.65," 10 111111111 000"
"14","aid",2.02,1.49,1.16," 10 111111111 000"
"15","alert",1.44,1.39,0.75," 10 010101000 000"
"16","alienate",-1.42,-0.47,-0.97," 01 111111110 010"
"17","amuse",1.84,1,1.62," 11 111111111 100"
"18","anger",-1.15,0.61,0.24," 01 111111111 000"
"19","annihilate",-0.08,1.18,0.29," 10 000100000 001"
"20","annoy",-1.58,0.36,-0.18," 01 111111111 000"
"21","answer",0.81,0.79,0.7," 10 111111111 000"
"22","antagonize",-1.34,0.33,-0.58," 01 111111111 000"
"23","ape",0.07,-0.13,0.23," 01 100000000 010"
"24","apologize_to",1.34,0.89,0.51," 10 111111111 000"
"25","appeal_to",0.91,0.24,0.39," 10 111111111 000"
"26","appease",1.26,0.64,0.19," 10 011110110 000"
"27","applaud",1.77,1.31,1.88," 10 111111111 010"
"28","appoint",1.08,1.01,0.9," 10 000100000 010"
"29","appreciate",1.73,0.9,1.37," 01 111111101 000"
"30","apprehend",-0.64,1.19,0.19," 10 001000000 001"
"31","approach",1.08,0.58,1.2," 10 111111111 010"
"32","argue_with",0.39,1.17,1.34," 10 111111111 000"
"33","arouse",1.47,1.1,1.16," 01 000000001 101"
"34","arrest",-0.28,1.12,-0.03," 10 001000000 001"
"35","ask_about",1.08,0.45,1.36," 01 111111111 010"
"36","assail",-0.74,1.51,0.89," 10 001100110 001"
"37","assault",-0.85,1.16,-0.16," 10 001000000 001"
"38","assist",1.43,1.34,1.25," 10 111111111 000"
"39","astonish",0.13,0.73,0.95," 01 111111111 000"
"40","astound",0.41,1.38,0.69," 01 111111111 000"
"41","attack",-1,1.62,0.91," 10 001100010 001"
"42","authorize",0.77,1.66,0.45," 10 011111100 010"
"43","avoid",-0.48,-0.6,-0.74," 01 111111110 010"
"44","awaken",1.2,1.04,0.59," 10 100000000 000"
"45","backstab",-1.78,0.24,-0.03," 01 011110000 010"
"46","bait",-1.03,0.33,0.04," 01 111100100 000"
"47","ban",-0.85,1.15,-0.81," 10 010100110 010"
"48","banish",-0.92,1.25,0.56," 10 000100000 010"
"49","bankrupt",-1.61,-0.83,-0.99," 10 010000000 010"
"50","bawl_out",-0.61,0.91,0.67," 10 111111111 000"
"51","be_sarcastic_toward",-1.31,0.11,0.08," 10 100010011 000"
"52","beckon",0.96,0.86,0.65," 10 100000011 010"
"53","befriend",1.92,1.3,1.55," 01 100100000 000"
"54","beg",0.23,-0.25,-0.31," 10 111111111 000"
"55","believe",1.37,0.83,0.96," 01 111111111 000"
"56","berate",-0.38,0.74,0.61," 10 111111111 100"
"57","betray",-2.01,0.06,-0.39," 01 001100111 010"
"58","bewilder",-0.64,-0.01,-0.48," 01 111111111 000"
"59","bias",-1.56,-0.52,-0.72," 01 000100000 010"
"60","bind",-1.66,1.09,-0.34," 10 001000001 001"
"61","blackmail",-2.04,0.44,-0.56," 10 011100000 010"
"62","blame",-0.52,0.74,-0.15," 10 111111111 010"
"63","bless",2.1,0.96,1.75," 10 000000100 000"
"64","bluff",-1.03,0.41,0.16," 01 111100010 000"
"65","borrow_money_from",-0.91,-1.05,-0.76," 10 010000000 000"
"66","boss",0.56,1.45,0.78," 10 110101011 000"
"67","breastfeed",1.73,1.16,0.75," 10 000000010 001"
"68","bribe",-2.19,-0.57,-0.56," 10 011100000 110"
"69","brutalize",-1.66,0.85,-0.67," 10 101100011 001"
"70","bully",-2.1,0.31,-0.33," 10 100100011 001"
"71","butter_up",-0.38,-0.39,0.41," 01 111111111 000"
"72","calm",1.34,0.77,-0.01," 01 111111111 100"
"73","captivate",-1.11,-0.12,-0.21," 01 110111111 000"
"74","capture",0.51,1.05,0.74," 10 001100000 011"
"75","care_for",1.83,1.01,1.64," 10 000001000 101"
"76","caress",1.95,1.11,1.03," 10 000000011 001"
"77","caution",0.94,1.2,0.19," 10 111111111 100"
"78","challenge",1.47,1.87,1.64," 10 111111111 100"
"79","charm",1.82,1.71,1.4," 01 111111111 000"
"80","chase",-0.14,0.56,0.92," 10 001000001 000"
"81","chatter_to",-1.74,-0.76,-0.66," 10 111111111 100"
"82","cheat",-1.69,-0.16,-0.59," 01 011100000 000"
"83","cheer_up",1.68,1.18,1.16," 11 100111111 000"
"84","chide",-1,0.09,0," 10 111111111 000"
"85","choke",-1.72,0.08,-1.57," 10 001000011 001"
"86","coach",1.62,1.01,0.89," 10 011111111 010"
"87","coax",-1.13,-0.28,0.18," 01 111111111 100"
"88","coddle",-1.42,-0.49,-0.15," 11 000001011 100"
"89","coerce",-1.62,0.97,0.16," 10 111111111 000"
"90","combat",0.18,1.27,0.8," 10 001100000 000"
"91","comfort",1.62,1.31,0.79," 11 111111111 100"
"92","command",0.24,1.33,-0.08," 10 011111111 000"
"93","commend",1.47,1.21,1.24," 10 011111111 010"
"94","compensate",1.1,0.89,0.55," 10 010100000 010"
"95","compliment",1.76,1.43,1.63," 10 111111111 000"
"96","concur_with",1.34,0.76,0.94," 10 011111111 010"
"97","condemn",-0.61,1.25,-0.13," 10 001100000 110"
"98","conduct",0.53,0.49,0.32," 10 010000100 000"
"99","confide_in",-0.88,0.09,-0.66," 10 000111111 000"
"100","confront",-0.11,1.06,1," 10 111111111 100"
"101","confuse",-1,-0.5,-0.81," 01 111111111 100"
"102","congratulate",2.05,1.3,1.73," 10 111111111 100"
"103","consider",1.47,0.63,0.72," 01 111111111 010"
