"","term","E","P","A","instcodes"
"1","abortionist",-0.785,0.28,-0.75," 11 000001001 011"
"2","academic",1.53,0.735,-0.395," 11 000010000 000"
"3","accountant",0.805,0.26,0.07," 11 010000000 000"
"4","accounting_clerk",0.755,0.135,0.04," 11 010000000 000"
"5","accuser",-0.545,-0.745,-0.875," 11 111100000 000"
"6","acquaintance",1.495,0.835,1.68," 11 100000000 000"
"7","actor",1.15,0.67,1.91," 11 110000000 000"
"8","acupuncturist",1.065,0.84,-0.37," 11 000001000 000"
"9","admiral",1.895,2.39,0.78," 11 000100000 000"
"10","adolescent",1.585,0.51,2.43," 11 100000010 000"
"11","adult",0.62,1.375,-0.29," 11 101000010 000"
"12","adulterer",-2.885,-0.19,0.12," 10 000000011 001"
"13","adulteress",-2.43,-0.56,1.315," 01 000000011 001"
"14","advisor",1.695,1.56,0.36," 11 110110000 000"
"15","aggressor",-1.25,1.515,1.07," 11 100000000 000"
"16","agnostic",-0.68,-0.79,-0.955," 11 000000100 000"
"17","aids_patient",-1.365,-1.215,-1.32," 11 000001000 000"
"18","airline_pilot",1.635,1.585,1.54," 11 010000000 000"
"19","alcoholic",-2.3,-0.32,-0.66," 11 100001000 000"
"20","ally",1.61,1.38,1.355," 11 100100000 000"
"21","alumnae",1.605,-0.26,1.43," 01 000010000 000"
"22","alumnus",1.2,0.985,1.43," 11 000010000 000"
"23","amateur",1.52,0.53,1.88," 11 100000000 000"
"24","ambassador",0.98,1.635,0.495," 11 000100000 000"
"25","american",0.57,1.19,2.085," 11 100100000 000"
"26","antagonist",-0.275,0.855,0.94," 11 100000000 000"
"27","applicant",0.8,0.015,0.82," 11 011000000 000"
"28","apprentice",0.68,-1,0.66," 11 010000000 000"
"29","architect",1.555,1.205,1.025," 11 010000000 000"
"30","army_scout",1.1,1.075,1.175," 11 000100000 000"
"31","arsonist",-2.74,0.555,-0.96," 11 001000000 000"
"32","artist",1.72,0.92,1.295," 11 110010000 000"
"33","assailant",-1.32,1.615,0.775," 11 001000000 001"
"34","assassin",-2.085,1.225,-0.91," 11 001100000 001"
"35","assistant_professor",1.05,-0.01,0.855," 11 000010000 000"
"36","astrologer",-0.985,-0.775,-1.06," 11 100000100 000"
"37","atheist",1,0.66,0.635," 11 000000100 000"
"38","athlete",1.465,2.02,2.57," 11 010010000 001"
"39","attorney",0.415,0.625,0.86," 11 011000000 000"
"40","auctioneer",0.325,0.435,1.24," 11 010000000 000"
"41","auditor",0.385,0.37,-0.325," 11 011010000 000"
"42","aunt_(maternal)",1.39,0.34,0.99," 01 000000010 000"
"43","author",1.11,0.57,0.15," 11 010010000 000"
"44","authority",0.855,2.625,0.38," 11 111111100 000"
"45","auto_mechanic",1.155,0.95,0.355," 11 010000000 000"
"46","baby",2.525,-2.165,2.22," 11 100001010 001"
"47","babysitter",1.325,-0.00999999999999998,0.985," 11 000000010 011"
"48","bachelor",0.37,0.37,0.6," 10 000000011 000"
"49","backstabber",-3.06,-0.125,-0.61," 11 100100000 000"
"50","bailsman",0.735,1.075,0.115," 11 011000000 000"
"51","baker",1.285,0.24,0.95," 11 010000000 000"
"52","bandit",-2.585,1.71,0.875," 11 001000000 000"
"53","bank_customer",0.505,0.215,0.365," 11 010000000 000"
"54","bank_employee",0.585,0.15,0.085," 11 010000000 000"
"55","bank_manager",0.88,1.7,-0.225," 11 010000000 000"
"56","bank_teller",0.345,-0.21,-0.25," 11 010000000 000"
"57","banker",0.225,1.66,0.175," 11 010000000 001"
"58","barbarian",-1.46,1.63,1.1," 11 100100000 000"
"59","barber",1.19,-0.1,0.635," 11 010000000 001"
"60","barmaid",0.675,-0.245,1.73," 01 010000000 000"
"61","bartender",0.61,-0.095,1.76," 11 010000000 000"
"62","beautician",1.035,0.63,1.765," 11 010000000 001"
"63","beauty",2.195,0.125,1.535," 01 100000000 001"
"64","beggar",-1.055,-1.63,-1.285," 11 100000000 000"
"65","bellhop",0.465,0.225,0.84," 11 010000000 000"
"66","benefactor",2.595,1.67,0.915," 11 010100000 000"
"67","bicycle_repairman",0.92,0.425,0.325," 10 010000000 000"
"68","big_city_mayor",0.855,1.765,0.53," 11 000100000 000"
"69","big_shot",0.77,2.08,0.425," 11 100000000 000"
"70","bigamist",-1.285,-0.1,0.305," 11 001000011 011"
"71","bigot",-1.605,-1.565,-1.21," 11 100000000 000"
"72","bill_collector",-0.265,0.64,0.26," 11 010000000 000"
"73","biographer",0.565,0.58,0.305," 11 000010000 000"
"74","bisexual",-1.33,-0.33,0.115," 11 000000001 001"
"75","blind_person",0.365,-1.49,-1.595," 11 100001000 010"
"76","blood_donor",2.745,1.635,1.78," 11 000001000 001"
