"","term","E","P","A","instcodes"
"1","abortionist",-0.19,0.9,-0.47," 11 000001001 011"
"2","academic",1.6,1.03,-0.16," 11 000010000 000"
"3","accountant",0.68,0.38,0.12," 11 010000000 000"
"4","accounting_clerk",0.94,0.39,0.08," 11 010000000 000"
"5","accuser",-0.17,-0.63,-0.85," 11 111100000 000"
"6","acquaintance",1.82,1.23,1.89," 11 100000000 000"
"7","actor",1.33,0.71,1.95," 11 110000000 000"
"8","acupuncturist",1.1,1.13,-0.31," 11 000001000 000"
"9","admiral",2.27,2.4,1.31," 11 000100000 000"
"10","adolescent",1.8,0.69,2.62," 11 100000010 000"
"11","adult",0.83,1.39,-0.02," 11 101000010 000"
"12","adulterer",-2.9,0.07,0.16," 10 000000011 001"
"13","adulteress",-2.92,-0.68,1.2," 01 000000011 001"
"14","advisor",1.7,1.53,0.49," 11 110110000 000"
"15","aggressor",-1.34,1.46,0.88," 11 100000000 000"
"16","agnostic",-0.57,-0.58,-0.73," 11 000000100 000"
"17","aids_patient",-1.46,-1.13,-1.37," 11 000001000 000"
"18","airline_pilot",1.79,1.76,1.53," 11 010000000 000"
"19","alcoholic",-2.68,-0.48,-1.2," 11 100001000 000"
"20","ally",1.66,1.22,1.78," 11 100100000 000"
"21","alumnae",1.4,0.07,1.2," 01 000010000 000"
"22","alumnus",1.34,1.1,1.7," 11 000010000 000"
"23","amateur",1.58,0.55,1.76," 11 100000000 000"
"24","ambassador",1.34,2.03,1.02," 11 000100000 000"
"25","american",0.75,1.36,2.33," 11 100100000 000"
"26","antagonist",-0.07,1.09,1.04," 11 100000000 000"
"27","applicant",0.75,-0.01,1.06," 11 011000000 000"
"28","apprentice",0.73,-0.89,1.01," 11 010000000 000"
"29","architect",1.85,1.37,1.13," 11 010000000 000"
"30","army_scout",0.93,0.81,1.14," 11 000100000 000"
"31","arsonist",-2.82,0.76,-1.19," 11 001000000 000"
"32","artist",1.89,1.05,1.51," 11 110010000 000"
"33","assailant",-1.7,1.45,0.41," 11 001000000 001"
"34","assassin",-2.19,1.12,-0.75," 11 001100000 001"
"35","assistant_professor",1.1,0.44,1.01," 11 000010000 000"
"36","astrologer",-0.51,-0.17,-1.14," 11 100000100 000"
"37","atheist",0.95,0.6,0.47," 11 000000100 000"
"38","athlete",1.58,2.05,2.73," 11 010010000 001"
"39","attorney",0.56,0.79,1.23," 11 011000000 000"
"40","auctioneer",0.41,0.49,1.42," 11 010000000 000"
"41","auditor",0.35,0.61,-0.11," 11 011010000 000"
"42","aunt_(maternal)",1.51,0.72,1.23," 01 000000010 000"
"43","author",1.42,0.76,0.54," 11 010010000 000"
"44","authority",1.01,2.63,0.48," 11 111111100 000"
"45","auto_mechanic",1.21,1.2,0.53," 11 010000000 000"
"46","baby",2.79,-2,2.49," 11 100001010 001"
"47","babysitter",1.58,0.27,1.35," 11 000000010 011"
"48","bachelor",0.46,0.58,0.84," 10 000000011 000"
"49","backstabber",-3.38,0.15,-0.7," 11 100100000 000"
"50","bailsman",0.99,1.26,0.14," 11 011000000 000"
"51","baker",1.28,0.81,1.25," 11 010000000 000"
"52","bandit",-2.67,2.07,0.8," 11 001000000 000"
"53","bank_customer",0.64,0.12,0.23," 11 010000000 000"
"54","bank_employee",0.8,0.36,0.32," 11 010000000 000"
"55","bank_manager",1.41,1.59,0.18," 11 010000000 000"
"56","bank_teller",0.55,0.17,-0.1," 11 010000000 000"
"57","banker",0.62,1.93,0.64," 11 010000000 001"
"58","barbarian",-1.57,1.96,0.73," 11 100100000 000"
"59","barber",1.33,0.26,0.93," 11 010000000 001"
"60","barmaid",0.45,0.08,1.51," 01 010000000 000"
"61","bartender",0.56,0.1,1.85," 11 010000000 000"
"62","beautician",1.31,0.82,1.92," 11 010000000 001"
