"","term","E","P","A","instcodes"
"1","abortionist",-1.38,-0.34,-1.03," 11 000001001 011"
"2","academic",1.46,0.44,-0.63," 11 000010000 000"
"3","accountant",0.93,0.14,0.02," 11 010000000 000"
"4","accounting_clerk",0.57,-0.12,0," 11 010000000 000"
"5","accuser",-0.92,-0.86,-0.9," 11 111100000 000"
"6","acquaintance",1.17,0.44,1.47," 11 100000000 000"
"7","actor",0.97,0.63,1.87," 11 110000000 000"
"8","acupuncturist",1.03,0.55,-0.43," 11 000001000 000"
"9","admiral",1.52,2.38,0.25," 11 000100000 000"
"10","adolescent",1.37,0.33,2.24," 11 100000010 000"
"11","adult",0.41,1.36,-0.56," 11 101000010 000"
"12","adulterer",-2.87,-0.45,0.08," 10 000000011 001"
"13","adulteress",-1.94,-0.44,1.43," 01 000000011 001"
"14","advisor",1.69,1.59,0.23," 11 110110000 000"
"15","aggressor",-1.16,1.57,1.26," 11 100000000 000"
"16","agnostic",-0.79,-1,-1.18," 11 000000100 000"
"17","aids_patient",-1.27,-1.3,-1.27," 11 000001000 000"
"18","airline_pilot",1.48,1.41,1.55," 11 010000000 000"
"19","alcoholic",-1.92,-0.16,-0.12," 11 100001000 000"
"20","ally",1.56,1.54,0.93," 11 100100000 000"
"21","alumnae",1.81,-0.59,1.66," 01 000010000 000"
"22","alumnus",1.06,0.87,1.16," 11 000010000 000"
"23","amateur",1.46,0.51,2," 11 100000000 000"
"24","ambassador",0.62,1.24,-0.03," 11 000100000 000"
"25","american",0.39,1.02,1.84," 11 100100000 000"
"26","antagonist",-0.48,0.62,0.84," 11 100000000 000"
"27","applicant",0.85,0.04,0.58," 11 011000000 000"
"28","apprentice",0.63,-1.11,0.31," 11 010000000 000"
"29","architect",1.26,1.04,0.92," 11 010000000 000"
"30","army_scout",1.27,1.34,1.21," 11 000100000 000"
"31","arsonist",-2.66,0.35,-0.73," 11 001000000 000"
"32","artist",1.55,0.79,1.08," 11 110010000 000"
"33","assailant",-0.94,1.78,1.14," 11 001000000 001"
"34","assassin",-1.98,1.33,-1.07," 11 001100000 001"
"35","assistant_professor",1,-0.46,0.7," 11 000010000 000"
"36","astrologer",-1.46,-1.38,-0.98," 11 100000100 000"
"37","atheist",1.05,0.72,0.8," 11 000000100 000"
"38","athlete",1.35,1.99,2.41," 11 010010000 001"
"39","attorney",0.27,0.46,0.49," 11 011000000 000"
"40","auctioneer",0.24,0.38,1.06," 11 010000000 000"
"41","auditor",0.42,0.13,-0.54," 11 011010000 000"
"42","aunt_(maternal)",1.27,-0.04,0.75," 01 000000010 000"
"43","author",0.8,0.38,-0.24," 11 010010000 000"
"44","authority",0.7,2.62,0.28," 11 111111100 000"
"45","auto_mechanic",1.1,0.7,0.18," 11 010000000 000"
"46","baby",2.26,-2.33,1.95," 11 100001010 001"
"47","babysitter",1.07,-0.29,0.62," 11 000000010 011"
"48","bachelor",0.28,0.16,0.36," 10 000000011 000"
"49","backstabber",-2.74,-0.4,-0.52," 11 100100000 000"
"50","bailsman",0.48,0.89,0.09," 11 011000000 000"
"51","baker",1.29,-0.33,0.65," 11 010000000 000"
"52","bandit",-2.5,1.35,0.95," 11 001000000 000"
"53","bank_customer",0.37,0.31,0.5," 11 010000000 000"
"54","bank_employee",0.37,-0.06,-0.15," 11 010000000 000"
"55","bank_manager",0.35,1.81,-0.63," 11 010000000 000"
