"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","able_bodied",1.885,1.845,1.88," 10 000100000 000"
"3","absent_minded",-1.22,-1.21,-0.975," 10 010000000 000"
"4","active",1.72,1.655,2.03," 10 010000000 000"
"5","adventurous",1.27,1.83,2.125," 10 010000000 000"
"6","affable",2.155,1.585,1.31," 10 010000000 000"
"7","afraid",-1.555,-0.22,-1.135," 10 100000000 000"
"8","aggravated",-1.41,0.745,0.315," 10 100000000 000"
"9","agitated",-1.99,0.07,-0.36," 10 100000000 000"
"10","ambitious",1.65,1.795,1.935," 10 010000000 000"
"11","amused",1.66,1.235,1.79," 10 100000000 000"
"12","angry",-1.59,0.865,0.115," 10 100000000 000"
"13","anguished",-2.005,0.015,-1.375," 10 100000000 000"
"14","annoyed",-1.455,0.32,-0.55," 10 100010000 000"
"15","antisocial",-0.83,-1.235,-1.385," 10 000100000 000"
"16","anxious",-1.64,-0.085,-1.385," 10 100000000 000"
"17","apprehensive",-1.61,-0.405,-1.525," 10 100000000 000"
"18","ashamed",-1.32,-0.145,-1.14," 10 100010000 000"
"19","assertive",2.42,2.08,2.18," 10 010000000 000"
"20","at_ease",2.12,1.01,1.75," 10 100000000 000"
"21","attitudinally_relaxed",1.065,0.77,1.095," 10 010000000 000"
"22","attitudinally_uptight",-0.815,-0.73,-0.875," 10 010000000 000"
"23","attractive",2.22,1.535,1.66," 10 000100000 000"
"24","authoritarian",-2.025,0.765,-0.88," 10 010000000 000"
"25","authoritative",0.54,1.72,-0.17," 10 000100000 000"
"26","autonomous",1.085,0.87,0.44," 10 000100000 000"
"27","awe_struck",-0.105,0.59,-0.525," 10 100000000 000"
"28","bitter",-1.805,-0.22,-1.075," 10 100010000 000"
"29","blue",-1.665,-0.88,-1.81," 10 100000000 000"
"30","bold",1.865,2.22,1.61," 10 010000000 000"
"31","boring",-1.675,-1.125,-1.795," 10 000100000 000"
"32","bossy",-1.38,0.205,0.38," 10 010000000 000"
"33","brave",2.295,2.44,2.025," 10 010000000 000"
"34","bright",2.195,1.61,2.01," 10 010000000 000"
"35","broad_minded",1.495,1.68,1.945," 10 010100000 000"
"36","broken_hearted",-1.775,-0.115,-1.5," 10 100000000 000"
"37","calm",1.57,1.395,0.055," 10 100010000 000"
"38","careless",-0.715,-0.14,0.43," 10 010000000 000"
"39","cautious",1.145,0.76,-0.485," 10 010000000 000"
"40","charmed",1.96,1.165,1.22," 10 100000000 000"
"41","charming",1.895,1.155,1.365," 10 010000000 000"
"42","cheered",2.27,1.605,2.03," 10 100000000 000"
"43","cheerful",2.545,1.715,2.135," 10 110000000 000"
"44","cheerless",-1.86,-0.43,-1.47," 10 100000000 000"
"45","childish",0.895,-0.07,1.835," 10 010000000 000"
"46","cold",1.73,1.325,-0.31," 10 010000000 000"
"47","compassionate",1.375,0.775,-0.035," 10 110000000 000"
"48","competent",1.995,2.1,1.71," 10 010000000 000"
"49","compulsive",-1.6,0.725,-0.345," 10 010000000 000"
"50","conceited",-1.36,-0.265,0.045," 10 010000000 000"
"51","confident",2.225,2.17,1.985," 10 010000000 000"
