"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","able_bodied",1.94,1.95,1.99," 10 000100000 000"
"3","absent_minded",-1.06,-1.03,-0.73," 10 010000000 000"
"4","active",1.68,1.82,2.33," 10 010000000 000"
"5","adventurous",1.13,1.93,2.26," 10 010000000 000"
"6","affable",2.39,1.67,1.5," 10 010000000 000"
"7","afraid",-1.75,-0.25,-1.18," 10 100000000 000"
"8","aggravated",-1.73,0.9,0.15," 10 100000000 000"
"9","agitated",-2.27,0.56,-0.32," 10 100000000 000"
"10","ambitious",1.49,1.84,2.14," 10 010000000 000"
"11","amused",1.67,1.44,1.84," 10 100000000 000"
"12","angry",-1.71,0.97,0.24," 10 100000000 000"
"13","anguished",-2.12,0.25,-1.48," 10 100000000 000"
"14","annoyed",-1.65,0.35,-0.46," 10 100010000 000"
"15","antisocial",-0.95,-1.33,-1.46," 10 000100000 000"
"16","anxious",-1.94,-0.02,-1.56," 10 100000000 000"
"17","apprehensive",-2.1,-0.21,-1.89," 10 100000000 000"
"18","ashamed",-1.6,-0.32,-1.52," 10 100010000 000"
"19","assertive",2.73,2.25,2.49," 10 010000000 000"
"20","at_ease",2.57,1.55,2.07," 10 100000000 000"
"21","attitudinally_relaxed",0.93,0.88,1.39," 10 010000000 000"
"22","attitudinally_uptight",-0.99,-0.86,-0.91," 10 010000000 000"
"23","attractive",2.31,1.61,1.81," 10 000100000 000"
"24","authoritarian",-2.04,0.79,-1," 10 010000000 000"
"25","authoritative",0.49,1.93,-0.33," 10 000100000 000"
"26","autonomous",1.35,0.94,0.3," 10 000100000 000"
"27","awe_struck",-0.08,0.53,-0.53," 10 100000000 000"
"28","bitter",-1.84,-0.14,-1.15," 10 100010000 000"
"29","blue",-1.62,-0.56,-1.94," 10 100000000 000"
"30","bold",1.84,2.2,1.67," 10 010000000 000"
"31","boring",-1.85,-1.23,-2.19," 10 000100000 000"
"32","bossy",-1.36,0.24,0.31," 10 010000000 000"
"33","brave",2.35,2.62,2.23," 10 010000000 000"
"34","bright",2.42,1.96,2.16," 10 010000000 000"
"35","broad_minded",1.67,1.87,2.3," 10 010100000 000"
"36","broken_hearted",-2.09,0.19,-1.55," 10 100000000 000"
"37","calm",1.88,1.52,0.03," 10 100010000 000"
"38","careless",-1.12,-0.31,0.55," 10 010000000 000"
"39","cautious",1.32,1.05,-0.41," 10 010000000 000"
"40","charmed",2.05,1.19,1.44," 10 100000000 000"
"41","charming",1.72,1.38,1.62," 10 010000000 000"
"42","cheered",2.49,1.66,2.34," 10 100000000 000"
"43","cheerful",2.9,1.95,2.1," 10 110000000 000"
"44","cheerless",-2.19,-0.24,-1.46," 10 100000000 000"
"45","childish",0.87,-0.11,1.9," 10 010000000 000"
"46","cold",1.59,1.46,-0.48," 10 010000000 000"
"47","compassionate",1.65,0.87,0.02," 10 110000000 000"
"48","competent",2.08,2.37,1.83," 10 010000000 000"
"49","compulsive",-1.71,0.64,-0.49," 10 010000000 000"
"50","conceited",-1.73,-0.46,-0.04," 10 010000000 000"
"51","confident",2.5,2.53,2.35," 10 010000000 000"
"52","conservative",-1.3,-0.84,-1.72," 10 011000000 000"
"53","contented",2.26,1.63,1.74," 10 100010000 000"
"54","corruptible",-2.07,-0.9,-1.11," 10 000100000 000"
"55","cowardly",-1.51,-1.64,-1.36," 10 010000000 000"
"56","crazy",-1,-1.03,-0.1," 10 011000000 000"
"57","credible",2.21,1.81,1.75," 10 000100000 000"
"58","crises_paralysed",-1.1,-1.45,-1.55," 10 000100000 000"
"59","crises_performing",2.06,1.48,1.5," 10 000100000 000"
"60","cruel",-2.36,0.89,-0.99," 10 010000000 000"
"61","crushed",-1.19,1.3,0.2," 10 100000000 000"
"62","curious",1.1,0.85,1.7," 10 010000000 000"
"63","deceitful",-2.74,-0.83,-0.68," 10 010000000 000"
"64","decisive",2.03,2.02,1.59," 10 010000000 000"
"65","defensive",0.2,0.09,-0.76," 10 010000000 000"
"66","defiant",-1.57,0.13,-0.09," 10 010000000 000"
"67","deflated",-2.03,-1.04,-1.59," 10 100000000 000"
"68","dejected",-2.3,-0.67,-2.11," 10 100000000 000"
"69","delighted",2.13,1.56,2.11," 10 100000000 000"
"70","demanding",-1.68,0.08,-1.04," 10 010000000 000"
"71","dependent",-0.82,-1.14,-0.61," 10 010000000 000"
"72","depressed",-2.09,-0.7,-2.21," 10 100010000 000"
"73","dignified",0.21,1.73,-0.4," 10 000100000 000"
"74","disabled",-1.24,-1.17,-1.32," 10 000100000 000"
"75","disappointed",-2.16,-0.55,-1.68," 10 100000000 000"
"76","discontented",-1.66,0.31,-0.51," 10 100000000 000"
"77","discreditable",-2.17,-1.01,-0.76," 10 000100000 000"
"78","discreet",0.65,0.56,-0.67," 10 010000000 000"
"79","disgusted",-2.13,0.14,-1.3," 10 100010000 000"
"80","dishonest",-2.17,-0.88,-1.05," 10 010100000 000"
"81","disloyal",-2.09,-0.96,-0.82," 10 010100000 000"
"82","displeased",-2.03,-0.41,-1.69," 10 100000000 000"
"83","disreputable",-1.96,-0.92,-1.09," 10 010000000 000"
"84","dissatisfied",-0.44,0.91,0.1," 10 100000000 000"
"85","distressed",-1.68,-0.34,-1.8," 10 100000000 000"
"86","divorced",-1.41,0.06,-1.31," 10 001000000 000"
"87","downhearted",-1.98,-0.57,-1.81," 10 100000000 000"
"88","drunken",-2.08,-0.67,-0.94," 10 001100000 000"
"89","dull",-1.54,-1.62,-1.66," 10 000100000 000"
"90","dumb",-1.52,-1.21,-1.74," 10 000100000 000"
"91","dutiful",2.26,2.14,1.6," 10 010000000 000"
"92","easygoing",-1.69,-1.01,-1.11," 10 010000000 000"
"93","ecstatic",1.8,1.89,2.11," 10 100000000 000"
"94","efficient",2.34,2.02,2.13," 10 010000000 000"
"95","elated",2.41,1.87,2.42," 10 100000000 000"
"96","embarrassed",-2.03,-0.46,-1.09," 10 100010000 000"
"97","emotional",0.25,-0.13,0.8," 10 110000000 000"
"98","empty",-1.85,-0.73,-1.99," 10 000100000 000"
"99","energetic",2.28,2.27,2.66," 10 010000000 000"
"100","envious",-1.75,0.44,-0.51," 10 100000000 000"
"101","esteemed",2.25,2,1.05," 10 001000000 000"
"102","excited",1.98,1.75,2.11," 10 100010000 000"
"103","experienced",2.08,2.02,0.84," 10 001000000 000"
"104","fair",2.07,1.67,1.01," 10 010000000 000"
"105","faithful",2.32,1.54,0.38," 10 010000000 000"
"106","fearful",-2.06,0.1,-1.53," 10 100000000 000"
"107","fed_up",-2.1,-0.43,-0.97," 10 100000000 000"
"108","female",1.51,-0.04,0.7," 10 001000000 000"
"109","feminine",0.42,-0.63,-0.07," 10 010000000 000"
"110","finicky",-0.96,-0.79,-1.12," 10 010000000 000"
"111","flamboyant",0.95,0.9,1.26," 10 000100000 000"
"112","flustered",-1.71,-0.45,-0.88," 10 100010000 000"
"113","foolish",-1.78,-1.25,-1.28," 10 010000000 000"
"114","forbearing",1.32,1.14,-0.33," 10 010000000 000"
"115","forgiving",1.95,1.24,0.55," 10 010000000 000"
"116","friendly",2.34,1.77,1.84," 10 010000000 000"
"117","frightened",-1.48,0.25,-0.27," 10 100000000 000"
"118","frustrated",-2.42,-0.44,-1.69," 10 100000000 000"
"119","furious",-1.92,1.47,0.27," 10 100010000 000"
"120","generous",2.61,2.23,1.67," 10 010000000 000"
"121","gentle_(female)",1.89,0.33,0.37," 10 000100000 000"
"122","gentle_(male)",1.72,0.46,-0.03," 10 000100000 000"
"123","glad",2.25,1.89,2.38," 10 100000000 000"
"124","grief_stricken",-2.16,0.72,-1.89," 10 100000000 000"
"125","group_concerned",2.08,1.7,1.93," 10 010000000 000"
"126","group_disinterested",-1.93,-1.19,-1.22," 10 010000000 000"
"127","gullible",-1.34,-1.57,-1.11," 10 010000000 000"
"128","happy",2.76,2.06,2.12," 10 100010000 000"
"129","heart_broken",-2.19,0.31,-2," 10 100000000 000"
"130","heavy_hearted",-1.93,-0.11,-2.27," 10 100000000 000"
"131","helpful",2.03,1.97,1.65," 10 010000000 000"
"132","homesick",0.56,1.16,-0.78," 10 100000000 000"
"133","homosexual",-1.84,-0.65,-0.86," 10 001100000 000"
"134","honest",2.26,1.37,1.24," 10 010000000 000"
"135","hopeful",2.23,1.83,1.94," 10 110000000 000"
"136","horrified",-1.89,0.38,-0.57," 10 100000000 000"
"137","hotheaded",-1.49,0.33,0.26," 10 010000000 000"
"138","humble",0.59,-0.44,-0.76," 10 110000000 000"
"139","humiliated",-2.2,-0.6,-1.59," 10 100000000 000"
"140","hurt",-2.12,-0.28,-1.38," 10 100100000 000"
"141","idealistic",0.63,0.11,1.23," 10 010000000 000"
"142","ignoble",-2.08,-1.48,-1.39," 10 000100000 000"
"143","ignorant",-1.65,-1.2,-0.58," 10 000100000 000"
"144","ill_at_ease",-1.38,-0.9,-1.28," 10 100000000 000"
"145","immature",-0.59,-1.02,0.36," 10 010000000 000"
"146","immoral",-2.51,-0.16,-1.05," 10 000100000 000"
"147","impatient",-1.67,0,-0.77," 10 100010000 000"
"148","impolite",-2.17,-1.26,-0.72," 10 010000000 000"
"149","impressionable",1.21,1.55,1.38," 10 010000000 000"
"150","in_love",2.57,2.2,2.13," 10 000100000 000"
"151","indecisive",-0.9,-1.15,-1.01," 10 010000000 000"
"152","independent",2.11,2.25,1.79," 10 010000000 000"
"153","indifferent",-2.13,-1.43,-1.72," 10 010000000 000"
"154","indolent",-1.63,-1.41,-1.51," 10 010000000 000"
"155","industrious",1.68,1.51,0.79," 10 010000000 000"
"156","inexperienced",-1.28,-1.08,-0.39," 10 000100000 000"
"157","inhibited",-1.76,-1.33,-2.31," 10 010000000 000"
"158","innocent",1.71,0.18,1.96," 10 000100000 000"
"159","insane",-0.83,1.03,1.34," 10 001100000 000"
"160","insecure",-1.77,-1.45,-1.14," 10 010000000 000"
"161","insincere",-2.03,-1.01,-1.06," 10 010000000 000"
"162","intelligent",2.49,1.46,2.01," 10 010000000 000"
"163","intolerant",-1.82,-1.06,-1.3," 10 010100000 000"
"164","introspective",0.9,0.67,-0.26," 10 010000000 000"
"165","introverted",-0.35,-0.95,-1.62," 10 010000000 000"
"166","irate",-1.78,1.25,0.06," 10 100000000 000"
"167","irked",-2.1,-0.48,-1.95," 10 100000000 000"
"168","irresponsible",-2.52,-1.39,-1.05," 10 010000000 000"
"169","irritated",-1.77,1.19,0.03," 10 100000000 000"
"170","jealous",-1.77,0.35,-0.59," 10 110000000 000"
"171","joyful",1.96,1.61,1.83," 10 100000000 000"
"172","joyless",-1.97,-0.52,-1.8," 10 100010000 000"
"173","kindly",2.38,1.64,1.13," 10 010000000 000"
"174","lazy",-1.85,-1.3,-1.59," 10 010000000 000"
"175","lonely",-1.54,-0.37,-2.14," 10 100000000 000"
"176","lonesome",-1.04,-0.3,-1.74," 10 100000000 000"
