"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","able_bodied",1.83,1.74,1.77," 10 000100000 000"
"3","absent_minded",-1.38,-1.39,-1.22," 10 010000000 000"
"4","active",1.76,1.49,1.73," 10 010000000 000"
"5","adventurous",1.41,1.73,1.99," 10 010000000 000"
"6","affable",1.92,1.5,1.12," 10 010000000 000"
"7","afraid",-1.36,-0.19,-1.09," 10 100000000 000"
"8","aggravated",-1.09,0.59,0.48," 10 100000000 000"
"9","agitated",-1.71,-0.42,-0.4," 10 100000000 000"
"10","ambitious",1.81,1.75,1.73," 10 010000000 000"
"11","amused",1.65,1.03,1.74," 10 100000000 000"
"12","angry",-1.47,0.76,-0.01," 10 100000000 000"
"13","anguished",-1.89,-0.22,-1.27," 10 100000000 000"
"14","annoyed",-1.26,0.29,-0.64," 10 100010000 000"
"15","antisocial",-0.71,-1.14,-1.31," 10 000100000 000"
"16","anxious",-1.34,-0.15,-1.21," 10 100000000 000"
"17","apprehensive",-1.12,-0.6,-1.16," 10 100000000 000"
"18","ashamed",-1.04,0.03,-0.76," 10 100010000 000"
"19","assertive",2.11,1.91,1.87," 10 010000000 000"
"20","at_ease",1.67,0.47,1.43," 10 100000000 000"
"21","attitudinally_relaxed",1.2,0.66,0.8," 10 010000000 000"
"22","attitudinally_uptight",-0.64,-0.6,-0.84," 10 010000000 000"
"23","attractive",2.13,1.46,1.51," 10 000100000 000"
"24","authoritarian",-2.01,0.74,-0.76," 10 010000000 000"
"25","authoritative",0.59,1.51,-0.01," 10 000100000 000"
"26","autonomous",0.82,0.8,0.58," 10 000100000 000"
"27","awe_struck",-0.13,0.65,-0.52," 10 100000000 000"
"28","bitter",-1.77,-0.3,-1," 10 100010000 000"
"29","blue",-1.71,-1.2,-1.68," 10 100000000 000"
"30","bold",1.89,2.24,1.55," 10 010000000 000"
"31","boring",-1.5,-1.02,-1.4," 10 000100000 000"
"32","bossy",-1.4,0.17,0.45," 10 010000000 000"
"33","brave",2.24,2.26,1.82," 10 010000000 000"
"34","bright",1.97,1.26,1.86," 10 010000000 000"
"35","broad_minded",1.32,1.49,1.59," 10 010100000 000"
"36","broken_hearted",-1.46,-0.42,-1.45," 10 100000000 000"
"37","calm",1.26,1.27,0.08," 10 100010000 000"
"38","careless",-0.31,0.03,0.31," 10 010000000 000"
"39","cautious",0.97,0.47,-0.56," 10 010000000 000"
"40","charmed",1.87,1.14,1," 10 100000000 000"
"41","charming",2.07,0.93,1.11," 10 010000000 000"
"42","cheered",2.05,1.55,1.72," 10 100000000 000"
"43","cheerful",2.19,1.48,2.17," 10 110000000 000"
"44","cheerless",-1.53,-0.62,-1.48," 10 100000000 000"
"45","childish",0.92,-0.03,1.77," 10 010000000 000"
"46","cold",1.87,1.19,-0.14," 10 010000000 000"
"47","compassionate",1.1,0.68,-0.09," 10 110000000 000"
"48","competent",1.91,1.83,1.59," 10 010000000 000"
"49","compulsive",-1.49,0.81,-0.2," 10 010000000 000"
"50","conceited",-0.99,-0.07,0.13," 10 010000000 000"
"51","confident",1.95,1.81,1.62," 10 010000000 000"
"52","conservative",-1.21,-1.09,-1.62," 10 011000000 000"
"53","contented",1.76,1.29,1.68," 10 100010000 000"
"54","corruptible",-2.19,-0.94,-1.1," 10 000100000 000"
"55","cowardly",-1.35,-1.69,-1.28," 10 010000000 000"
"56","crazy",-1.06,-0.82,-0.34," 10 011000000 000"
"57","credible",1.95,1.84,0.5," 10 000100000 000"
"58","crises_paralysed",-1.13,-1.47,-1.19," 10 000100000 000"
"59","crises_performing",1.83,1.8,1.42," 10 000100000 000"
"60","cruel",-1.5,0.17,-0.89," 10 010000000 000"
"61","crushed",-0.43,0.57,-0.35," 10 100000000 000"
"62","curious",1.03,0.96,1.33," 10 010000000 000"
"63","deceitful",-2.08,-0.68,-0.32," 10 010000000 000"
"64","decisive",1.93,1.71,1.38," 10 010000000 000"
"65","defensive",0,0.11,-0.64," 10 010000000 000"
"66","defiant",-1.98,0.01,0.06," 10 010000000 000"
"67","deflated",-1.5,-0.62,-1.5," 10 100000000 000"
"68","dejected",-1.49,-0.43,-1.2," 10 100000000 000"
"69","delighted",1.96,1.56,1.66," 10 100000000 000"
"70","demanding",-1.21,-0.11,-0.82," 10 010000000 000"
"71","dependent",-1.06,-1.37,-0.98," 10 010000000 000"
"72","depressed",-1.23,-0.67,-1.15," 10 100010000 000"
"73","dignified",0.76,1.58,-0.3," 10 000100000 000"
"74","disabled",-0.9,-1.05,-1.19," 10 000100000 000"
"75","disappointed",-1.48,-0.56,-1.49," 10 100000000 000"
"76","discontented",-1.27,-0.53,-0.97," 10 100000000 000"
"77","discreditable",-2.25,-1.56,-0.84," 10 000100000 000"
"78","discreet",0.63,-0.11,-0.79," 10 010000000 000"
"79","disgusted",-1.73,0.01,-0.86," 10 100010000 000"
"80","dishonest",-2.01,-0.85,-0.28," 10 010100000 000"
"81","disloyal",-1.92,-0.85,-0.72," 10 010100000 000"
"82","displeased",-1.34,-0.81,-0.67," 10 100000000 000"
"83","disreputable",-2.05,-0.91,-0.24," 10 010000000 000"
"84","dissatisfied",0.31,0.44,0.5," 10 100000000 000"
"85","distressed",-1.61,-0.4,-1.24," 10 100000000 000"
"86","divorced",-1.1,-0.83,-0.9," 10 001000000 000"
"87","downhearted",-1.43,-0.5,-1.65," 10 100000000 000"
"88","drunken",-1.88,-0.47,-1.29," 10 001100000 000"
"89","dull",-1.54,-0.99,-1.56," 10 000100000 000"
"90","dumb",-1.48,-1.51,-1.53," 10 000100000 000"
"91","dutiful",2.18,1.63,0.86," 10 010000000 000"
"92","easygoing",-1.89,-1.13,-1.4," 10 010000000 000"
"93","ecstatic",1.69,1.28,1.72," 10 100000000 000"
"94","efficient",2.19,1.94,1.77," 10 010000000 000"
"95","elated",2.03,1.35,1.89," 10 100000000 000"
"96","embarrassed",-1.65,-0.16,-0.86," 10 100010000 000"
"97","emotional",1.03,0.22,0.76," 10 110000000 000"
"98","empty",-1.7,-0.45,-1.57," 10 000100000 000"
"99","energetic",2.22,2.3,2.43," 10 010000000 000"
"100","envious",-0.43,-0.09,-0.3," 10 100000000 000"
"101","esteemed",1.86,1.41,0.02," 10 001000000 000"
"102","excited",1.58,1.44,1.99," 10 100010000 000"
"103","experienced",1.63,1.67,0.81," 10 001000000 000"
"104","fair",1.84,1.41,0.89," 10 010000000 000"
"105","faithful",2.01,0.99,0.21," 10 010000000 000"
"106","fearful",-1.64,0.15,-1.01," 10 100000000 000"
"107","fed_up",-1.55,-0.22,-0.94," 10 100000000 000"
"108","female",0.92,-0.47,0.55," 10 001000000 000"
"109","feminine",0.28,-0.8,-0.17," 10 010000000 000"
"110","finicky",-0.95,-0.78,-1.01," 10 010000000 000"
"111","flamboyant",1.11,0.68,1.25," 10 000100000 000"
"112","flustered",-1.33,-0.49,-0.99," 10 100010000 000"
"113","foolish",-1.77,-1.29,-0.87," 10 010000000 000"
"114","forbearing",1.05,1.09,-0.36," 10 010000000 000"
"115","forgiving",1.27,1.02,-0.01," 10 010000000 000"
"116","friendly",2.02,1.17,1.47," 10 010000000 000"
"117","frightened",-1.69,-0.34,-0.71," 10 100000000 000"
"118","frustrated",-1.23,-0.1,-1.44," 10 100000000 000"
"119","furious",-1.15,0.68,-0.4," 10 100010000 000"
"120","generous",2.08,2.05,1.34," 10 010000000 000"
"121","gentle_(female)",1.63,0.03,0.32," 10 000100000 000"
"122","gentle_(male)",1.67,0.31,0.51," 10 000100000 000"
"123","glad",1.93,1.6,1.83," 10 100000000 000"
"124","grief_stricken",-2.15,-0.63,-1.84," 10 100000000 000"
"125","group_concerned",1.92,1.12,1.6," 10 010000000 000"
"126","group_disinterested",-1.69,-1.25,-0.87," 10 010000000 000"
"127","gullible",-0.89,-0.82,-0.6," 10 010000000 000"
"128","happy",2.13,1.72,1.89," 10 100010000 000"
"129","heart_broken",-1.89,-0.07,-1.57," 10 100000000 000"
"130","heavy_hearted",-1.02,-0.03,-1.59," 10 100000000 000"
"131","helpful",1.59,1.26,1.25," 10 010000000 000"
"132","homesick",1.07,0.74,-0.13," 10 100000000 000"
"133","homosexual",-1.59,-1.06,-0.93," 10 001100000 000"
"134","honest",1.93,1.23,0.66," 10 010000000 000"
"135","hopeful",1.94,1.69,1.96," 10 110000000 000"
"136","horrified",-1.99,0.01,-1.27," 10 100000000 000"
"137","hotheaded",-1.39,0.43,0," 10 010000000 000"
"138","humble",0.77,0.17,-0.19," 10 110000000 000"
"139","humiliated",-1.97,-0.56,-1.21," 10 100000000 000"
"140","hurt",-1.77,-0.05,-1.2," 10 100100000 000"
"141","idealistic",0.79,0.47,0.95," 10 010000000 000"
"142","ignoble",-1.65,-1.23,-1.17," 10 000100000 000"
"143","ignorant",-1.21,-1.41,-1.15," 10 000100000 000"
"144","ill_at_ease",-1.02,-0.33,-0.87," 10 100000000 000"
"145","immature",-0.05,-0.69,0.45," 10 010000000 000"
"146","immoral",-2,0.13,-0.74," 10 000100000 000"
"147","impatient",-1.9,-0.68,-0.93," 10 100010000 000"
"148","impolite",-1.83,-1.15,-0.91," 10 010000000 000"
"149","impressionable",1.27,0.93,0.99," 10 010000000 000"
"150","in_love",2.4,1.75,2.19," 10 000100000 000"
"151","indecisive",-1.4,-1.03,-1.28," 10 010000000 000"
"152","independent",1.7,1.72,1.19," 10 010000000 000"
"153","indifferent",-1.71,-1.08,-1.4," 10 010000000 000"
"154","indolent",-1.8,-1.19,-1.47," 10 010000000 000"
"155","industrious",1.82,1.19,0.5," 10 010000000 000"
"156","inexperienced",-0.94,-0.65,-0.24," 10 000100000 000"
"157","inhibited",-1.6,-0.69,-1.54," 10 010000000 000"
"158","innocent",1.7,0.37,1.76," 10 000100000 000"
"159","insane",-1.29,0.76,0.64," 10 001100000 000"
"160","insecure",-1.49,-1.16,-0.89," 10 010000000 000"
"161","insincere",-1.96,-0.79,-1.24," 10 010000000 000"
"162","intelligent",2.11,1.38,1.94," 10 010000000 000"
"163","intolerant",-0.9,-0.75,-0.77," 10 010100000 000"
"164","introspective",1.2,0.46,-0.27," 10 010000000 000"
"165","introverted",0.26,-0.53,-1.47," 10 010000000 000"
"166","irate",-0.73,0.47,-0.41," 10 100000000 000"
"167","irked",-1.46,-0.6,-1.44," 10 100000000 000"
"168","irresponsible",-1.93,-1.55,-1.24," 10 010000000 000"
"169","irritated",-0.86,0.84,0.05," 10 100000000 000"
"170","jealous",-1.67,0.01,-1.09," 10 110000000 000"
"171","joyful",2.06,1.52,1.64," 10 100000000 000"
"172","joyless",-1.34,-0.93,-1.33," 10 100010000 000"
"173","kindly",2.31,1.16,0.64," 10 010000000 000"
"174","lazy",-1.25,-0.96,-1.45," 10 010000000 000"
"175","lonely",-0.81,-0.42,-1.23," 10 100000000 000"
"176","lonesome",-1.05,-0.72,-1.68," 10 100000000 000"
"177","lovesick",-0.37,0.6,-0.01," 10 100000000 000"
"178","low",-1.66,-0.79,-1.54," 10 100000000 000"
"179","lower_class",-0.01,0.21,0.44," 10 001000000 000"
"180","loyal",2.06,1.68,0.9," 10 010000000 000"
"181","lucky",1.74,0.96,1.25," 10 000100000 000"
"182","male",1.14,1.89,1.56," 10 001000000 000"
"183","married",0.4,0.39,0.17," 10 001000000 000"
"184","masculine",0.61,1.56,1.31," 10 010000000 000"
"185","mature",1.51,1.31,0.44," 10 010100000 000"
"186","mediocre",-1.04,-0.9,-0.93," 10 000100000 000"
"187","melancholy",-1.18,-0.51,-1.11," 10 100000000 000"
"188","middle_class",1.2,0.89,1.04," 10 001000000 000"
"189","mischievous",0.13,0.25,1.33," 10 010000000 000"
"190","miserable",-1.31,-0.64,-1.09," 10 100000000 000"
"191","model",1.75,1.28,1.51," 10 000100000 000"
"192","modern",1.46,1.52,1.92," 10 000100000 000"
"193","modest",1.49,0.63,0.07," 10 010000000 000"
"194","mortified",-1.42,-0.21,-1.43," 10 100000000 000"
"195","motivated",0.28,0.32,0.85," 10 010100000 000"
"196","moved",1.59,1.29,1.23," 10 100000000 000"
"197","narrow_minded",-1.65,-1.49,-1.53," 10 010000000 000"
"198","neighborly",2.09,1.17,1.06," 10 000100000 000"
"199","nervous",-0.94,-0.43,-0.33," 10 100010000 000"
"200","noble",1.13,1.15,0.73," 10 000100000 000"
"201","non_autonomous",-1.21,-1.15,-0.14," 10 000100000 000"
"202","non_corruptible",1.62,1.03,0.32," 10 010100000 000"
"203","non_procrastinating",1.61,1.31,1.15," 10 010000000 000"
"204","obedient",0.2,-0.56,-0.79," 10 010000000 000"
"205","offensive",-0.98,0.46,1.16," 10 010000000 000"
"206","old",-0.08,-0.74,-1.59," 10 001000000 000"
"207","optimistic",2.23,1.79,2.03," 10 110000000 000"
"208","outgoing",1.19,1.54,1.97," 10 010000000 000"
"209","outraged",0.76,1.89,1.14," 10 100010000 000"
"210","outspoken",1.12,0.99,0.98," 10 010000000 000"
"211","overjoyed",1.81,1.27,1.96," 10 100010000 000"
"212","overwhelmed",-1.09,-0.7,-0.88," 10 100000000 000"
"213","passionate",1.95,1.95,2.07," 10 110000000 000"
"214","patient",1.57,0.96,0," 10 010000000 000"
"215","perceptive",1.4,1.13,1.34," 10 010000000 000"
"216","persistent",1.51,1.39,1.16," 10 010000000 000"
"217","petrified",-1.59,-0.26,-1.43," 10 100000000 000"
