"","term","E","P","A","instcodes"
"1","acrobatics",1.17,0.51,1.425," 10 100000000 000"
"2","adult_bookstore",1.125,0.78,0.155," 10 010000001 000"
"3","adult_education_class",-0.31,0.22,-0.155," 11 000010000 000"
"4","airplane",1.25,1.265,1.21," 10 110000000 000"
"5","airport",1.015,1.3,0.975," 10 110000000 000"
"6","altar",0.185,0.58,-0.85," 10 000000100 000"
"7","ambulance",0.355,0.41,0.44," 10 000001000 001"
"8","amusement_park",1.26,1.125,1.685," 10 110000000 000"
"9","apartment",1.16,0.375,0.46," 10 100000010 001"
"10","art_gallery",1.62,0.74,0.06," 10 010000000 000"
"11","art_museum",1.94,1.03,-0.075," 10 000010000 000"
"12","asylum",-0.31,-0.085,-0.945," 10 000001000 001"
"13","atelier",1.375,0.06,-0.09," 10 100000000 000"
"14","bakery",1.455,-0.185,0.75," 10 010000000 000"
"15","barber_shop",0.675,-0.325,0.13," 10 110000000 000"
"16","barrack",0.39,1.69,0.535," 10 001100000 000"
"17","basement",-0.68,-0.395,-1.285," 10 000000010 100"
"18","battlefield",-0.585,1.465,0.64," 10 000100000 001"
"19","beach",1.945,1.335,1.675," 10 100000000 100"
"20","beauty_parlor",0.805,0.035,0.92," 10 010000000 000"
"21","bed",1.855,0.415,0.00499999999999999," 10 000001001 101"
"22","bedroom",1.625,0.13,-0.255," 10 000000011 101"
"23","boarding_school",0.29,0.21,0.335," 10 010010000 001"
"24","boiler_room",-0.42,-0.2,-0.305," 10 100000000 000"
"25","boot_camp",0.71,1.08,1.065," 10 000100000 011"
"26","boutique",1.045,-0.38,0.8," 10 010000000 000"
"27","brothel",-1.415,-0.575,0.425," 10 010000001 001"
"28","buddhist_temple",0.38,0.16,-1.335," 10 000000100 000"
"29","bull_session",1.085,0.015,0.955," 01 100000000 000"
"30","by_road",-0.255,-0.87,-1.495," 10 100000000 100"
"31","cafe",0.73,-0.6,0.93," 10 010000000 000"
"32","casino",1.49,1.075,1.74," 10 010000000 100"
"33","cathedral",0.725,1.065,-0.88," 10 000000100 100"
"34","celebration",1.745,1.055,1.575," 01 100100110 000"
"35","cemetery",-1.16,-0.3,-1.67," 10 100000100 100"
"36","chapel",0.745,-0.215,-0.41," 10 000000100 100"
"37","christmas",1.775,1.12,1.805," 01 100000110 000"
"38","church",0.605,0.835,-1.255," 10 000000100 100"
"39","city_hall",0.18,1.28,-0.69," 10 000100000 000"
"40","clinic",0.235,0.005,-0.395," 10 000001000 001"
"41","coffee_shop",1.535,-0.21,0.97," 10 010000000 100"
"42","concert",1.645,1.215,1.22," 11 110010000 000"
"43","convent",-0.43,-0.715,-1.53," 10 000000100 100"
"44","courtroom",-0.095,1.18,-0.69," 10 001000000 000"
"45","cram_school",-2.13,-1.07,-1.625," 10 000010000 000"
"46","crowd",0.71,1,0.835," 01 100000000 000"
"47","daycare_center",1.025,-0.145,1.605," 10 010010010 001"
"48","death_row",-1.785,-0.445,-2.26," 10 001000000 100"
"49","delicatessen",1.15,0.26,0.67," 10 010000000 000"
"50","department_store",0.99,1.25,1.13," 10 010000000 000"
"51","desert",-0.615,1.54,-1.6," 10 100000000 100"
"52","discount_store",0.545,-0.075,0.86," 10 010000000 000"
"53","divorce_court",-1.05,0.12,-1.14," 10 001000000 000"
"54","dormitory",0.525,0.095,1.275," 10 000010000 000"
"55","embassy",0.89,0.92,-0.59," 10 000100000 000"
"56","emergency_room",0.14,0.365,-0.095," 10 000001000 001"
"57","examination",-0.91,0.575,-0.625," 01 000011000 000"
"58","factory",0.14,1.085,0.535," 10 010000000 000"
"59","farm",1.275,1,0.665," 10 010000000 100"
"60","fashion_show",1.725,0.96,1.615," 01 010000000 000"
"61","festival",1.91,0.885,1.815," 01 100000000 000"
"62","fight",-0.11,1.945,1.205," 01 101000000 001"
"63","fire_station",0.775,0.745,0.085," 10 001000000 000"
"64","flophouse",-0.46,-0.9,-0.295," 10 010000000 100"
"65","foot_path",0.765,-0.445,-0.525," 10 100000000 100"
"66","fortress",0.78,1.145,-0.86," 10 001100000 000"
"67","garden",1.39,0.23,0.255," 10 100000000 100"
"68","gate_house",-0.235,-0.72,-0.655," 10 100000010 000"
"69","gay_bar",-1.615,-0.81,-0.225," 10 010000001 001"
"70","golf_course",1.3,1.295,0.98," 10 010000000 000"
"71","graduation",0.845,0.675,0.975," 01 100010000 010"
"72","greasy_spoon",-2.225,-1.475,-1.01," 10 010000000 000"
"73","great_wall",2.175,2.215,0.505," 10 100100000 000"
"74","gymnasium",1.635,1.285,1.86," 10 010010000 101"
"75","health_food_store",0.97,0.215,0.235," 10 010000000 000"
"76","heaven",1.725,1.25,0.795," 01 000000100 000"
"77","heavy_industry_plant",-0.5,1.455,-0.505," 10 010000000 000"
"78","high_school",0.985,0.445,0.925," 10 000010000 000"
"79","highway",0.895,0.83,0.96," 10 100000000 100"
"80","home",2.385,1.48,1.745," 10 000000010 101"
"81","honeymoon",2.665,1.44,2.175," 01 000000001 000"
"82","hospital",-0.12,0.81,-0.9," 10 000001000 001"
"83","hotel",0.4,0.205,0.37," 10 010000000 000"
"84","house",1.265,0.485,0.325," 10 100000010 000"
"85","interrogation",-0.75,0.61,-0.835," 01 001000000 000"
"86","interview",0.615,0.93,0.655," 01 011011100 000"
"87","japanese_chess_match",-0.095,0.09,-0.805," 10 100000000 000"
"88","judge's_chamber",-0.125,0.385,-1.245," 10 001000000 000"
"89","junior_college",-0.055,-0.22,0.225," 10 000010000 000"
"90","junior_high_school",0.795,-0.11,1.12," 10 000010000 000"
"91","juvenile_court",-0.35,0.23,-0.725," 10 001000000 000"
"92","lane",0.505,-0.815,-0.82," 10 100000000 100"
"93","legislature",-0.065,1.475,-0.65," 10 000100000 000"
"94","library",1.43,1,-0.835," 10 100010000 100"
"95","luncheonette",1.225,0.435,1.56," 10 010000000 000"
"96","mahjong_game",-0.23,-0.32,0.275," 10 100000000 000"
"97","mansion",0.615,1.355,0.675," 10 000000010 000"
"98","market",0.825,1.025,1.405," 11 010000000 000"
"99","massage_parlor",-0.34,-0.455,0.385," 10 010000001 001"
"100","mediation",0.345,-0.14,-0.155," 01 010000000 000"
"101","military_school",0.265,0.915,0.35," 10 000010000 000"
"102","mortuary",-1.64,-0.645,-2.285," 10 010000100 000"
"103","museum",1.595,1.275,-0.38," 10 100010000 100"
"104","new_year's_eve",1.815,1.035,1.7," 01 100000000 000"
"105","news_stand",0.925,-0.34,0.585," 10 010000000 000"
"106","office",0.025,0.29,-0.525," 10 011011100 100"
"107","outdoors",1.44,1.225,1.59," 10 100000000 100"
"108","paddywagon",0,0.82,0.67," 10 001000000 001"
"109","palace",1.045,1.44,-0.66," 10 000100010 000"
"110","parade",1.365,0.855,1.66," 11 100100000 000"
"111","parlor",0.61,0.545,0.755," 10 000000010 100"
"112","party",1.48,1.19,1.75," 01 100000001 000"
"113","pilgrimage",0.895,1.155,0.345," 01 000000100 000"
"114","ping_pong_tournament",1.415,1.03,1.745," 11 100000000 000"
"115","planetarium",1.525,1.065,0.325," 10 000010000 000"
"116","pool_hall",1.555,0.945,1.785," 10 010000000 000"
"117","preparatory_school",-0.695,-0.045,-1.06," 10 000010000 000"
"118","press_conference",0.425,0.62,1.44," 01 011100000 000"
"119","prison",-1.445,0.66,-1.47," 10 001000000 100"
"120","pub",0.48,0.245,0.79," 10 100000000 000"
"121","reformatory",-0.565,-0.06,-0.52," 10 001000000 000"
"122","refuse_station",-1.75,0.07,-1.145," 10 100000000 000"
"123","repair_shop",0.335,0.46,0.21," 10 010000000 100"
"124","restaurant_(japanese)",0.78,0.67,1.065," 10 010000000 000"
"125","sermon",-0.32,-0.015,-0.635," 01 000000100 000"
"126","shanty",-0.53,-0.97,-0.465," 10 100000000 100"
"127","ship",0.725,0.64,0.58," 10 010000000 000"
"128","shopping_center",1.375,1.36,1.635," 10 010000000 100"
"129","sidewalk",0.71,0.065,0.195," 10 100000000 100"
"130","siesta",1.48,0.395,-0.66," 01 100000000 100"
