"","term","E","P","A","instcodes"
"1","acrobatics",1.27,0.48,1.42," 10 100000000 000"
"2","adult_bookstore",1.1,0.88,-0.08," 10 010000001 000"
"3","adult_education_class",-0.57,0.35,-0.25," 11 000010000 000"
"4","airplane",1.4,1.3,1.4," 10 110000000 000"
"5","airport",0.87,0.94,0.81," 10 110000000 000"
"6","altar",0.46,0.86,-0.98," 10 000000100 000"
"7","ambulance",0.21,0.28,0.46," 10 000001000 001"
"8","amusement_park",1.29,1.2,1.64," 10 110000000 000"
"9","apartment",1.33,0.54,0.45," 10 100000010 001"
"10","art_gallery",1.82,0.39,-0.14," 10 010000000 000"
"11","art_museum",2.17,1.13,-0.21," 10 000010000 000"
"12","asylum",-0.11,-0.3,-1.45," 10 000001000 001"
"13","atelier",1.71,-0.05,-0.21," 10 100000000 000"
"14","bakery",1.75,-0.26,0.77," 10 010000000 000"
"15","barber_shop",0.83,-0.51,0.09," 10 110000000 000"
"16","barrack",0.07,1.67,0.33," 10 001100000 000"
"17","basement",-1.13,-0.91,-1.65," 10 000000010 100"
"18","battlefield",-0.99,1.25,0.24," 10 000100000 001"
"19","beach",2.41,1.46,1.8," 10 100000000 100"
"20","beauty_parlor",0.78,0.18,0.97," 10 010000000 000"
"21","bed",2.27,0.2,-0.2," 10 000001001 101"
"22","bedroom",1.84,0.06,-0.41," 10 000000011 101"
"23","boarding_school",0.35,0.01,0.29," 10 010010000 001"
"24","boiler_room",-0.47,-0.83,-0.71," 10 100000000 000"
"25","boot_camp",0.64,1.2,1.19," 10 000100000 011"
"26","boutique",1.36,-0.33,1.01," 10 010000000 000"
"27","brothel",-2.09,-0.74,-0.01," 10 010000001 001"
"28","buddhist_temple",0.6,0.15,-1.44," 10 000000100 000"
"29","bull_session",1.15,-0.23,1.01," 01 100000000 000"
"30","by_road",-0.22,-1.17,-1.9," 10 100000000 100"
"31","cafe",0.65,-0.91,1.04," 10 010000000 000"
"32","casino",1.72,1.15,1.87," 10 010000000 100"
"33","cathedral",0.89,0.96,-1.07," 10 000000100 100"
"34","celebration",1.7,0.85,1.44," 01 100100110 000"
"35","cemetery",-1.36,-0.3,-1.87," 10 100000100 100"
"36","chapel",0.68,-0.46,-0.59," 10 000000100 100"
"37","christmas",1.96,1.41,1.64," 01 100000110 000"
"38","church",0.7,0.77,-1.38," 10 000000100 100"
"39","city_hall",0.18,1.33,-1.03," 10 000100000 000"
"40","clinic",0.14,-0.09,-0.67," 10 000001000 001"
"41","coffee_shop",1.68,-0.92,0.71," 10 010000000 100"
"42","concert",1.68,1.04,1.05," 11 110010000 000"
"43","convent",-0.48,-1.03,-1.65," 10 000000100 100"
"44","courtroom",-0.34,0.82,-0.82," 10 001000000 000"
"45","cram_school",-2.51,-1.29,-1.89," 10 000010000 000"
"46","crowd",0.75,0.84,0.92," 01 100000000 000"
"47","daycare_center",0.97,-0.14,1.63," 10 010010010 001"
"48","death_row",-2.16,-1.18,-2.51," 10 001000000 100"
"49","delicatessen",1.44,0.23,0.67," 10 010000000 000"
"50","department_store",1,1.21,1.25," 10 010000000 000"
"51","desert",-0.41,1.49,-1.89," 10 100000000 100"
"52","discount_store",0.28,-0.15,0.88," 10 010000000 000"
"53","divorce_court",-1.33,0.13,-1.18," 10 001000000 000"
"54","dormitory",0.49,-0.03,1.17," 10 000010000 000"
"55","embassy",0.95,1,-0.84," 10 000100000 000"
"56","emergency_room",-0.18,0.1,-0.29," 10 000001000 001"
"57","examination",-1.22,0.91,-0.49," 01 000011000 000"
"58","factory",0.49,1.19,0.5," 10 010000000 000"
"59","farm",1.42,0.95,0.57," 10 010000000 100"
"60","fashion_show",1.95,1.32,1.65," 01 010000000 000"
"61","festival",1.94,0.8,1.84," 01 100000000 000"
"62","fight",-0.69,1.84,0.86," 01 101000000 001"
