"","term","E","P","A","instcodes"
"1","acrobatics",1.07,0.54,1.43," 10 100000000 000"
"2","adult_bookstore",1.15,0.68,0.39," 10 010000001 000"
"3","adult_education_class",-0.05,0.09,-0.06," 11 000010000 000"
"4","airplane",1.1,1.23,1.02," 10 110000000 000"
"5","airport",1.16,1.66,1.14," 10 110000000 000"
"6","altar",-0.09,0.3,-0.72," 10 000000100 000"
"7","ambulance",0.5,0.54,0.42," 10 000001000 001"
"8","amusement_park",1.23,1.05,1.73," 10 110000000 000"
"9","apartment",0.99,0.21,0.47," 10 100000010 001"
"10","art_gallery",1.42,1.09,0.26," 10 010000000 000"
"11","art_museum",1.71,0.93,0.06," 10 000010000 000"
"12","asylum",-0.51,0.13,-0.44," 10 000001000 001"
"13","atelier",1.04,0.17,0.03," 10 100000000 000"
"14","bakery",1.16,-0.11,0.73," 10 010000000 000"
"15","barber_shop",0.52,-0.14,0.17," 10 110000000 000"
"16","barrack",0.71,1.71,0.74," 10 001100000 000"
"17","basement",-0.23,0.12,-0.92," 10 000000010 100"
"18","battlefield",-0.18,1.68,1.04," 10 000100000 001"
"19","beach",1.48,1.21,1.55," 10 100000000 100"
"20","beauty_parlor",0.83,-0.11,0.87," 10 010000000 000"
"21","bed",1.44,0.63,0.21," 10 000001001 101"
"22","bedroom",1.41,0.2,-0.1," 10 000000011 101"
"23","boarding_school",0.23,0.41,0.38," 10 010010000 001"
"24","boiler_room",-0.37,0.43,0.1," 10 100000000 000"
"25","boot_camp",0.78,0.96,0.94," 10 000100000 011"
"26","boutique",0.73,-0.43,0.59," 10 010000000 000"
"27","brothel",-0.74,-0.41,0.86," 10 010000001 001"
"28","buddhist_temple",0.16,0.17,-1.23," 10 000000100 000"
"29","bull_session",1.02,0.26,0.9," 01 100000000 000"
"30","by_road",-0.29,-0.57,-1.09," 10 100000000 100"
"31","cafe",0.81,-0.29,0.82," 10 010000000 000"
"32","casino",1.26,1,1.61," 10 010000000 100"
"33","cathedral",0.56,1.17,-0.69," 10 000000100 100"
"34","celebration",1.79,1.26,1.71," 01 100100110 000"
"35","cemetery",-0.96,-0.3,-1.47," 10 100000100 100"
"36","chapel",0.81,0.03,-0.23," 10 000000100 100"
"37","christmas",1.59,0.83,1.97," 01 100000110 000"
"38","church",0.51,0.9,-1.13," 10 000000100 100"
"39","city_hall",0.18,1.23,-0.35," 10 000100000 000"
"40","clinic",0.33,0.1,-0.12," 10 000001000 001"
"41","coffee_shop",1.39,0.5,1.23," 10 010000000 100"
"42","concert",1.61,1.39,1.39," 11 110010000 000"
"43","convent",-0.38,-0.4,-1.41," 10 000000100 100"
"44","courtroom",0.15,1.54,-0.56," 10 001000000 000"
"45","cram_school",-1.75,-0.85,-1.36," 10 000010000 000"
"46","crowd",0.67,1.16,0.75," 01 100000000 000"
"47","daycare_center",1.08,-0.15,1.58," 10 010010010 001"
"48","death_row",-1.41,0.29,-2.01," 10 001000000 100"
"49","delicatessen",0.86,0.29,0.67," 10 010000000 000"
"50","department_store",0.98,1.29,1.01," 10 010000000 000"
"51","desert",-0.82,1.59,-1.31," 10 100000000 100"
"52","discount_store",0.81,0,0.84," 10 010000000 000"
"53","divorce_court",-0.77,0.11,-1.1," 10 001000000 000"
"54","dormitory",0.56,0.22,1.38," 10 000010000 000"
"55","embassy",0.83,0.84,-0.34," 10 000100000 000"
"56","emergency_room",0.46,0.63,0.1," 10 000001000 001"
"57","examination",-0.6,0.24,-0.76," 01 000011000 000"
"58","factory",-0.21,0.98,0.57," 10 010000000 000"
"59","farm",1.13,1.05,0.76," 10 010000000 100"
"60","fashion_show",1.5,0.6,1.58," 01 010000000 000"
"61","festival",1.88,0.97,1.79," 01 100000000 000"
"62","fight",0.47,2.05,1.55," 01 101000000 001"
"63","fire_station",0.77,0.84,0.27," 10 001000000 000"
"64","flophouse",-0.11,-0.51,0.01," 10 010000000 100"
"65","foot_path",0.96,-0.15,-0.4," 10 100000000 100"
"66","fortress",0.75,1,-0.8," 10 001100000 000"
"67","garden",0.96,0.16,0.26," 10 100000000 100"
"68","gate_house",0.06,-0.54,-0.34," 10 100000010 000"
"69","gay_bar",-1.56,-0.64,0.23," 10 010000001 001"
"70","golf_course",1.14,1.1,0.74," 10 010000000 000"
"71","graduation",0.99,0.82,1.23," 01 100010000 010"
"72","greasy_spoon",-2.11,-1.15,-0.89," 10 010000000 000"
"73","great_wall",2.2,2.3,0.91," 10 100100000 000"
"74","gymnasium",1.57,1.19,1.97," 10 010010000 101"
"75","health_food_store",0.86,0.52,0.41," 10 010000000 000"
"76","heaven",1.64,1.25,0.94," 01 000000100 000"
"77","heavy_industry_plant",-0.37,1.58,-0.12," 10 010000000 000"
"78","high_school",0.8,0.5,0.83," 10 000010000 000"
"79","highway",1.11,0.95,1.16," 10 100000000 100"
"80","home",2.17,1.4,1.56," 10 000000010 101"
"81","honeymoon",2.44,1.55,2.07," 01 000000001 000"
"82","hospital",0.46,1.01,-0.25," 10 000001000 001"
"83","hotel",0.5,0.52,0.51," 10 010000000 000"
"84","house",0.94,0.5,0.32," 10 100000010 000"
"85","interrogation",-0.22,0.71,-0.63," 01 001000000 000"
"86","interview",0.58,0.63,0.34," 01 011011100 000"
"87","japanese_chess_match",-0.1,0.31,-0.72," 10 100000000 000"
"88","judge's_chamber",0.14,0.14,-1.08," 10 001000000 000"
"89","junior_college",-0.01,-0.2,0.61," 10 000010000 000"
"90","junior_high_school",1.01,-0.04,1.21," 10 000010000 000"
"91","juvenile_court",-0.34,-0.07,-0.49," 10 001000000 000"
"92","lane",0.45,-0.57,-0.36," 10 100000000 100"
"93","legislature",0.19,1.69,-0.44," 10 000100000 000"
"94","library",1.45,1.27,-0.76," 10 100010000 100"
"95","luncheonette",1.16,0.45,1.33," 10 010000000 000"
"96","mahjong_game",0.31,0.07,0.64," 10 100000000 000"
"97","mansion",0.81,1.28,0.59," 10 000000010 000"
"98","market",0.79,1.41,1.35," 11 010000000 000"
"99","massage_parlor",0.68,-0.16,0.95," 10 010000001 001"
"100","mediation",0.51,0.24,0.11," 01 010000000 000"
"101","military_school",0.48,1.07,0.36," 10 000010000 000"
"102","mortuary",-1.28,-0.05,-2.1," 10 010000100 000"
"103","museum",1.34,1.06,-0.61," 10 100010000 100"
"104","new_year's_eve",1.9,0.98,1.93," 01 100000000 000"
"105","news_stand",0.69,-0.21,0.54," 10 010000000 000"
"106","office",0.26,0.45,0.11," 10 011011100 100"
"107","outdoors",1.55,1.21,1.52," 10 100000000 100"
"108","paddywagon",0.16,0.37,0.63," 10 001000000 001"
"109","palace",1.15,1.35,-0.67," 10 000100010 000"
"110","parade",1.41,0.8,1.61," 11 100100000 000"
"111","parlor",0.42,0.84,0.69," 10 000000010 100"
"112","party",1.3,1.17,1.57," 01 100000001 000"
"113","pilgrimage",0.84,1.13,0.31," 01 000000100 000"
"114","ping_pong_tournament",1.28,0.74,1.65," 11 100000000 000"
"115","planetarium",1.49,1.21,-0.05," 10 000010000 000"
"116","pool_hall",1.24,0.76,1.72," 10 010000000 000"
"117","preparatory_school",-0.61,-0.01,-0.64," 10 000010000 000"
"118","press_conference",0.34,0.76,0.99," 01 011100000 000"
"119","prison",-1.43,0.4,-1.39," 10 001000000 100"
"120","pub",0.91,0.54,0.77," 10 100000000 000"
"121","reformatory",-0.11,-0.04,-0.04," 10 001000000 000"
"122","refuse_station",-1.4,0.18,-1," 10 100000000 000"
"123","repair_shop",0.39,0.4,0.15," 10 010000000 100"
"124","restaurant_(japanese)",0.54,0.58,0.92," 10 010000000 000"
"125","sermon",-0.26,0.22,-0.33," 01 000000100 000"
