"","term","E","P","A"
"1","abandon",-2.15,-1.1,1.04
"2","abuse",-2.22,-0.35,1.59
"3","accuse",-1.49,-0.05,1.04
"4","acquiesce_to",-0.1,-0.18,0.45
"5","address",1.38,1.09,-0.24
"6","admonish",2.41,2.13,-1.03
"7","advise",2.4,2.17,-0.54
"8","agree_with",0.91,0.82,-0.26
"9","aid",2.42,2.03,-0.4
"10","amuse",1.49,1.12,0.02
"11","analyze",1.48,0.87,-0.72
"12","answer",1.67,1.4,-0.52
"13","apologize_to",2.43,2.27,-0.58
"14","appeal_to",-1.07,-0.67,0.16
"15","applaud",0.63,0.56,-0.21
"16","apprehend",-1.04,-0.57,0.15
"17","approach",1.12,1.22,-0.06
"18","argue_with",0.06,0.5,0.17
"19","arrest",0.61,1.26,0.96
"20","ask_about_something",1.69,1.2,-0.23
"21","ask_out",1.34,1.04,-0.05
"22","assault",-2.64,-0.58,1.89
"23","assist",2.47,2.25,-0.79
"24","attack",-2.04,-0.45,1.42
"25","babble_to",-1.94,-1.24,1.26
"26","banter_with",1.93,0.96,0.43
"27","bargain_with",-0.83,-0.26,-0.27
"28","barter_with",-0.56,0.3,0.21
"29","bash",-2.22,0.11,2.45
"30","bawl_out",-1.93,-0.49,1.08
"31","be_intimate_with",1.9,1.26,-0.72
"32","be_sarcastic_toward",-1.38,-0.69,0.98
"33","beat_up",-2.82,-0.38,1.54
"34","beckon_to",0.75,0.51,0.24
"35","bed",0.9,0.79,-0.42
"36","belittle",-2.8,-1.28,1.6
"37","bellow_at",-2.03,-1.37,1.89
"38","beseech",-0.95,-0.86,0.07
"39","bill",0.42,0.06,-0.11
"40","bind",-0.66,0.38,1.03
"41","bite",-1.53,-0.25,0.92
"42","blabber_to",-1.08,-0.68,1.36
"43","blame",0.09,0.51,0.08
"44","bless",2.71,1.99,-0.87
"45","bootlick",-0.79,-0.33,0.29
"46","booze_with",-2.64,-1.72,1.66
"47","borrow_money_from",-0.9,-0.51,-0.23
"48","boss_around",-1,-0.17,0.97
"49","bow_to",-1.02,-1.06,0.28
"50","bribe",-2.55,-1.22,1.52
"51","brief",1.25,1.2,-0.28
"52","browbeat",-2.07,-1.14,1.44
"53","brutalize",-2.67,-0.19,2.23
"54","care_for",2.48,1.79,0.21
"55","caress",1.72,1.59,-0.32
"56","caution",1.23,1.37,0.08
"57","challenge",1.54,1.41,0.45
"58","chase",-0.84,0.91,1.61
"59","chastise",1.23,1.1,0.36
"60","chat_up",1.91,1.28,-0.46
"61","chat_with",1.79,1.4,-0.45
"62","chatter_to",-1.3,-0.53,1.35
"63","cheat",-2.39,-1.13,1.76
"64","cheat_on",-2.39,-1.37,1.48
"65","cheer",2.67,2.45,0.08
"66","cheer_up",2.48,2.37,-0.24
"67","choke",-2.53,-1.2,1.76
"68","cling_to",1.73,1.5,-0.44
"69","club",-2.1,0.19,1.9
"70","collaborate_with",2.53,2.2,-0.59
"71","combat",-2.17,0.15,1.62
"72","comfort",2.29,1.53,-0.62
"73","command",-0.66,0.41,1.01
"74","compensate",1.34,1.33,-0.4
"75","compete_with",1.79,1.59,1.01
"76","complain_to",0.16,-0.31,-0.06
"77","compliment",0.84,0.3,-0.23
"78","compromise_with",1.76,1.62,-0.77
"79","concur_with",1.89,1.2,-0.62
"80","condemn",-0.88,-0.28,0.3
"81","confess_to",1.61,1.57,-0.46
"82","confide_in",1.56,1.47,-0.63
"83","confine",0.46,0.6,0.18
"84","congratulate",2.4,1.56,0.01
"85","conspire_with",-2.47,-1.02,1.29
"86","consult_with",2.07,1.57,-0.79
"87","contemplate",1.7,1.17,-0.33
"88","contradict",-0.27,0.41,0.28
"89","converse_with",1.61,1.26,-0.29
"90","convict",-1.62,-0.55,0.91
"91","correct",1.4,1.53,-0.63
"92","counsel",2.18,1.58,-0.48
"93","criticize",-0.18,0.04,0.89
"94","curry_favor_from",1.52,0.99,-0.36
"95","curse",-2.67,-1.21,2.17
"96","cut_the_pay_of",-2.03,-0.86,1.47
"97","dance_with",1.11,0.86,0.68
"98","defeat",0.82,1.15,0.2
"99","defend",2.79,2.43,-0.22
"100","defer_to",-1.51,-1.88,0.06
"101","defy",1.53,1.48,0.73
"102","delay",-0.96,-0.49,0.41
"103","demean",-1.71,-1.04,1.06
"104","denigrate",-2.57,-1.75,1.8
"105","denounce",-1.39,-0.64,0.7
"106","deny_something_to",-1.67,-0.98,1.09
"107","deprecate",-1.47,-0.77,1.09
"108","desire_sexually",-1.71,-0.98,1.37
"109","dicker_with",-2.21,-1.58,1.19
"110","direct",1.72,1.28,-0.27
"111","disagree_with",0.06,0.58,0.6
"112","discipline",-0.47,0.43,0.67
"113","discourage",-0.24,-0.32,0.11
"114","discuss_something_with",1.78,1.38,-0.48
"115","disobey",-1.94,-0.22,1.25
"116","disparage",-1.65,-0.85,1.27
"117","distract",-1.77,-0.59,1.34
"118","divorce",-0.59,-0.25,0.71
"119","dote_on",1.01,0.27,-0.43
"120","draw_near_to",1.55,1.1,-0.11
"121","dress",-0.16,-0.15,0.06
"122","drone_on_at",-1.39,-0.78,0.52
"123","eat_with",1.79,1.02,-0.47
"124","elbow",-0.64,-0.1,0.34
"125","employ",1.9,1.56,-0.3
"126","encourage",2.6,2.21,-0.03
"127","entertain",1.69,1.2,0.01
"128","escape",1.67,0.87,-0.08
"129","examine",-0.09,0.08,0.41
"130","excuse",1.52,1.12,-0.62
"131","exonerate",1.76,1.53,-0.22
"132","explain_something_to",2.3,2.3,-0.28
"133","exploit",-2.43,-1.29,1.1
"134","extol",-0.04,0.09,-0.12
"135","eye",0.07,0.24,-0.15
"136","face",1.54,1.34,0.52
"137","feed_something_to",2.48,2.03,-0.02
"138","financially_back",1.82,2.02,-0.23
"139","fine",0.14,0.34,0.19
"140","fire_from_a_job",-2.38,-0.58,1.32
"141","flatter",-0.73,-0.81,0.53
"142","flee",-2.2,-0.84,0.81
"143","flirt_with",-0.7,-0.43,0.19
"144","flunk",-2.73,-1.41,0.99
"145","follow",-1.24,-0.84,0.37
"146","forget",-1.31,-0.35,0.11
"147","forgive",3,2.11,-0.81
"148","fornicate_with",-2.7,-1.6,1.94
"149","frown_at",-1.83,-0.67,1.14
"150","gape_at",-1.91,-1.04,0.89
"151","gawk_at",-1.64,-0.93,0.7
"152","gaze_at",-0.72,-0.64,0.06
"153","giggle_at",-1.51,-0.8,1.13
"154","giggle_with",0.93,0.51,0.78
"155","give_instructions_to",1.16,1.27,-0.31
"156","give_medical_treatment_to",2.29,1.52,-0.21
"157","give_raise_to",2.13,1.76,-0.05
"158","glance_at",0.63,0.59,0.07
"159","glare_at",-1.37,-0.29,0.79
"160","glorify",-0.05,-0.25,0.33
"161","gossip_with",-1.59,-0.63,1
"162","grade",1.8,1.6,-0.03
"163","greet",2.15,1.74,-1.02
"164","grin_at",1.63,1.34,-0.03
"165","groom",1.36,1.14,-0.11
"166","guide",2.39,1.68,-0.52
"167","gyp",-2.46,-1.19,1.64
"168","halt",-0.14,0.03,-0.21
"169","hand_something_to",1.5,1.42,-0.75
"170","handcuff",-0.27,0.66,0.36
"171","harm",-2.59,-0.96,2.06
"172","have_sex_with",-1.82,-0.37,1.53
"173","heal",2.11,1.38,-1.07
"174","heckle",-1.58,-0.53,1.13
"175","hire",-1.17,-0.48,0.74
"176","hold",0.24,0.83,0.76
"177","horse_around_with",-1.04,-0.21,0.59
"178","hug",0.93,0.92,-0.2
"179","hurry",-0.59,0.01,1.01
"180","hurt",-2.69,-0.31,1.79
"181","ignore",-1.59,-1,0.7
"182","imitate",-1.08,-0.92,0.61
"183","incarcerate",-1.91,-0.76,1.33
"184","incriminate",-1.93,-0.58,1.35
"185","indoctrinate",0.17,0.4,0.1
"186","inform",0.78,0.61,0.15
"187","inject_with_medicine",0.53,0.9,-0.51
"188","injure",-2.35,-0.47,1.57
"189","inspect",0.12,-0.09,-0.08
"190","insult",-2.54,-1.19,1.58
"191","interrogate",0.55,0.73,-0.31
"192","interrupt",-2.44,-1.28,1.97
"193","interview",1.57,1.18,-0.29
"194","jail",-1.31,-0.52,0.87
"195","jeer",-2.17,-0.79,1.57
"196","joggle",0.36,0.18,-0.22
"197","join_up_with",1.59,1.33,-0.39
"198","joke_with",1.54,1.2,0.35
"199","josh",1.72,0.74,-0.87
"200","kick",-2.06,-0.22,1.89
"201","kill",-3.1,-0.98,2
"202","kiss",1.52,0.92,0.03
"203","knife",-2.75,-0.99,2.17
"204","knock_out",-2.73,-0.82,2.39
"205","laud",0.91,0.5,-0.08
"206","laugh_at",-1.83,-1.34,0.98
"207","laugh_with",1.69,1.08,0.44
"208","lay_off_from_a_job",-1.41,-0.16,0.92
"209","lead",0.08,0.92,0.55
"210","leave",-1.65,-0.44,1.06
"211","lecture",1.67,1.2,-0.48
"212","leer_at",-1.75,-0.48,1.19
"213","lend_money_to",1.45,1.07,-0.77
"214","lie_to",-2.41,-1.84,1.3
"215","listen_to",1.85,1.68,-1.13
"216","look_at",-0.18,0.27,-0.33
"217","look_away_from",-0.27,0.07,0.16
"218","lunch_with",1.99,1.24,-0.59
"219","lust_for",-0.07,-0.06,0.55
"220","make_business_proposal_to",2.49,1.92,-0.26
"221","make_fun_of",-2.43,-1,1.7
"222","make_love_to",-1,-0.16,0.67
"223","make_up_with",2.76,2.39,-0.34
"224","malign",-2.03,-1.38,1.59
"225","marry",1.87,1.3,0.03
"226","massage",0.32,0.54,-0.13
"227","medicate",1.38,1.44,-0.43
"228","mimic",-0.41,-0.6,0.43
"229","molest",-2.83,-1.38,1.38
"230","monitor",-1.59,-0.57,0.64
"231","mother",2.79,2.4,-0.75
"232","mouth_off_to",-0.82,-0.14,0.99
"233","mug",-2.21,-0.25,1.72
"234","mumble_to",-0.28,-0.49,0.08
"235","murder",-2.53,-0.15,2.12
"236","nag",-1.99,-0.83,1.4
"237","neglect",-1.72,-0.89,0.72
"238","negotiate_with",1.54,1.47,-0.07
"239","nestle",2.19,1.83,-0.56
"240","nudge",-0.27,0.27,0.2
"241","obey",1.37,0.52,-0.92
"242","observe",0.92,0.89,-0.34
"243","obstruct",-2.22,-0.33,1.64
"244","oppose",0.15,0.13,0.04
"245","order",-0.39,-0.01,0.6
"246","overcharge",-1.48,-0.5,1.07
"247","overpower",1.09,1.34,0.85
"248","overwork",-1.17,-0.1,0.63
"249","pamper",0.42,0.19,0.08
"250","pay_for",0.85,0.82,0.24
"251","pay_for_something",1.14,0.51,-0.44
"252","peek_at",-1.1,-1.09,0.01
"253","peep_at",-2.21,-1.24,0.45
"254","pester",-2.07,-1.26,1.47
"255","photograph",1.31,0.71,-0.09
"256","pinch",-0.9,-0.03,0.85
"257","place_order_with",0.98,0.41,0.02
"258","play_with",1.52,1.09,0.01
"259","point_at",0.27,0.04,0.05
"260","praise",1.3,1.33,-0.45
"261","promise_something",1.12,0.89,-0.44
"262","prompt",1.23,0.87,0.01
"263","propose_marriage_to",1.41,0.89,-0.43
"264","prosecute",0.57,0.79,-0.08
"265","protect",2.69,2.6,0.36
"266","pull_away_from",-0.57,-0.37,0.47
"267","punch",-1.14,-0.09,1.17
"268","pursue",-1,-0.28,0.72
"269","push",-0.52,0.15,0.54
"270","put_to_bed",0.95,0.73,-0.63
"271","query",1.8,1.51,-0.4
"272","quiz",1.25,1.1,-0.25
"273","raise_the_pay_of",2.02,1.91,-0.2
"274","rant_at",-2.27,-0.77,1.59
"275","rape",-3.18,-0.91,1.92
"276","ravish",-2.98,-1.46,2.36
"277","reason_with",1.67,1.07,-0.65
"278","reassure",2.82,1.83,-0.83
"279","rebuff",-0.65,-0.64,0.56
"280","reform",2.62,2.24,-0.31
"281","rehabilitate",1.78,1.4,0.18
"282","remind",0.66,0.39,0.19
"283","reply_to",2.08,1.35,-0.66
"284","reprimand",-1.75,-0.5,1.34
"285","request_something_from",0.63,0.18,-0.31
"286","rescue",2.74,2.29,-0.03
"287","restrain",-0.93,-0.07,1.01
"288","retaliate_against",-1.55,-0.51,1.28
"289","reward",2.56,2.18,0.08
"290","rib",-1.55,-1.09,1.26
"291","ridicule",-2.42,-1.16,1.37
"292","rob",-2.16,-0.29,0.93
"293","rouse",0.14,0.27,0.77
"294","salute",2.21,2.11,-1.3
"295","save",2.53,2.23,0.53
"296","say_farewell_to",-0.28,0.3,0.57
"297","scowl_at",-2.13,-0.69,1.37
"298","scratch",-2.3,-0.42,1.72
"299","scream_at",-1.78,-1.03,1.69
"300","search",-1.2,-0.38,1.06
"301","seduce",-0.88,-0.32,0.63
"302","seize",-1.18,-0.21,1.05
"303","sell_something_to",1.02,0.58,0.09
"304","sentence",-0.72,0.54,0.61
"305","serenade",1.81,0.8,-0.41
"306","serve",2.16,1.41,-0.22
"307","sexually_arouse",-1.68,-0.81,1.56
"308","sexually_proposition",-2.23,-1.18,1.56
"309","shake_hands_with",1.5,1.41,-0.81
"310","share_something_with",1.03,0.44,0.24
"311","shoot",-2.48,-0.14,1.88
"312","shout_at",-1.91,-0.58,1.24
"313","show_something_to",1.28,0.86,-0.33
"314","silence",-0.41,-0.07,0.37
"315","sing_to",1.44,1.17,-0.5
"316","sit_next_to",1.14,0.81,-0.53
"317","slap",-1.79,-0.23,1.46
"318","slug",-1.34,0.04,0.84
"319","smile_at",2.55,2.33,-0.99
"320","smirk_at",0.98,0.83,-0.06
"321","snuggle",1.08,0.63,-0.77
"322","sock",-2.17,-0.62,2.12
"323","soothe",1.02,0.85,-0.51
"324","sound_out",2.14,1.52,-0.71
"325","spank",-1.85,-1.01,1.49
"326","squeeze",-1.18,-0.52,0.88
"327","stab",-2.45,-0.37,1.99
"328","stammer_at",-0.85,-0.24,0.28
"329","stare_at",-1.36,-0.64,0.46
"330","stare_down",-0.71,0,0.1
"331","steal_from",-2.65,-1.11,1.47
"332","stop",-0.49,0,0.23
"333","strangle",-2.73,-0.44,1.72
"334","strip",-1.37,-0.33,1.06
"335","stroke",0.92,0.93,-0.36
"336","subdue",-1.76,0.17,1.14
"337","suck_up_to",-0.85,-0.42,0.23
"338","sue",-0.26,0.19,0.09
"339","suggest_something_to",0.95,0.99,-0.4
"340","surprise",1.11,1.21,0.96
"341","sympathize_with",2.45,1.59,-0.74
"342","tackle",-0.83,0.56,1.92
"343","talk_shop_with",1.28,1.23,-0.22
"344","talk_to",1.42,0.61,-0.41
"345","thank",2.62,2.05,-0.88
"346","threaten",-2.2,-0.56,1.72
"347","tickle",-0.21,0.32,0.7
"348","toady_to",-0.71,-0.6,0.66
"349","torment",-2.85,-0.7,1.63
"350","torture",-2.58,-0.71,1.83
"351","touch",-0.16,-0.13,-0.02
"352","train",1.87,1.77,0.25
"353","transact_business_with",0.72,0.99,-0.32
"354","treat",1.99,1.39,-0.1
"355","tug",-1.45,0.52,1.33
"356","turn_to",1.05,0.69,-0.16
"357","underpay",-1.67,-0.89,0.96
"358","undress",-2.08,-1.03,1.29
"359","warn",1.57,1.63,0.38
"360","wash",0.17,0.46,0.1
"361","watch",0.46,0.03,0.3
"362","welcome",2.59,2.16,-0.11
"363","whip",-2.69,0.06,1.72
"364","whisper_to",0.09,-0.38,-0.12
"365","wink_at",-0.23,0.21,0.14
"366","work",-0.45,0.04,0.7
"367","wrestle_with",-1.73,-0.02,1.06
"368","yield_to",-1.08,-0.14,0.17
