"","term","E","P","A"
"1","afro_american",0.23,0.21,-0.02
"2","air_force_enlistee",2.17,1.95,0.14
"3","air_force_officer",2.03,2.08,-0.49
"4","air_force_reservist",1.61,1.97,0.16
"5","army_enlistee",1.59,1.61,0.11
"6","army_officer",1.26,1.96,0.33
"7","army_reservist",1.48,1.23,-0.12
"8","catholic",-0.27,-0.13,0.2
"9","christian",0.49,0.07,-0.36
"10","god",3.68,3.44,-0.91
"11","jew",-2.01,-1.68,1.42
"12","navy_enlistee",2.2,1.84,0.05
"13","navy_officer",2.15,2.01,-0.48
"14","protestant",-0.03,0.09,0.15
"15","vip",2.71,2.5,-0.16
"16","abortionist",-1.89,-0.58,0.88
"17","adolescent",0.17,0.06,0.6
"18","adult",1.37,0.94,0.02
"19","adulterer",-2.99,-1.88,2.26
"20","adulteress",-3.44,-2.19,2.14
"21","advisor",1.13,1.14,-0.17
"22","alcoholic",-2.66,-1.61,1.57
"23","anti_semite",-0.62,-0.06,0.32
"24","applicant",2.01,1.34,-0.18
"25","assistant",2.53,2.19,-0.68
"26","atheist",-1.9,-1.1,1.45
"27","athlete",2.81,2.71,0.03
"28","attorney",1.71,1.68,-0.29
"29","aunt",1.17,1.07,-0.49
"30","authority",2.46,2.66,0.06
"31","baby",2.62,0.08,-0.64
"32","babysitter",1.68,1.41,-0.96
"33","bachelor",2.38,1.94,-0.37
"34","baldy",0.41,0.27,0.03
"35","battered_woman",-2.78,-1.41,1.93
"36","beginner",0.99,0.12,-0.36
"37","beloved",2.83,2.1,-0.53
"38","best_friend",2.88,2.96,-0.24
"39","big_brother",1.96,1.74,-0.57
"40","big_shot",1.95,1.74,-0.35
"41","big_sister",2.35,1.64,-0.48
"42","bisexual_female",-1.55,-0.72,1.12
"43","bisexual_male",-1.75,-1.5,1.29
"44","blind_date",0.07,-0.07,-0.23
"45","boozer",-2.9,-1.7,2.11
"46","bore",-1.39,-0.85,0.61
"47","boss",1.3,1.82,0.07
"48","boy",0.96,0.88,0.01
"49","brat",-0.7,-0.29,1.59
"50","bride",1.95,1.49,-0.02
"51","bridegroom",2.23,1.42,-0.38
"52","bridesmaid",1.74,1.48,0.17
"53","brother",2.73,1.9,0.06
"54","brother_in_law",1.47,1.49,-0.51
"55","brute",-2.6,-0.41,2.01
"56","bum",-2.2,-1.45,1.76
"57","bureaucrat",0.15,0.34,-0.09
"58","businessman",2.11,1.75,-0.21
"59","businesswoman",1.38,1.17,-0.2
"60","capitalist",0.83,1.54,0.56
"61","celebrity",1.81,1.25,0.4
"62","chain_smoker",-2.05,-1.25,1.35
"63","champion",2.69,2.73,0.1
"64","chatterbox",-1.89,-1.52,1.75
"65","child_molester",-3.07,-1.24,2.17
"66","chum",2.71,2.24,-0.02
"67","citizen",2.1,1.48,-0.74
"68","classmate",1.75,1.16,-0.22
"69","clergyman",-0.26,-0.38,-0.05
"70","client",1.21,0.5,-1.08
"71","co_worker",1.5,1.2,-0.28
"72","coach",2.09,1.96,-0.17
"73","coed",2.06,1.42,0.15
"74","colleague",2.04,1.65,-0.54
"75","companion",2.23,2.04,0.15
"76","competitor",2.01,1.91,0.28
"77","computer_expert",2.25,1.92,-0.09
"78","confidant",3.1,2.75,-0.95
"79","conservative",2.18,1.81,-0.98
"80","consultant",2.13,1.96,-0.76
"81","convalescent",1.59,1.11,-0.6
"82","cop",0.9,0.89,0.76
"83","cousin1",2.06,0.9,-0.46
"84","cousin2",1.77,0.88,-0.89
"85","cousin3",1.36,0.9,-0.67
"86","cousin4",1.4,0.61,-0.69
"87","cousin5",1.58,1.06,-0.07
"88","cousin6",1.46,1.27,0.32
"89","cousin7",2.07,1.36,-0.27
"90","cousin8",1.41,0.63,0
"91","criminal",-2.85,-1.62,1.47
"92","critic",0.64,0.59,-0.03
"93","crook",-3.02,-1.44,1.85
"94","date",1.87,1.28,-0.71
"95","daughter",2.43,1.55,-0.53
"96","daughter_in_law",1.1,0.46,-0.79
"97","deadbeat_dad",-2.73,-1.55,1.1
"98","defendant",-0.81,-0.44,0.49
"99","defense_attorney",1.17,1.7,-0.05
"100","delinquent",-2.02,-0.92,0.96
"101","detective",1.25,1.73,-0.26
"102","devil_worshiper",-3.27,-2.47,2.04
"103","director",1.82,1.46,-0.34
"104","disciplinarian",0.84,0.94,0.33
"105","divorce_lawyer",0.81,0.51,-0.03
"106","divorcee_(gender_neutral)",-0.98,-0.54,1.18
"107","do_nothing",-2.38,-1.73,-0.29
"108","doctor",2.08,2.1,-0.81
"109","dropout",-2.35,-1.39,0.86
"110","drunk",-2.89,-1.92,1.52
"111","dummy",-2.34,-1.26,1.22
"112","egghead",-1.75,-0.64,0.88
"113","elder",1.37,0.28,-1.1
"114","employee",1.35,1.12,-0.56
"115","employer",1.29,1.6,0.06
"116","enemy",-2.31,-0.15,1.09
"117","entrepreneur",0.81,0.85,0.27
"118","evangelist",1.51,1.25,-0.07
"119","ex_boyfriend",-0.78,-0.32,0.61
"120","ex_husband",0.97,0.65,0.24
"121","ex_wife",-0.31,0.34,0.43
"122","executioner",-1.44,0.08,1.08
"123","executive",1.9,1.89,0.15
"124","extrovert",2.11,1.75,-0.35
"125","failure",-2.39,-1.78,1
"126","family_man",2.64,2.66,-0.21
"127","fanatic",-1.78,-0.47,1.43
"128","father",2.89,2.53,-0.34
"129","father_in_law",0.69,0.58,-0.03
"130","female",1.78,0.56,-0.55
"131","fiance_(male)",2.09,1.38,-0.36
"132","fiancee_(female)",1.93,1.37,-0.19
"133","firstborn",2.57,1.39,-0.45
"134","follower",-0.76,-0.51,-0.08
"135","foreman",1.4,1.69,0.45
"136","friend",2.95,2.49,0.27
"137","genius",2.3,2.04,-0.93
"138","gentleman",3.04,2.55,-0.38
"139","girl",1.77,0.84,-1.14
"140","gossip",-1.77,-1.33,0.71
"141","graduate",2.16,1.4,0.14
"142","graduate_student",2.59,1.83,-0.55
"143","grandchild",2.27,1.59,-0.04
"144","granddaughter",2,1.21,-0.54
"145","grandfather",1.88,1.5,-0.1
"146","grandmother",1.91,0.71,-0.63
"147","grandson",2.29,1.43,-0.2
"148","great_grandfather",0.96,0.55,-0.57
"149","great_grandmother",1.43,0.72,-0.41
"150","grind",3.29,2.96,-0.95
"151","grouch",-1.91,-1.23,0.42
"152","guest",1.15,0.2,-0.82
"153","guy",1.77,0.69,-0.32
"154","gynecologist",1.28,1.24,-1.09
"155","half_brother",1.06,0.75,-0.08
"156","half_sister",1.56,0.76,-0.23
"157","handicapped_person",0.85,0.1,-0.6
"158","handyman",1.36,1.35,0.08
"159","has_been",-1.31,-0.99,0.74
"160","hatemonger",-3.12,-2.05,1.56
"161","headnurse",1.14,1.36,0.34
"162","hermaphrodite",-2.36,-1.57,1.08
"163","hero",2.6,2.34,0.19
"164","heroine",1.28,1.44,-0.14
"165","homemaker",2.12,1.57,-0.04
"166","homosexual",-1.88,-1.31,0.84
"167","honeymooner",2.34,1.84,-0.68
"168","hoodlum",-2.78,-0.71,2.09
"169","host",1.68,0.81,-0.55
"170","hothead",-1.91,-0.42,1.66
"171","hotshot",1.25,1.41,0.53
"172","house_guest",1.27,0.47,-0.32
"173","house_husband",2.77,2.32,-0.6
"174","housewife",2.1,1.33,-0.56
"175","hunk",1.64,1.14,-0.86
"176","hussy",-3.11,-1.35,1.63
"177","idiot",-1.95,-1.18,0.47
"178","ignoramus",-1.63,-1.14,0.31
"179","illegitimate_child",-2.08,-1.08,1.67
"180","infant",2.45,0.58,-0.56
"181","informer",0.27,0.38,0.53
"182","innocent",2.46,1.62,-0.52
"183","insider",0.7,0.83,0.25
"184","interviewee",1.55,1.03,-0.76
"185","interviewer",1.6,0.94,-0.55
"186","intimate",2.49,2.12,-0.25
"187","introvert",-1.28,-1.27,-0.65
"188","invalid",-0.54,-0.83,-0.37
"189","isolate",-1.11,-1.11,-1.05
"190","jerk",-2.5,-1.45,1.4
"191","judge",1.9,1.65,-0.76
"192","juror",1.16,1.3,-0.55
"193","kid",1.52,0.78,0.32
"194","know_it_all",-1.74,-0.64,1.4
"195","lackey",0.43,0.26,-0.26
"196","lady",1.66,1.07,-0.48
"197","lady_killer",0.25,0.06,0.37
"198","lawyer",1.62,1.32,-0.5
