"","term","E","P","A"
"1","black",0.68,0.53,-0.72
"2","abusive",-2.1,-1.16,1.5
"3","accommodating",2.23,1.75,-0.67
"4","adventurous",2.3,2.37,0.57
"5","affectionate",1.71,1.45,-1.02
"6","afraid",-1.86,-0.94,1.07
"7","aggressive",-2.7,-1.17,1.83
"8","alarmed",-2.35,0.19,1.66
"9","aloof",-1.32,-0.89,0.43
"10","ambitious",3.11,2.61,0.1
"11","amused",1.89,1.33,-0.72
"12","anguished",-1.75,-1.07,0.38
"13","antisocial",-1.89,-1.54,-0.4
"14","anxious",-1.55,-0.16,0.52
"15","apathetic",-1.5,-1.05,0.24
"16","arrogant",-2.39,-1.22,1.28
"17","ashamed",0.61,0.33,-0.55
"18","at_ease",2.78,2.13,-1.07
"19","authoritarian",-1.92,-0.4,1.46
"20","bitter",-1.89,-0.58,1.1
"21","bold",2.16,1.82,0.27
"22","bossy",0.63,1.51,0.43
"23","brave",2.5,2.64,0.28
"24","bright",2.88,2.62,-1.03
"25","broad_minded",2.1,2.12,-0.79
"26","broken_hearted",-2.32,-0.38,1.6
"27","calm",1.8,1.45,-1.43
"28","careless",-2.34,-1.37,1.25
"29","cautious",1.93,1.36,-0.98
"30","charmed",0.96,0.81,0.34
"31","cheerful",2.62,2.32,0.58
"32","cheerless",-2.38,-0.95,0.75
"33","childish",-0.42,-0.32,0.57
"34","cocky",-0.58,-0.39,0.31
"35","cold_toward_someone",-0.68,0.04,0
"36","competent",2.59,2.32,-0.01
"37","competitive",2.4,2.61,0.6
"38","compulsive",-2.11,-0.75,1.5
"39","conceited",-2.23,-1.41,1.8
"40","confident",2.87,2.46,-0.32
"41","conscientious",2.71,2.28,-0.38
"42","considerate",2.32,2.01,-0.6
"43","contented",2.12,2.1,-0.69
"44","cooperative",2.55,1.88,-0.7
"45","courageous",3.1,2.55,0.7
"46","cowardly",-2.49,-1.95,0.14
"47","cruel",-1.87,-0.76,1.67
"48","cynical",-1.31,-0.91,1.18
"49","daring",2.14,2.13,0.25
"50","defensive",0.97,0.96,0.7
"51","deflated",-1.21,-0.71,0.48
"52","delighted",2.54,1.63,-0.06
"53","dependable",3.18,2.36,-0.45
"54","dependent",-1.82,-1.57,0.18
"55","despondent",-0.45,-0.35,0.05
"56","disappointed",-2,-1.3,0.93
"57","discontented",-2.35,-1.01,0.77
"58","discouraged",0.19,0.48,0.43
"59","disgusted",-1.63,-0.84,0.84
"60","disheartened",-0.81,-0.39,0.12
"61","displeased",-1.85,-1.34,0.67
"62","dissatisfied",-2.24,-0.93,1.12
"63","distressed",-0.77,-0.02,0.37
"64","dogmatic",-0.67,-0.02,0.61
