"","term","E","P","A"
"1","baring_ones_teeth",-1,1.16,0.75
"2","beckoning",0.62,0.21,-0.02
"3","blinking",0.99,-0.66,1.62
"4","caressing",2.99,1.34,-2.26
"5","chewing_ones_lips",-1.14,-0.91,-0.1
"6","clapping_ones_hands",2.43,1.18,1.29
"7","closing_ones_eyes",-0.02,-0.44,0.31
"8","crossing_ones_fingers",0.67,0.02,-0.12
"9","crouching",-0.37,0.26,-0.63
"10","flinching",-0.78,-0.08,1.92
"11","frowning",-1.8,0.22,0.26
"12","giggling",1.55,0.31,1.06
"13","glancing",1.24,0.03,1.63
"14","grinding_ones_teeth",-2.66,0.9,-0.24
"15","grinning",2.35,1.03,0.86
"16","holding_out_an_object",0.65,0.79,-0.41
"17","hugging",3.17,1.6,-0.66
"18","interrupting",-2.71,0.31,1.73
"19","jumping",1.72,1.81,1.95
"20","kicking",-2.57,1.95,2.02
"21","kissing",3.09,2.05,-0.97
"22","kneeling",0.72,0.18,-0.84
"23","laughing",3.37,2.2,2.07
"24","leaning_back",0.47,-0.13,-0.99
"25","leaning_forward",0.61,0.25,-0.45
"26","licking_ones_lips",0.65,0.18,0.63
"27","lying_down",1.23,-0.56,-1.22
"28","making_afist",-1.98,1.66,1.12
"29","making_asweeping_motion_with_ones_forearm",-0.12,1.02,0.75
"30","making_an_okay_sign",2.02,0.56,0.29
"31","making_thumbs_up_sign",2.56,0.76,0.67
"32","narrowing_ones_eyes",-1.42,0.7,0.39
"33","nodding_ones_head",1.62,0.11,0.04
"34","ogling",-0.68,-0.13,-0.07
"35","opening_ones_mouth",0.03,0.03,0.33
"36","patting",1.27,0.55,0.57
"37","pinching",-1.97,0.65,1.17
"38","placing_ahand_on_ones_back",1.8,0.79,0.04
"39","playing_with_ones_hair",-0.24,-0.32,-0.29
"40","pointing",-1.03,-0.25,1.24
"41","pouting",-2.65,-0.13,-1.26
"42","puckering_ones_face",-0.79,-0.09,0.35
"43","pulling",-0.74,1.5,0.94
"44","pulling_ones_chin_in",-0.38,0.13,-0.03
"45","punching",-2.7,2.28,2.55
"46","pushing",-2.59,1.87,2.02
"47","putting_ones_arms_on_ones_hips",-0.56,0.61,-0.02
"48","putting_ones_hand_over_ones_mouth",-0.36,0.11,0.11
"49","raising_ones_eyebrows",0.46,0.74,0.19
"50","raising_ones_forearm",-0.16,0.75,0.22
"51","reaching",0.82,0.38,-0.15
"52","rocking_back_and_forth",-0.51,-0.44,-0.31
"53","rolling_ones_eyes",-1.81,-0.11,0.58
"54","saying_ah",0.11,0.11,-0.44
"55","scratching",-0.01,0.19,0.76
"56","shaking",-1.05,0.68,1.26
"57","shaking_ones_head",0.1,0.35,0.27
"58","shrugging_ones_shoulders",-0.41,-0.88,-0.21
"59","sighing",-0.71,-0.4,-0.85
"60","sitting",0.96,-0.25,-0.64
"61","smiling",3.51,1.56,1.32
"62","snatching",-1.9,1.74,2.19
"63","sneering",-2.69,0.25,1.2
"64","snuggling",3.12,1.08,-1.59
"65","speaking_in_aharsh_voice",-1.99,1.55,1.14
"66","speaking_in_ahigh_voice",-0.61,0.07,0.53
"67","speaking_in_ahoarse_voice",-1.27,-0.29,-0.76
"68","speaking_in_alow_voice",-0.03,-0.33,-1.23
"69","speaking_in_amellow_voice",1.24,0.08,-0.92
"70","speaking_in_amonotone",-1.99,-1.13,-1.23
"71","speaking_in_aquavering_voice",-1.16,-1.35,-1.06
"72","speaking_nasally",-1.87,-0.84,-0.09
"73","speaking_very_loudly",-0.78,1.14,0.41
"74","speaking_very_quickly",-0.6,0.77,2.13
"75","speaking_very_slowly",-0.4,-0.49,-1.89
"76","speaking_very_softly",0.04,-0.7,-0.79
"77","spitting",-2.55,0.07,1.32
"78","stamping_ones_feet",-1.21,0.43,1.03
"79","standing",1.25,0.85,-0.26
"80","staring",-0.78,0.67,-0.69
"81","sticking_ones_tongue_out",-1.65,-0.07,1
"82","stretching",1.6,0.78,-1.65
"83","sucking_on_ones_fingers",-1.9,-0.92,-1.27
"84","swallowing",1.05,0.03,0.21
"85","taking_astep_back",-0.05,0,0.03
"86","taking_astep_forward",1.56,1.05,0.55
"87","taking_astep_sideways",0.45,0.36,0.45
"88","throwing",-0.16,1.53,1.72
"89","thrusting_ones_face_out",-1.01,1.43,1.42
"90","tickling",2.01,1.4,1.53
"91","tilting_ones_head",0.86,-0.05,-0.75
"92","turning",0.51,0.04,0.08
"93","waving",2.81,0.46,1.11
"94","weeping",-0.67,0.81,-0.44
"95","whispering",-0.35,-0.64,-1.28
"96","widening_ones_eyes",0.16,0.6,0.21
"97","wrinkling",-0.7,-0.25,0.82
"98","yawning",-0.08,-0.24,-1.74
