"","term","E","P","A"
"1","perform_blowjob_with_condom",1.125,0.805,1.285
"2","perform_blowjob_without_condom",-0.325,-0.32,0.965
"3","receive_blowjob_with_condom",1.285,1.065,-0.965
"4","receive_blowjob_without_condom",-0.32,0.64,-0.535
"5","perform_jackoff",1.075,1.81,2.25
"6","receive_jackoff",2.86,2.13,2.28
"7","give_dirty_talk",0.51,1.58,1.22
"8","receive_dirty_talk",1.5,0.535,1.29
"9","give_phone_sex",0.645,0,0.645
"10","receive_phone_sex",1.445,0.32,1.285
"11","perform_anal_intercourse_with_condom",1.98,1.77,0.965
"12","perform_anal_intercourse_without_condom",0.105,0.32,2.305
"13","receive_anal_intercourse_with_condom",2.78,0.64,1.49
"14","receive_anal_intercourse_without_condom",-2.57,-3,-1.93
