"","term","E","P","A"
"1","perform_blowjob_with_condom",1.61,1.61,1.61
"2","perform_blowjob_without_condom",-3.86,-1.93,-0.96
"3","receive_blowjob_with_condom",3.21,2.13,0.64
"4","receive_blowjob_without_condom",-3.21,-1.29,-1.71
"5","perform_jackoff",2.57,2.78,3.21
"6","receive_jackoff",2.86,2.13,2.28
"7","give_dirty_talk",2.31,2.52,1.8
"8","receive_dirty_talk",3.42,1.49,3
"9","give_phone_sex",1.93,0.64,1.29
"10","receive_phone_sex",3.21,0.64,2.89
"11","perform_anal_intercourse_with_condom",2.25,2.25,1.93
"12","perform_anal_intercourse_without_condom",-3.21,-1.93,1.61
"13","receive_anal_intercourse_with_condom",2.78,0.64,1.49
"14","receive_anal_intercourse_without_condom",-2.57,-3,-1.93
