"","term","E","P","A"
"1","perform_blowjob_with_condom",0.64,0,0.96
"2","perform_blowjob_without_condom",3.21,1.29,2.89
"3","receive_blowjob_with_condom",-0.64,0,-2.57
"4","receive_blowjob_without_condom",2.57,2.57,0.64
"5","perform_jackoff",-0.42,0.84,1.29
"6","receive_jackoff",2.86,2.13,2.28
"7","give_dirty_talk",-1.29,0.64,0.64
"8","receive_dirty_talk",-0.42,-0.42,-0.42
"9","give_phone_sex",-0.64,-0.64,0
"10","receive_phone_sex",-0.32,0,-0.32
"11","perform_anal_intercourse_with_condom",1.71,1.29,0
"12","perform_anal_intercourse_without_condom",3.42,2.57,3
"13","receive_anal_intercourse_with_condom",2.78,0.64,1.49
"14","receive_anal_intercourse_without_condom",-2.57,-3,-1.93
