"","term","E","P","A","instcodes"
"1","adopt",1.91,-0.15,-0.45," 10 000000010 010"
"2","aggravate",-0.87,0.55,0.99," 01 111111111 100"
"3","anger",-2.29,0.56,1.26," 01 111111111 000"
"4","antagonize",-1.58,1,1.07," 01 111111111 000"
"5","apologize_to",0.08,0.12,-1.03," 10 111111111 000"
"6","appeal_to",0.5,1.22,1.2," 10 111111111 000"
"7","applaud",2.4,1.08,2.08," 10 111111111 010"
"8","apprehend",-1.9,1.58,1.82," 10 001000000 001"
"9","approach",1.47,0.07,-0.74," 10 111111111 010"
"10","approve_of",1.46,0.09,-0.21," 01 111111111 100"
"11","argue_with",-1.62,1.27,2.27," 10 111111111 000"
"12","arouse",2.75,-0.44,-0.52," 01 000000001 101"
"13","arrest",-1.96,1.76,1.87," 10 001000000 001"
"14","ask_about",0.25,-0.26,-0.42," 01 111111111 010"
"15","assault",-2.65,2.13,2.71," 10 001000000 001"
"16","assist",0.84,0.13,-0.81," 10 111111111 000"
"17","astonish",1.13,0.62,0.45," 01 111111111 000"
"18","astound",1.22,1.06,1.29," 01 111111111 000"
"19","attack",-1.62,1.42,2.08," 10 001100010 001"
"20","avoid",-1.32,-0.3,-0.89," 01 111111110 010"
"21","baby",-1.78,-0.86,-0.25," 10 000000010 100"
"22","back",2.27,0.68,-0.09," 10 010100000 010"
"23","badger",-1.37,1.23,1.37," 10 111111111 100"
"24","be_owed_by",0.04,0.34,-0.9," 01 010000000 000"
"25","beg",-2.29,-0.9,0.08," 10 111111111 000"
"26","belittle",-2.71,1.1,2.02," 10 111111111 100"
"27","beseech",-2.1,-1,0.7," 10 111111111 000"
"28","bind",-0.46,0.76,0.11," 10 001000001 001"
"29","blame",-2.07,0.91,1.15," 10 111111111 010"
"30","bless",0.52,0.04,-1.53," 10 000000100 000"
"31","boss",-2.27,0.96,1.13," 10 110101011 000"
"32","bribe",-2.08,-0.26,-0.38," 10 011100000 110"
"33","bully",-2.14,0.21,1.35," 10 100100011 001"
"34","cajole",-1.66,0.27,1.73," 10 111111111 000"
"35","call",0.61,0.75,1.36," 10 111111111 010"
"36","caress",3.24,-1.07,-1.56," 10 000000011 001"
