"","term","E","P","A","instcodes"
"1","academic",0.91,0.29,-0.45," 11 000010000 000"
"2","accomplice",-1.99,-0.1,0.44," 11 001000000 000"
"3","accountant",0.04,-1.44,-1.77," 11 010000000 000"
"4","accuser",-1.33,0.84,1," 11 111100000 000"
"5","acid_head",-1.51,-1.4,-0.33," 11 100000000 000"
"6","acquaintance",1.54,0.51,0.79," 11 100000000 000"
"7","adolescent",0.55,0.33,1.97," 11 100000010 000"
"8","adult",0.36,1.21,-0.65," 11 101000010 000"
"9","adulterer",-1.98,0.35,0.6," 10 000000011 001"
"10","adulteress",-1.26,-0.32,0.33," 01 000000011 001"
"11","advisor",1.84,1.1,-1.43," 11 110110000 000"
"12","airline_pilot",1.67,1.26,-1.31," 11 010000000 000"
"13","alcoholic",-2.1,-0.57,0.19," 11 100001000 000"
"14","amateur",0.33,-0.66,0.7," 11 100000000 000"
"15","applicant",0.67,-0.9,-0.79," 11 011000000 000"
"16","apprentice",0.55,-0.93,0.07," 11 010000000 000"
"17","architect",1.16,0.36,-0.66," 11 010000000 000"
"18","ass",-2.57,1.19,1.44," 11 100000000 000"
"19","assailant",-2.57,2.11,2.6," 11 001000000 001"
"20","assistant",0.95,-0.11,-0.11," 11 110001000 000"
"21","athlete",1.26,2.82,2.09," 11 010010000 001"
"22","attorney",0.67,1.24,-0.75," 11 011000000 000"
"23","auctioneer",0.25,0.94,2.04," 11 010000000 000"
"24","aunt",1.72,0.56,0.77," 01 000000010 000"
"25","author",1.66,0.36,-0.92," 11 010010000 000"
"26","authority",-0.24,2.08,-1.37," 11 111111100 000"
"27","auto_mechanic",0,1.76,0.41," 11 010000000 000"
"28","baby",2.03,-3.31,2.07," 11 100001010 001"
"29","babysitter",1.99,0.26,-1.16," 11 000000010 011"
"30","bachelor",0.71,0.24,0.82," 10 000000011 000"
"31","baker",1.64,1.69,0.32," 11 010000000 000"
"32","bandit",-2.35,1.54,1.47," 11 001000000 000"
"33","banker",-0.4,0.1,-0.98," 11 010000000 001"
"34","barkeeper",1.92,0.89,2.03," 11 010000000 000"
"35","barmaid",-0.17,0.12,1.54," 01 010000000 000"
"36","beauty",1.81,-0.36,0.28," 01 100000000 001"
"37","beggar",-0.93,-1.44,-1," 11 100000000 000"
"38","beginner",-0.04,-1.4,-0.43," 11 100000001 000"
"39","bigamist",-2.09,0.33,0.66," 11 001000011 011"
"40","bigot",-2.34,-1.45,-1.59," 11 100000000 000"
"41","bill_collector",-2.87,2.07,1.31," 11 010000000 000"
"42","bisexual",0.7,-0.11,0.18," 11 000000001 001"
"43","blabbermouth",-1.64,0.19,2.43," 11 100000000 000"
"44","blacksmith",1.11,2.64,0.6," 11 010000000 000"
"45","blind_date",-0.04,0.01,0.33," 11 000000001 001"
"46","bodyguard",-0.12,2.56,-0.21," 11 001100000 001"
"47","bohemian",1.19,0.22,0.87," 11 100000000 000"
"48","bookworm",1.08,-1.39,-2.09," 11 000010000 000"
"49","boss",-0.48,1.96,0.62," 11 010000000 000"
"50","bouncer",-2.54,2.93,1.72," 10 010000000 001"
"51","boxer",-1.9,3.2,2.46," 10 010000000 001"
"52","boy_scout",1.17,0.56,1.25," 10 100000000 000"
"53","braggart",-2.7,0.59,2.26," 11 100000000 000"
"54","brat",-1.07,0.02,2.64," 11 100000010 000"
"55","brother",2.36,1.07,1.18," 10 000000010 000"
"56","brother_in_law",0.76,0.66,0.11," 10 000000010 000"
"57","brute",-3.74,2.81,2.6," 10 100000000 001"
"58","buddy",2.7,1.03,-0.3," 11 100000000 000"
"59","building_superintendent",-0.47,1.13,0.71," 11 010000000 000"
"60","bulldozer_operator",-0.18,2.3,1.11," 11 010000000 000"
"61","burglar",-3.01,0.88,-0.6," 11 011000000 000"
"62","bus_driver",0.22,1.3,-0.89," 11 010000000 000"
"63","butcher",-0.41,2.26,1.08," 11 010000000 000"
"64","bystander",0.13,-0.29,0.04," 11 100000000 000"
"65","call_girl",-0.55,-0.67,1.4," 01 000000001 001"
"66","captive",-0.88,-0.02,-0.51," 11 001100001 001"
"67","car_driver",-0.11,0.8,1.29," 11 100000000 000"
"68","carpenter",0.74,1.98,0.23," 11 010000000 000"
"69","celebrity",1.2,0.8,0.95," 11 110000000 000"
"70","chairman",0,1.64,0.46," 11 011100000 000"
"71","chambermaid",1.32,-1.33,0.44," 01 010000000 000"
"72","champion",0.9,2.3,2.03," 11 100010000 001"
"73","chap",0.1,1.46,1.35," 10 100000000 000"
"74","chaperone",-1.6,-0.32,-1.44," 11 100000010 000"
"75","chatterbox",-2.24,0.36,2.92," 11 100000000 000"
"76","chef",1.24,1.45,1.21," 11 010000000 000"
"77","chemist",-0.39,-0.8,-1.11," 11 010010000 000"
"78","child",1.75,-1.81,2.66," 11 100000010 000"
"79","christian",0.85,0.15,-0.64," 11 000000100 010"
"80","church_deacon",0.12,0.39,-1.98," 11 000000100 000"
"81","civil_servant",-0.35,-0.25,-1.68," 11 001100000 000"
"82","classmate",1.05,0.1,1.08," 11 000010000 000"
"83","clerk",-0.24,-1.22,-1.66," 11 011000000 000"
"84","client",0.98,-0.31,0.13," 11 011000000 000"
"85","clown",1.92,-0.29,2.13," 11 100000000 000"
"86","co_worker",0.87,0.16,0.32," 11 010000000 000"
"87","coach",1.1,1.79,1.07," 11 010010000 001"
"88","coed",1.14,0.03,0.53," 01 000010000 000"
"89","colleague",0.81,0.31,0.18," 11 011111000 000"
"90","comedian",1.48,0.03,2.11," 11 110000000 000"
"91","companion",2.57,1.56,0.11," 11 100000000 000"
"92","computer_programmer",0.16,-0.32,-1.34," 11 010010000 000"
"93","concubine",0.71,-0.68,0.72," 01 010000001 001"
"94","confidant",3.21,1.02,-1.63," 11 100000000 000"
"95","conformist",-1.06,-1.4,-1.51," 11 100000000 000"
"96","connoisseur",1.69,-0.24,-0.88," 11 100000000 000"
"97","construction_foreman",-0.19,2.47,1.17," 11 010000000 000"
"98","construction_laborer",-0.27,2.34,1.26," 11 010000000 000"
"99","consumer",0.23,0.28,0.86," 11 010000000 000"
"100","convict",-1.29,0.58,0.01," 11 001000000 001"
"101","cook",1.8,1.56,1.23," 11 110000000 000"
"102","cop",-1.26,2.84,1.89," 11 001000000 001"
"103","copycat",-1.79,-1.02,0.37," 11 100000000 000"
"104","counselor",1.89,1.07,-1.34," 11 111111100 000"
"105","courtesan",0.41,-0.12,0.64," 01 010000001 001"
"106","cousin",1.48,0.62,0.72," 11 000000010 000"
"107","coward",-2.05,-2.54,-1.4," 11 100000000 000"
"108","criminal",-2.54,1.47,0.37," 11 001000000 000"
"109","cripple",-0.7,-2.16,-1.58," 11 100001000 000"
"110","crippled_person",-0.73,-1.76,-1.5," 11 100001000 000"
"111","critic",-0.94,0.46,-0.2," 11 101111100 000"
"112","crone",-0.86,-0.94,-0.42," 01 100000000 000"
"113","crybaby",-2.13,-2.06,0.98," 11 100000000 000"
"114","culprit",-0.97,-0.56,-0.05," 11 001000000 010"
"115","customer",0.82,0.05,0.53," 11 010000000 000"
"116","cutthroat",-3.13,1.23,1.24," 10 011100000 000"
"117","cynic",-0.8,0.03,0.62," 11 100110000 000"
"118","daughter",1.7,-0.47,1.3," 01 000000010 000"
"119","decorator",1.33,-0.06,0.11," 11 010000000 000"
"120","defendant",-0.65,-1.16,-1.07," 11 001000000 000"
"121","dental_assistant",0,-0.78,-0.77," 01 000001000 001"
"122","dentist",-0.91,0.86,-1.07," 11 000001000 001"
"123","department_head",-0.11,1,0.07," 11 010100000 000"
"124","desperado",-0.92,1.35,1.63," 11 101000000 001"
"125","detective",-0.09,0.66,-0.75," 11 001000000 001"
"126","devil",-2.21,1.96,2.56," 11 100000100 000"
"127","diner",1.21,-0.18,-0.72," 11 010000000 000"
"128","disciplinarian",-1.73,1.54,0.86," 11 000010110 001"
"129","dishwasher",0.34,-0.7,1.23," 11 010000000 000"
"130","divorcee_(gender_neutral)",-0.59,-0.33,-0.23," 01 000000010 000"
"131","doll",1.63,-2.51,-1.65," 01 100000000 000"
"132","dolt",-0.99,-0.46,1.37," 11 100000000 000"
"133","dropout",-0.4,-1.36,-0.85," 11 000010000 000"
"134","drug_addict",-1.52,-1.83,-0.66," 11 001001000 000"
"135","drunk",-2.63,0.94,2.21," 11 100000000 000"
"136","drunkard",-2.33,-1.11,0.78," 11 100000000 000"
"137","egghead",-1.58,-0.29,-0.16," 11 000010000 000"
"138","elderly_man",1.29,-0.18,-2.09," 10 100000000 000"
"139","electrician",0.61,0.69,-0.48," 11 010000000 000"
"140","employee",0.38,-0.7,-0.69," 11 010000000 000"
"141","employer",-0.09,1.61,-0.12," 11 010000000 000"
"142","enemy",-2.81,1.64,0.7," 11 100100000 001"
"143","engineer",1.03,0.85,-1.03," 11 010000000 000"
"144","entrepreneur",0.27,1.44,0.95," 11 010000000 000"
"145","evangelist",0.45,-0.13,-1.06," 11 000000100 001"
"146","executive",0.17,2.09,0.98," 11 010000000 000"
"147","expert",1.04,0.72,-1.04," 11 111111100 000"
"148","extrovert",0.34,0.99,2.28," 11 100000000 000"
"149","eyewitness",0.34,0.09,0.23," 11 001000000 000"
"150","fairy_(fantasy)",3.34,-1.81,-1.66," 11 100000000 000"
"151","fan",0.31,0.28,2.26," 11 110000000 000"
"152","fanatic",-2.06,1.03,2.03," 11 100100000 000"
"153","farm_laborer",0.56,2.18,0.58," 11 010000000 000"
"154","farmer",1.5,2.44,0.17," 11 010000000 000"
"155","father",1.61,1.7,-0.14," 10 000000010 001"
"156","father_in_law",0.87,0.79,-0.19," 10 000000010 000"
"157","fellow",2.83,0.97,0.44," 10 100000000 000"
"158","female",1.3,-0.28,0.73," 01 100000001 000"
"159","fireman",1.95,1.89,2.04," 10 001000000 001"
"160","fisherman",1.19,0.89,-2.07," 11 110000000 000"
"161","flight_attendant",1.75,0.26,-0.93," 11 010000000 000"
"162","fool",-0.29,-0.82,2.03," 11 100000000 000"
"163","freak_(counterculture)",0.14,0.43,1.96," 11 100000000 000"
"164","freshman",0.82,-0.89,0.79," 11 000010000 000"
"165","friend",3.56,1.65,-0.09," 11 100000000 000"
"166","funeral_director",-1.31,-0.05,-2.14," 11 010000000 000"
"167","g_man",-0.8,1.08,-0.72," 11 001000000 001"
"168","gambler",-0.7,-0.36,0.67," 11 110000000 000"
"169","garbage_collector",-0.21,1.49,1.3," 11 010000000 000"
"170","genius",1.11,-0.1,-0.02," 11 101111000 000"
"171","gentleman",0.43,1.14,-1.13," 10 100000000 000"
"172","gigolo",-0.22,0.81,2.1," 10 010000001 001"
"173","girl",0.79,-1.24,0.18," 01 100000001 000"
"174","glutton",-1.26,2.06,1.2," 11 100000000 000"
"175","god",1.85,2.44,-1.78," 11 000000100 000"
"176","gourmet",1.14,-0.03,-1.6," 11 100000000 000"
"177","granddaughter",1.71,-1.17,1.19," 01 000000010 001"
"178","grandfather",2.27,1.24,-1.38," 10 000000010 001"
"179","grandmother",2.05,-0.66,-0.55," 01 000000010 001"
"180","grandparent",1.73,0.15,-0.8," 11 000000010 001"
"181","grandson",1.59,-1.14,1.58," 10 000000010 001"
"182","granny",2.58,-1.84,-0.92," 01 000000010 000"
"183","grouch",1.41,1.93,-1.7," 11 100000000 000"
"184","grown_up",0.59,1.14,-0.6," 11 000000010 000"
"185","guest",2.07,0.51,0.67," 11 100000010 000"
"186","half_sister",0.9,-0.14,0.27," 01 000000010 000"
"187","handicapped_person",0.04,-1.65,-0.81," 11 001001000 000"
"188","he_man",-2.31,1.44,2.51," 10 100000000 000"
"189","headwaiter",0.33,1.07,-0.25," 10 010000000 000"
"190","heel",-2.68,1.29,1.18," 11 100000000 000"
"191","hermit",0.87,0.23,-2.7," 11 100000000 000"
"192","hero",1.29,2.79,1.36," 10 100000000 000"
"193","heroine",1.89,2,1.04," 01 100000000 000"
"194","heterosexual",0.71,-0.08,0.27," 11 000000001 000"
"195","hick",-0.66,0.8,-0.14," 11 100000000 000"
"196","highwayman",-1.44,0.89,-0.34," 10 001000000 001"
"197","hippie",0.87,-0.34,1.5," 11 100000000 000"
"198","homo",-0.21,-0.79,-0.43," 10 100000001 000"
"199","homosexual",0.1,-0.97,-0.63," 11 000000001 000"
"200","host",2.24,1.02,0.73," 10 100000000 000"
"201","hostage",-1.66,-2.2,-0.97," 11 001100000 001"
"202","hostess",1.94,0.28,0.81," 01 100000000 000"
"203","hothead",-1.1,0.67,3.01," 11 100000000 000"
"204","housekeeper",1.37,0.87,0.68," 11 010000010 000"
"205","housewife",0.58,0.35,0.78," 01 000000010 000"
"206","hunchback",-1.11,-1.06,-1.21," 11 000001000 000"
"207","hypochondriac",-2.17,-0.85,0.72," 11 000001000 000"
"208","hypocrite",-2.94,-1.14,-0.37," 11 100000000 000"
"209","idiot",-2.18,-0.54,0.78," 11 100000000 000"
"210","in_law",0.53,-0.13,0.07," 11 000000010 000"
"211","informant",-0.06,-0.18,-0.11," 11 011100000 000"
"212","informer",-2.74,-0.17,0.42," 11 001000000 000"
"213","innocent",1.29,-0.93,-0.24," 11 100000000 000"
"214","insider",0.23,0.5,0.87," 11 010100000 000"
"215","instructor",0.56,0.63,-0.53," 11 000010000 000"
"216","insurance_agent",-1.56,0.33,0.69," 11 010000000 000"
"217","intimate",2.81,1.15,-1.72," 11 000000001 001"
"218","introvert",0.09,-1.23,-2.47," 11 100000000 000"
"219","invalid",-0.54,-2.17,-1.98," 11 000001000 001"
"220","judge",0.21,1.86,-1.29," 11 001000000 000"
"221","junkie",-0.94,-1.21,0.41," 11 101000000 000"
"222","juror",-0.19,0.63,-1.59," 11 001000000 001"
"223","killjoy",-2.44,-0.26,1.03," 11 100000000 000"
"224","lady",1.1,-0.54,-0.86," 01 100000000 000"
"225","landlady",1.54,1.36,1.85," 01 010000000 000"
"226","law_breaker",-2.06,0.89,0.85," 11 001000000 000"
"227","lawyer",0.65,1.24,-0.1," 11 001000000 000"
"228","lecher",-2.57,0.45,1.88," 10 000000001 000"
"229","lesbian",-0.16,0.14,0.2," 01 000000001 000"
"230","liar",-2.81,-1.16,0.17," 11 100000000 000"
"231","librarian",1.2,-1.09,-1.99," 11 000010000 000"
"232","lineman",-0.47,0.47,0.45," 10 010000000 000"
