"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","afraid",-2.79,-0.87,0.44," 10 100000000 000"
"3","aggravated",-2.38,0.13,1.52," 10 100000000 000"
"4","agitated",-2.48,-1.96,-0.51," 10 100000000 000"
"5","amused",2.33,1.14,2.13," 10 100000000 000"
"6","angry",-2.26,1.92,2.59," 10 100000000 000"
"7","anguished",-3.53,-0.4,-0.36," 10 100000000 000"
"8","annoyed",-2.57,1.54,2.3," 10 100010000 000"
"9","anxious",-2.63,-2.22,-0.49," 10 100000000 000"
"10","ashamed",-2.51,-1.34,-1.76," 10 100010000 000"
"11","bitter",-3.19,-0.95,-1.2," 10 100010000 000"
"12","blue",-2.77,-1.49,-2.01," 10 100000000 000"
"13","broken_hearted",-2.6,-0.7,-0.61," 10 100000000 000"
"14","calm",2.34,0.55,-3.02," 10 100010000 000"
"15","cheered",2.83,1.41,0.3," 10 100000000 000"
"16","contented",3.44,1.55,-1," 10 100010000 000"
"17","dejected",-2.93,-1.5,-1.92," 10 100000000 000"
"18","delighted",3.09,1.7,1.59," 10 100000000 000"
"19","depressed",-3.13,-1.16,-1.71," 10 100010000 000"
"20","disappointed",-3.44,-0.53,-1.02," 10 100000000 000"
"21","discontented",-2.77,0.2,0.37," 10 100000000 000"
"22","disgusted",-3.34,0.29,1.06," 10 100010000 000"
"23","dissatisfied",-3.19,-0.99,-0.24," 10 100000000 000"
"24","ecstatic",2.26,2.16,2.36," 10 100000000 000"
"25","elated",3.07,1.8,2.44," 10 100000000 000"
"26","embarrassed",-2.36,-1.36,-0.28," 10 100010000 000"
"27","empty",-2.94,-2.16,-2.34," 10 000100000 000"
"28","envious",-2.78,-0.31,0.42," 10 100000000 000"
"29","excited",0.07,0.61,2.51," 10 100010000 000"
"30","frustrated",-3.33,-0.95,-1.81," 10 100000000 000"
"31","furious",-2.19,1.81,2.55," 10 100010000 000"
"32","glad",3.22,2,1.79," 10 100000000 000"
"33","gorged",-2.9,1.9,-1.28," 11 000100000 000"
"34","grief_stricken",-2.8,-1.21,-2.3," 10 100000000 000"
"35","happy",4.05,2.24,1.81," 10 100010000 000"
"36","heavy_hearted",-2.34,-0.24,-1.57," 10 100000000 000"
"37","homesick",-2.37,0.11,-0.19," 10 100000000 000"
"38","horrified",-2.11,0.68,1.41," 10 100000000 000"
"39","hurt",-3.03,-0.91,0," 10 100100000 000"
"40","ill_at_ease",-2.98,-0.69,-1.03," 10 100000000 000"
"41","impatient",-1.57,0.3,2.37," 10 100010000 000"
"42","in_love",3.8,1.7,2.46," 10 000100000 000"
"43","irked",-2.63,1.31,2.34," 10 100000000 000"
"44","jealous",-2.91,-0.15,1.49," 10 110000000 000"
"45","lonesome",-2.78,-0.55,-2.02," 10 100000000 000"
"46","mad",-2.41,0.67,1.95," 10 100010000 000"
"47","melancholy",-1.13,-1.01,-2.18," 10 100000000 000"
"48","miserable",-3.1,-0.38,-0.86," 10 100000000 000"
"49","moved",1.32,0.85,0.2," 10 100000000 000"
"50","nervous",-2.49,-0.67,2.06," 10 100010000 000"
"51","outraged",-1.82,1.57,2.3," 10 100010000 000"
"52","overjoyed",2.57,0.48,1.58," 10 100010000 000"
"53","passionate",2.65,2.29,2.82," 10 110000000 000"
"54","proud",2.59,2.3,0.29," 10 100010000 000"
"55","regretful",-1.82,-0.67,-0.69," 10 100000000 000"
"56","relieved",3.15,1.15,0.11," 10 100000000 000"
"57","remorseful",-1.85,-1.17,-1.37," 10 100000000 000"
"58","resentful",-1.44,1.43,0.87," 10 100000000 000"
"59","reverent",0.57,-0.53,-1.46," 10 110000000 000"
"60","sad",-2.57,-0.47,-2.38," 10 100000000 000"
"61","satisfied",3.29,1.94,-1.45," 10 100000000 000"
"62","scared",-2.03,-0.75,1.74," 10 100010000 000"
"63","self_pitying",-2.13,-1.65,-1.25," 10 100000000 000"
"64","sorrowful",-2.49,-1.12,-0.91," 10 100000000 000"
"65","thrilled",1.74,1.13,2.53," 10 100010000 000"
"66","touched",1.3,-0.58,-1.3," 10 100000000 000"
"67","uneasy",-2.87,-1.23,-0.43," 10 100000000 000"
"68","unhappy",-2.8,-0.25,-1.3," 10 100010000 000"
