"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","afraid",-2.77,-1,0.17," 10 100000000 000"
"3","aggravated",-2.37,0.25,1.93," 10 100000000 000"
"4","agitated",-2.43,-1.64,-0.05," 10 100000000 000"
"5","amused",2.63,1.03,1.67," 10 100000000 000"
"6","angry",-1.54,1.6,2.03," 10 100000000 000"
"7","anguished",-3.28,-1.14,0.87," 10 100000000 000"
"8","annoyed",-1.78,0.67,1.27," 10 100010000 000"
"9","anxious",-2.35,-1,-0.57," 10 100000000 000"
"10","ashamed",-2.01,-0.99,-1.48," 10 100010000 000"
"11","bitter",-2.18,-0.53,-0.72," 10 100010000 000"
"12","blue",-2.51,-0.79,-1.64," 10 100000000 000"
"13","broken_hearted",-2.99,-1.01,-0.84," 10 100000000 000"
"14","calm",2.27,0.19,-2.53," 10 100010000 000"
"15","cheered",2.43,0.87,0.63," 10 100000000 000"
"16","contented",3.24,1.06,-1.26," 10 100010000 000"
"17","dejected",-2.65,-1.21,-1.52," 10 100000000 000"
"18","delighted",3.03,1.54,2.06," 10 100000000 000"
"19","depressed",-3.17,-0.73,-2.51," 10 100010000 000"
"20","disappointed",-2.62,-0.67,-0.63," 10 100000000 000"
"21","discontented",-2.99,0.47,0.54," 10 100000000 000"
"22","disgusted",-3.21,0.16,0.77," 10 100010000 000"
"23","dissatisfied",-2.82,-0.81,0.39," 10 100000000 000"
"24","ecstatic",1.95,1.55,2.64," 10 100000000 000"
"25","elated",2.73,1.86,2.47," 10 100000000 000"
"26","embarrassed",-1.8,-1.59,-0.81," 10 100010000 000"
"27","empty",-2.72,-1.89,-1.91," 10 000100000 000"
"28","envious",-2.34,-1.08,0.19," 10 100000000 000"
"29","excited",-0.06,0.56,2.03," 10 100010000 000"
"30","frustrated",-2.86,-0.62,-0.76," 10 100000000 000"
"31","furious",-1.78,1.24,2.44," 10 100010000 000"
"32","glad",3.01,1.21,1.44," 10 100000000 000"
"33","gorged",-1.93,1.59,-1," 11 000100000 000"
"34","grief_stricken",-2.79,-0.96,-1.76," 10 100000000 000"
"35","happy",3.43,1.95,1.61," 10 100010000 000"
"36","heavy_hearted",-2.49,-0.88,-0.9," 10 100000000 000"
"37","homesick",-1.57,-0.09,-0.67," 10 100000000 000"
"38","horrified",-2.07,-0.37,1.1," 10 100000000 000"
"39","hurt",-2.65,-1.44,-0.06," 10 100100000 000"
"40","ill_at_ease",-2.67,-0.31,-0.49," 10 100000000 000"
"41","impatient",-1.43,0.25,2.04," 10 100010000 000"
"42","in_love",3.24,1.3,1.34," 10 000100000 000"
"43","irked",-2.37,0.9,1.79," 10 100000000 000"
"44","jealous",-2.67,-0.18,1.51," 10 110000000 000"
"45","lonesome",-2.56,-0.8,-1.86," 10 100000000 000"
"46","mad",-2.14,1.16,1.1," 10 100010000 000"
"47","melancholy",-0.56,-1.37,-1.93," 10 100000000 000"
"48","miserable",-2.64,-0.54,-0.8," 10 100000000 000"
"49","moved",1.14,0.37,0.01," 10 100000000 000"
"50","nervous",-1.94,-0.59,1.78," 10 100010000 000"
"51","outraged",-1.56,0.62,1.53," 10 100010000 000"
"52","overjoyed",2.6,0.37,1.29," 10 100010000 000"
"53","passionate",2.29,2.01,1.82," 10 110000000 000"
"54","proud",2.13,2.04,0.12," 10 100010000 000"
"55","regretful",-1.78,-1.15,-1.04," 10 100000000 000"
"56","relieved",3.33,1.3,-0.32," 10 100000000 000"
"57","remorseful",-0.69,-0.97,-1.13," 10 100000000 000"
"58","resentful",-1.68,0.82,0.63," 10 100000000 000"
"59","reverent",-0.23,-0.51,-0.57," 10 110000000 000"
"60","sad",-2.05,-1.45,-2.07," 10 100000000 000"
"61","satisfied",3.02,1.57,-1.34," 10 100000000 000"
"62","scared",-1.67,-0.37,1.96," 10 100010000 000"
"63","self_pitying",-1.93,-1.7,-1.79," 10 100000000 000"
"64","sorrowful",-1.81,-0.57,-0.36," 10 100000000 000"
"65","thrilled",0.92,1.21,1.97," 10 100010000 000"
"66","touched",1.03,-0.33,-0.81," 10 100000000 000"
"67","uneasy",-2.53,-1.29,-0.57," 10 100000000 000"
"68","unhappy",-3.18,-0.77,-1.37," 10 100010000 000"
