"","term","E","P","A","instcodes"
"1","abandon",-2.195,0.79,0.365," 01 111111110 000"
"2","abash",-0.94,-0.05,0.22," 10 111111111 000"
"3","abuse",-4.09,0.89,0.87," 10 101000011 100"
"4","accost",-2.505,-0.645,1.63," 10 101000001 001"
"5","accuse",-1.38,0.505,0.285," 10 111111111 010"
"6","acknowledge",2.64,2.145,-0.455," 10 111111110 010"
"7","address_a_conflict_with",-0.5,1.725,0.635," 10 111111111 000"
"8","admire",1.695,0.31,-0.46," 01 111111111 100"
"9","admonish",-1.425,1.315,0.225," 10 011111111 000"
"10","adopt",2.235,1.77,-0.235," 10 000000010 010"
"11","adore",0.23,0.19,0.65," 01 000000111 000"
"12","adorn_oneself_for",1.16,0.665,-0.69," 10 000000000 000"
"13","advance",-2.345,-1.175,0.445," 10 110010000 000"
"14","advise",1.905,1.2,-0.35," 10 011111110 000"
"15","agree_with",2.285,0.945,-0.275," 10 111111111 000"
"16","allow_something_with",1.78,0.665,-1.095," 11 111111111 000"
"17","amaze",2.15,1.495,1.255," 01 111111111 000"
"18","amuse",3.225,1.655,2.4," 11 111111111 100"
"19","analyze",0.565,0.815,-1.37," 10 011111110 100"
"20","appeal_to",0.815,1.34,1.36," 10 111111111 000"
"21","applaud",2.165,1.84,2.59," 10 111111111 010"
"22","appoint",1.5,1.735,-0.495," 10 000100000 010"
"23","arm",-3.64,1.905,1.295," 10 001100000 110"
"24","arrest",-1.53,2.305,2.26," 10 001000000 001"
"25","ask_about_something",1.75,1.135,0.36," 10 111111111 000"
"26","ask_about",0.64,-0.05,-0.355," 01 111111111 010"
"27","ask",0.79,0.17,0.255," 10 111111111 000"
"28","assess",-0.155,1.46,-0.1," 01 111111111 000"
"29","attack",-2.74,2.205,2.865," 10 001100010 001"
"30","attract",-0.43,-0.12,-0.73," 01 100000001 010"
"31","babble_to",-2.4,0.95,2.57," 10 111111111 100"
"32","bait",-1.84,0.455,0.485," 01 111100100 000"
"33","banter_with",0.945,-0.155,1.725," 10 110111011 000"
"34","baptize",1.58,0.195,-1.82," 10 000000100 000"
"35","bargain_with",-0.085,1.115,2.26," 10 111111111 000"
"36","barter_with",1.515,0.39,0.125," 10 011100000 000"
"37","bathe",1.485,-0.04,-0.825," 10 000001011 101"
"38","be_sarcastic_toward",-0.79,0.84,1.105," 10 100010011 000"
"39","bear_witness_against",-1.155,1.15,-0.345," 10 111100100 000"
"40","beat_up",-3.645,1.69,2.865," 10 001000010 001"
"41","beckon_to",2.505,0.205,1.49," 10 110010110 000"
"42","befuddle",-2.045,0.42,0.525," 01 111111111 100"
"43","beguile",1.885,1.06,-0.335," 11 111100111 000"
"44","believe",2.41,1.04,-0.95," 01 111111111 000"
"45","bicker_with",-2.405,1.26,2.715," 10 111111111 000"
"46","bill",0.165,0.755,-0.325," 10 010000000 010"
"47","bind",-1.835,0.47,1.06," 10 001000001 001"
"48","bite",-2.8,1.61,2.465," 10 100000001 001"
"49","blackmail",-3.82,-0.59,1.215," 10 011100000 010"
"50","blame",-2.5,1.25,1.545," 10 111111111 010"
"51","block",-2.33,0.34,0.275," 01 011100010 000"
"52","booze_with",-0.25,1.27,1.765," 10 100000001 100"
"53","borrow_money_from",-1.995,-1.095,-1.17," 10 010000000 000"
"54","bother",-1.75,0.445,0.92," 01 111111111 000"
"55","bow_to",0.64,0.015,-1.115," 10 010000100 000"
"56","box",-2.19,2.035,2.63," 10 110000000 001"
"57","bribe",-2.98,0.32,-0.385," 10 011100000 110"
"58","brief",0.445,1.385,-0.005," 10 011101000 000"
"59","bring_something_to",1.935,0.835,0.69," 10 110011010 000"
"60","buy_something_for",2.155,1.145,0.605," 10 110000010 000"
"61","cajole",1.05,-0.655,-0.82," 10 111111111 000"
"62","calm",2.69,1.145,-2.145," 01 111111111 100"
"63","capture",0.205,1.31,1.065," 10 001100000 011"
"64","care_for",3.215,1.745,-0.57," 10 000001000 101"
"65","carry",1.585,2.07,0.28," 10 000001010 001"
"66","catch",0.335,1.715,2.235," 10 001000001 001"
"67","challenge",-0.02,2.385,1.945," 10 111111111 100"
"68","chat_up",-0.6,0.78,0.71," 10 111111111 000"
"69","chat_with",2.06,-0.075,0.83," 10 111111111 000"
"70","chatter_to",1.7,0.375,2.115," 10 111111111 100"
"71","cheat",-3.43,0.405,0.405," 01 011100000 000"
"72","claim_something_from",-1.135,1.43,1.415," 10 111000010 000"
"73","clarify_something_for",1.535,1.73,-1.03," 10 111111110 000"
"74","cling_to",0.48,-0.395,-1.035," 10 000000011 001"
"75","coax",-2.185,0.695,2.14," 01 111111111 100"
"76","coerce",-3.195,1.9,1.93," 10 111111111 000"
"77","collaborate_with",2.325,1.59,0.985," 10 011111000 010"
"78","combat",-1.89,1.135,1.425," 10 001100000 000"
"79","come_to",1.94,0.39,0.17," 10 110001010 000"
"80","comfort",2.92,0.97,-1.925," 11 100001110 100"
"81","command",-1.375,2.23,1.81," 10 011111111 000"
"82","comment_about_something_to",2.025,1.795,-1.65," 10 111111111 000"
"83","communicate_with",2.81,1.705,0.395," 10 111111111 000"
"84","compensate",1.565,0.91,-0.585," 10 010100000 010"
"85","compete_with",-0.7,1.65,1.815," 10 010110000 010"
"86","compliment",3,1.355,0.37," 10 111111111 000"
"87","compromise_with",2.815,1.69,-0.46," 10 011100010 000"
"88","con",-2.905,0.425,1.35," 01 011111111 000"
"89","concur_with",0.965,-0.145,-0.235," 10 011111111 010"
"90","condemn",-2.265,1.03,0.86," 10 001100000 110"
"91","confer_with",1.655,1.17,-0.085," 10 111111111 010"
"92","confess_to",-0.795,0.655,-1.17," 10 011011111 000"
"93","confide_in",2.675,1.545,-1.03," 10 000111111 000"
"94","confront",-0.785,1.92,1.715," 10 111111111 100"
"95","confuse",-1.055,0.365,1.145," 01 111111111 100"
"96","consider",2.5,1.145,-0.33," 01 111111111 010"
"97","conspire_against",-1.35,0.76,-0.79," 10 111100010 010"
"98","contradict",0.19,1.97,1.815," 10 111111111 110"
"99","converse_with",2.055,1.22,0.415," 10 111111111 100"
"100","convince",1.4,1.74,0.76," 01 111111111 100"
"101","cook_something_with",2.955,0.36,1.525," 10 110000010 000"
"102","cooperate_with",2.44,1.22,0.795," 10 111111111 000"
"103","correct",-0.23,0.945,0.515," 10 111111111 100"
"104","court",1.94,0.55,0.23," 01 100000001 010"
"105","criticize",-1.1,1.16,1.14," 10 111111111 100"
"106","cry_for",-0.88,-0.125,-0.97," 10 100000010 000"
"107","cuddle",3.585,-0.565,-1.78," 10 000000011 001"
"108","cut_the_pay_of",-3.12,1.495,1.055," 10 010000000 000"
"109","dance_with",2.755,0.835,1.895," 10 100000001 011"
"110","debase",-3.82,-1.86,0.235," 10 100110111 000"
"111","debate_with",1.01,1.885,2.575," 10 111111110 000"
"112","defeat",1,2.36,1.83," 10 000100000 010"
"113","degrade",-2.93,1.27,1.21," 11 111111111 110"
"114","delude",-2.5,-1.44,0.045," 01 111111111 000"
"115","demand_from",-0.605,1.305,0.865," 10 111110010 000"
"116","demand_performance_from",0.14,1.99,1.7," 10 110111111 000"
"117","demand",0.06,0.18,-0.31," 10 000100000 000"
"118","denigrate",-3.05,-1.805,0.985," 10 111111111 100"
"119","denounce",-3.35,-0.64,0.21," 10 111111111 010"
"120","deny_something_to",-1.38,1.48,0.175," 10 001100111 100"
