"","term","E","P","A","instcodes"
"1","abandon",-2.36,1.12,0.36," 01 111111110 000"
"2","abash",-1.18,0,-0.02," 10 111111111 000"
"3","abuse",-4.19,1.6,1.31," 10 101000011 100"
"4","accost",-3.01,-0.2,1.71," 10 101000001 001"
"5","accuse",-1.76,0.13,0.35," 10 111111111 010"
"6","acknowledge",2.78,2.51,-0.82," 10 111111110 010"
"7","address_a_conflict_with",-0.96,1.76,0.79," 10 111111111 000"
"8","admire",1.77,0.43,-0.44," 01 111111111 100"
"9","admonish",-1.54,1.46,0.51," 10 011111111 000"
"10","adopt",2.57,1.96,0.21," 10 000000010 010"
"11","adore",0.43,-0.31,0.17," 01 000000111 000"
"12","adorn_oneself_for",1.02,0.48,-0.98," 10 000000000 000"
"13","advance",-2.69,-1.01,0.64," 10 110010000 000"
"14","advise",1.96,1.3,-0.54," 10 011111110 000"
"15","agree_with",2.24,0.7,0.13," 10 111111111 000"
"16","allow_something_with",1.68,0.52,-1.27," 11 111111111 000"
"17","amaze",2.02,1.11,1.16," 01 111111111 000"
"18","amuse",3.55,1.99,2.75," 11 111111111 100"
"19","analyze",0.76,0.98,-1.64," 10 011111110 100"
"20","appeal_to",0.74,1.68,1.73," 10 111111111 000"
"21","applaud",2.73,2.36,3.11," 10 111111111 010"
"22","appoint",1.45,1.7,0.05," 10 000100000 010"
"23","arm",-3.7,1.77,1.01," 10 001100000 110"
"24","arrest",-1.66,2.48,2.52," 10 001000000 001"
"25","ask_about_something",1.75,1.57,0.86," 10 111111111 000"
"26","ask_about",0.78,0.24,-0.23," 01 111111111 010"
"27","ask",1.11,0.24,0.37," 10 111111111 000"
"28","assess",-0.13,1.48,0.25," 01 111111111 000"
"29","attack",-3.06,2.24,2.74," 10 001100010 001"
"30","attract",-0.76,-0.36,-0.77," 01 100000001 010"
"31","babble_to",-2.02,1.29,2.64," 10 111111111 100"
"32","bait",-1.89,0.44,0.45," 01 111100100 000"
"33","banter_with",1.1,0.33,1.82," 10 110111011 000"
"34","baptize",1.55,0.1,-1.91," 10 000000100 000"
"35","bargain_with",-0.38,1.12,2.25," 10 111111111 000"
"36","barter_with",1.18,0.4,0.39," 10 011100000 000"
"37","bathe",1.95,0.22,-0.92," 10 000001011 101"
"38","be_sarcastic_toward",-1.09,1.1,1.24," 10 100010011 000"
"39","bear_witness_against",-1.51,1.28,0.5," 10 111100100 000"
"40","beat_up",-3.8,2.34,3.04," 10 001000010 001"
"41","beckon_to",2.61,0.1,1.78," 10 110010110 000"
"42","befuddle",-2.08,0.72,0.85," 01 111111111 100"
"43","beguile",2.17,1.07,-0.7," 11 111100111 000"
"44","believe",2.36,1.24,-0.97," 01 111111111 000"
"45","bicker_with",-2.49,1.93,2.81," 10 111111111 000"
"46","bill",0.05,0.67,-0.44," 10 010000000 010"
"47","bind",-2.67,0.18,1.76," 10 001000001 001"
"48","bite",-2.84,1.76,2.7," 10 100000001 001"
"49","blackmail",-3.64,-0.34,0.58," 10 011100000 010"
"50","blame",-2.59,1.29,1.69," 10 111111111 010"
"51","block",-2.66,0.62,0.71," 01 011100010 000"
"52","booze_with",-1.17,0.8,1.74," 10 100000001 100"
"53","borrow_money_from",-2.06,-1.11,-1.11," 10 010000000 000"
"54","bother",-1.75,0.47,1.08," 01 111111111 000"
"55","bow_to",0.4,-0.13,-1.1," 10 010000100 000"
"56","box",-2.35,2.28,3," 10 110000000 001"
"57","bribe",-3.07,0.21,-0.33," 10 011100000 110"
"58","brief",0.53,1.56,0.29," 10 011101000 000"
"59","bring_something_to",2.03,0.84,1.1," 10 110011010 000"
"60","buy_something_for",2.46,1.19,0.82," 10 110000010 000"
"61","cajole",1.09,-0.7,-0.74," 10 111111111 000"
"62","calm",2.99,1.33,-2.44," 01 111111111 100"
"63","capture",-0.19,1.29,1.19," 10 001100000 011"
"64","care_for",3.26,2.3,-0.38," 10 000001000 101"
"65","carry",1.86,2.07,0.31," 10 000001010 001"
"66","catch",0.52,1.89,2.49," 10 001000001 001"
"67","challenge",0.17,2.45,2.27," 10 111111111 100"
"68","chat_up",-0.6,0.76,0.83," 10 111111111 000"
"69","chat_with",2.3,-0.09,1," 10 111111111 000"
"70","chatter_to",1.98,0.93,2.52," 10 111111111 100"
"71","cheat",-3.66,0.46,0.33," 01 011100000 000"
"72","claim_something_from",-1.21,1.37,1.59," 10 111000010 000"
"73","clarify_something_for",1.07,1.92,-1.41," 10 111111110 000"
"74","cling_to",0.32,-0.45,-1.14," 10 000000011 001"
"75","coax",-2.41,1.07,2.4," 01 111111111 100"
"76","coerce",-3.33,2.18,1.87," 10 111111111 000"
"77","collaborate_with",2.58,1.88,1.56," 10 011111000 010"
"78","combat",-1.78,1.16,1.59," 10 001100000 000"
"79","come_to",1.94,0.75,0.25," 10 110001010 000"
"80","comfort",3.02,0.74,-2.64," 11 100001110 100"
"81","command",-1.36,2.52,1.73," 10 011111111 000"
"82","comment_about_something_to",2.05,1.95,-1.85," 10 111111111 000"
"83","communicate_with",2.62,1.79,0.23," 10 111111111 000"
"84","compensate",1.5,0.85,-0.6," 10 010100000 010"
"85","compete_with",-1.09,1.53,1.36," 10 010110000 010"
