"","term","E","P","A","instcodes"
"1","academic",1.605,1.25,-0.125," 11 000010000 000"
"2","acquaintance",1.865,0.42,0.265," 11 100000000 000"
"3","adult",0.33,1.425,-0.105," 11 100000010 000"
"4","adulterer",-2.46,0.365,0.68," 10 000000011 001"
"5","aide",3.32,2.34,0.535," 11 011110000 000"
"6","alcoholic_(female)",-2.415,-1.63,-0.495," 11 000000000 000"
"7","alcoholic",-2.715,-0.995,-0.18," 11 100001000 000"
"8","anti_semite",-3.44,-0.04,0.405," 11 100100100 000"
"9","antisocial_person",-2.195,-1.275,-0.47," 11 000000000 000"
"10","applicant",1.14,-0.295,-0.03," 11 010010000 000"
"11","archenemy",-3.035,0.675,0.605," 11 100100100 000"
"12","asian",0.735,-1.325,0.295," 11 100100000 000"
"13","asshole",-3.405,1.4,1.585," 11 100000000 000"
"14","assistant",0.9,-0.81,0.115," 11 011101000 000"
"15","asylum_seeker",-0.175,-1.625,0.115," 11 000100000 000"
"16","atheist",0.605,0.73,-0.24," 11 000000100 000"
"17","athlete",1.82,2.79,2.59," 11 010010000 001"
"18","authority",-1.905,1.955,-2.68," 11 011111100 000"
"19","baby",2.665,-3.275,1.32," 11 100001010 001"
"20","backbencher",-0.765,-1.05,-1.345," 11 000100000 000"
"21","beggar",-1.405,-1.435,-1.765," 11 100000000 000"
"22","best_friend",3.735,2.47,0.615," 11 100000000 000"
"23","big_brother",1.75,2.36,0.885," 10 000000010 000"
"24","big_shot",-1.03,2.27,0.815," 11 100000000 000"
"25","big_sister",2.21,1.51,0.52," 01 000000010 000"
"26","bill_collector",-3.19,1.99,1.69," 11 010000000 000"
"27","bitch",-1.98,-0.14,1.37," 01 100000000 000"
"28","blabbermouth",-1.505,-0.015,2.725," 11 100000000 000"
"29","blonde",0.95,-0.63,0.77," 01 100000001 000"
"30","bootlicker",-3.45,-1.565,-0.215," 11 110100000 000"
"31","boozer",-2.945,-0.04,0.055," 11 100000000 100"
"32","bore",-1.92,-1.49,-3.085," 11 100000000 000"
"33","boss",-0.26,1.98,1.1," 11 010000000 000"
"34","boy",0.955,0.395,1.475," 10 100000010 000"
"35","bride",2.47,-0.625,0.045," 01 000000010 001"
"36","bridegroom",2.225,1.065,0.615," 10 000000010 001"
"37","bridesmaid",2.06,-1.235,0.02," 01 000000010 000"
"38","brother",1.825,1.435,0.525," 10 000000010 000"
"39","brunette",1.435,0.4,0.4," 01 100000001 000"
"40","bully",-2.825,2.225,2.655," 11 100000000 001"
"41","bum",-1.425,-0.495,-3.31," 11 100000000 000"
"42","bureaucrat",-2.075,-0.61,-2.19," 11 011101000 000"
"43","burglar",-3.36,1.5,0.08," 11 011000000 000"
"44","business_economist",-0.825,0.63,0.505," 11 010000000 000"
"45","business_school_student",-0.81,-0.26,-0.415," 11 010010000 000"
"46","businessman",-0.01,1.635,1.63," 10 010000000 000"
"47","businesswoman",1.03,1.785,2.06," 01 010000000 000"
"48","butch",-1.52,2.505,1.42," 01 100000001 000"
"49","capitalist",-1.855,2.075,1.465," 11 010000000 000"
"50","catholic",-0.37,0.165,-0.93," 11 000000100 000"
"51","chain_smoker",-2.565,-0.865,-0.27," 11 100000000 100"
"52","champion",1.545,2.7,2.19," 11 100010000 001"
"53","chancellor",0.25,2.075,0.585," 11 000110000 000"
"54","chatterbox",-1.555,-0.43,2.87," 11 100000000 000"
"55","child_molester",-3.905,-0.07,-0.595," 11 001000011 001"
"56","child",2.29,-2.175,2.5," 11 100000010 000"
