"","term","E","P","A","instcodes"
"1","academic",1.3,0.98,-0.25," 11 000010000 000"
"2","acquaintance",1.9,0.56,0.29," 11 100000000 000"
"3","adult",0.19,1.21,-0.1," 11 100000010 000"
"4","adulterer",-2.34,0.49,0.83," 10 000000011 001"
"5","aide",3.22,2,0.22," 11 011110000 000"
"6","alcoholic_(female)",-2.36,-1.63,-0.34," 11 000000000 000"
"7","alcoholic",-2.7,-1.12,0.04," 11 100001000 000"
"8","anti_semite",-3.27,-0.41,0.42," 11 100100100 000"
"9","antisocial_person",-2,-1.48,-0.72," 11 000000000 000"
"10","applicant",1.09,-0.38,-0.31," 11 010010000 000"
"11","archenemy",-3,1.51,1.09," 11 100100100 000"
"12","asian",0.43,-1.04,0.19," 11 100100000 000"
"13","asshole",-3.39,1.32,1.64," 11 100000000 000"
"14","assistant",0.69,-1.07,0.28," 11 011101000 000"
"15","asylum_seeker",-0.2,-1.9,0.44," 11 000100000 000"
"16","atheist",0.56,0.74,-0.21," 11 000000100 000"
"17","athlete",1.88,2.67,2.44," 11 010010000 001"
"18","authority",-1.9,2.17,-3.05," 11 011111100 000"
"19","baby",2.73,-3.38,1.06," 11 100001010 001"
"20","backbencher",-0.76,-1.3,-1.11," 11 000100000 000"
"21","beggar",-1.4,-1.84,-1.81," 11 100000000 000"
"22","best_friend",3.67,2.43,0.39," 11 100000000 000"
"23","big_brother",1.47,2.14,0.55," 10 000000010 000"
"24","big_shot",-1.2,2.03,1.07," 11 100000000 000"
"25","big_sister",1.97,1.28,0.67," 01 000000010 000"
"26","bill_collector",-3.09,2.01,1.54," 11 010000000 000"
"27","bitch",-1.78,-0.5,1.22," 01 100000000 000"
"28","blabbermouth",-2.07,-0.55,2.77," 11 100000000 000"
"29","blonde",1.48,-0.38,0.8," 01 100000001 000"
"30","bootlicker",-3.5,-1.77,0.14," 11 110100000 000"
"31","boozer",-2.95,0.19,0.44," 11 100000000 100"
"32","bore",-2.12,-1.3,-3.18," 11 100000000 000"
"33","boss",-0.26,1.8,0.91," 11 010000000 000"
"34","boy",0.83,0.31,1.61," 10 100000010 000"
"35","bride",2.13,-1.09,-0.16," 01 000000010 001"
"36","bridegroom",2.2,1,0.79," 10 000000010 001"
"37","bridesmaid",2.24,-1.55,0.03," 01 000000010 000"
"38","brother",1.41,1.04,0.43," 10 000000010 000"
"39","brunette",1.83,0.21,0.6," 01 100000001 000"
"40","bully",-3.25,2.37,2.7," 11 100000000 001"
"41","bum",-1.36,-0.47,-3.53," 11 100000000 000"
"42","bureaucrat",-2.48,-0.52,-2.11," 11 011101000 000"
"43","burglar",-3.33,1.27,0.13," 11 011000000 000"
"44","business_economist",-1.16,0.63,0.48," 11 010000000 000"
"45","business_school_student",-1.15,-0.44,-0.51," 11 010010000 000"
"46","businessman",0.07,1.38,1.62," 10 010000000 000"
"47","businesswoman",0.84,1.65,2.01," 01 010000000 000"
"48","butch",-1.5,2.24,1.38," 01 100000001 000"
"49","capitalist",-1.71,2.06,1.57," 11 010000000 000"
"50","catholic",-0.46,0.22,-1.01," 11 000000100 000"
"51","chain_smoker",-2.54,-0.98,0.42," 11 100000000 100"
"52","champion",1.38,2.6,1.99," 11 100010000 001"
"53","chancellor",0.38,2.2,0.24," 11 000110000 000"
"54","chatterbox",-1.8,-1.22,2.9," 11 100000000 000"
"55","child_molester",-3.59,-0.32,-0.95," 11 001000011 001"
"56","child",2.13,-2.66,2.38," 11 100000010 000"
"57","choleric_person",-2,-0.32,2.42," 11 100001000 000"
"58","christian",0.75,-0.11,-1.1," 11 000000100 010"
"59","citizen",0.61,-0.1,-0.71," 11 000100000 000"
"60","cleaning_woman",1.3,-0.07,0.28," 01 111011010 000"
"61","clerk",-0.17,-1.01,-1.42," 11 011000000 000"
"62","clown",1.33,-0.62,2.48," 11 100000000 000"
"63","co_worker",1.02,0.35,0.08," 11 010000000 000"
"64","coed",2.06,-0.71,0.73," 01 000010000 000"
"65","colleague",1.37,0.62,-0.17," 11 000011000 000"
"66","communist",-0.07,0.46,0.45," 11 000100000 000"
"67","companion",2.03,1.31,-0.22," 11 100000000 000"
"68","competitor",-0.95,1.36,1.77," 11 110110000 000"
"69","computer_expert",0.32,-0.37,-0.44," 11 110011000 100"
"70","confidant",3.26,0.86,-1.53," 11 100000000 000"
"71","conservative",-0.85,0.81,-1.52," 11 000100000 000"
"72","construction_laborer",0.26,2.08,1.24," 11 010000000 000"
"73","consumer",-0.2,-1.19,0.29," 11 010000000 000"
"74","controller",-2,0.49,-0.28," 11 010100000 000"
"75","coward",-2.3,-2.83,-0.54," 11 100000000 000"
"76","criminal",-3,-0.25,1," 11 001000000 000"
"77","cripple",-1.52,-2.72,-2.57," 11 100001000 000"
"78","crook",-2.38,0.69,0.57," 11 011000000 000"
"79","crybaby",-2.51,-2.9,-0.85," 11 100000000 000"
"80","customer",0.87,0.1,0.05," 11 010000000 000"
"81","cutthroat",-3,-0.66,1.53," 10 011100000 000"
"82","daughter_in_law",1.1,0.39,-0.23," 01 000000010 000"
"83","daughter",2.55,-1.23,0.73," 01 000000010 000"
"84","defendant",-1.64,-1.49,-1.44," 11 001000000 000"
"85","defense_attorney",0.45,1.45,0.87," 11 001000000 000"
"86","delinquent",-1.8,-0.44,-0.21," 11 001000000 000"
"87","demagogue",-2.65,0.59,1.7," 11 000100000 000"
"88","department_head",-0.3,1.3,0.33," 11 010100000 000"
"89","devil",-1.34,1.8,1.9," 11 100000100 000"
"90","disadvantaged_person",-1.13,-2.09,-1.46," 11 111100000 000"
"91","divorce_lawyer",-1.36,1.35,0.67," 11 001000010 000"
"92","doctor",1.2,1.56,-1.13," 11 000001000 101"
"93","doll",0.92,-2.09,-2.21," 01 100000000 000"
"94","drug_addict_(female)",-2.03,-2.3,-1.84," 11 001001000 000"
"95","drug_addict",-2.59,-2.17,-1.48," 11 001001000 000"
"96","drug_dealer",-2,0.16,1.11," 11 111000000 000"
"97","employee",-0.12,-0.93,-0.67," 11 010000000 000"
"98","employer",-0.05,1.84,0.94," 11 010000000 000"
"99","enemy",-2.93,1.66,0.89," 11 100100000 001"
"100","entrepreneur",0.41,1.8,1.46," 11 010000000 000"
"101","ex_boyfriend",-1.41,0.13,-0.01," 10 000000001 000"
"102","ex_girlfriend",-0.02,-0.17,0.24," 01 000000001 000"
"103","ex_husband",-1.04,0.69,0.19," 10 000000011 000"
"104","ex_wife",-1.16,0.13,1.03," 01 000000011 000"
"105","executioner",-3.19,2.62,-0.88," 11 001000000 001"
"106","executive",0.42,1.9,1.85," 11 010000000 000"
"107","failure",-1.43,-1.75,-1.86," 11 110110000 100"
"108","fairy",2.82,-2.3,-0.42," 10 000000001 000"
"109","family_man",2.35,0.88,-0.51," 10 000000010 100"
"110","fanatic",-2,-0.12,1.81," 11 100100000 000"
"111","father_in_law",-0.1,1.35,-0.18," 10 000000010 000"
"112","father",1.23,1.11,-0.06," 10 000000010 001"
"113","feminist",-1.13,1.46,2.2," 11 000100000 000"
"114","fiance_(male)",0.82,0.71,-0.13," 10 000000010 001"
"115","fiancee_(female)",2.9,-0.64,0.81," 01 000000010 001"
"116","fireman",2.06,2.47,1.75," 10 001000000 001"
"117","firstborn",1.13,-0.24,0.51," 11 000000010 000"
"118","fisherman",1.42,1.14,-1.39," 11 110000000 000"
"119","follower",0.34,0.11,0.35," 11 100100100 000"
"120","fool",-1.57,-0.5,-1.33," 11 100000000 000"
"121","foreigner",-0.2,0.17,0.21," 11 000100000 000"
"122","foreman",0.46,1.25,0.62," 11 010000000 000"
"123","friend",3.8,1.9,-0.62," 11 100000000 000"
"124","gangster",-2.65,1.74,1.42," 10 011000000 000"
"125","gay",0.76,-1.13,0.34," 11 000000001 000"
"126","german_turk",-0.5,0.15,0.78," 11 111100000 000"
"127","german",0.52,0.62,0.19," 11 111100000 000"
"128","girl_friday",0.45,-0.4,0.97," 01 011100000 000"
"129","girlfriend",3.07,-0.01,0.41," 01 000000001 001"
"130","god",1.22,2.36,-1.23," 11 000000100 000"
"131","gossip",-2.11,-0.78,1.54," 11 100000000 000"
"132","grandchild",2.54,-2,1.91," 11 000000010 001"
"133","granddaughter",2.18,-1.59,1.44," 01 000000010 001"
"134","grandfather",2.13,0.95,-1.7," 10 000000010 001"
"135","grandmother",2.85,-0.32,-1.32," 01 000000010 001"
"136","guest",1.98,0.54,0.15," 11 100000010 000"
"137","gunman",-3.19,1.1,1.64," 10 001000000 001"
"138","guy",0.21,2.24,1.36," 10 100000000 000"
"139","gynecologist",-0.41,0.28,-0.89," 11 000001001 101"
"140","half_brother",0.97,-0.27,0," 10 000000010 000"
"141","half_sister",0.64,-0.56,-0.1," 01 000000010 000"
"142","handicapped_person",-0.26,-1.46,-0.76," 11 001001000 000"
"143","handyman",0.55,1.85,1.28," 10 110000000 000"
"144","head_nurse",0.15,1.63,0.82," 11 000001000 001"
"145","hero",2.36,2.97,1.82," 10 100000000 000"
"146","high_school_dropout",1.6,0.47,0.42," 11 000010000 000"
"147","hillbilly",-1.15,0.47,-1.51," 11 100000000 000"
"148","homeless_person",-0.5,-1.49,-1.61," 11 100000000 000"
"149","homemaker",0.87,-0.19,-0.08," 11 000000010 000"
"150","homosexual",0.14,-0.41,0.22," 11 000000001 000"
"151","hooker",-0.47,0.21,0.71," 01 010000001 001"
"152","host",2.39,1.35,0.91," 10 100000000 000"
"153","hotshot",0.72,2.44,2.66," 11 100000000 000"
"154","house_husband",1.05,0.1,-0.43," 10 000000011 000"
"155","husband",1.2,1.23,-0.3," 10 000000011 001"
"156","hussy",-1.28,-0.94,1.76," 01 000000001 001"
"157","idiot",-2.47,-1.6,0.53," 11 100000000 000"
"158","illegal_worker",-0.7,-0.81,1.54," 11 010000000 000"
"159","illegitimate_child",-0.08,-1.1,0.04," 11 000000010 000"
"160","immigrant",0.29,-0.16,0.14," 11 000100000 000"
"161","intern_(female)",1.2,-0.66,-0.06," 11 011101000 000"
"162","intern",0.85,-1.15,0.08," 11 011101000 001"
"163","interviewer",0.29,0.59,0.89," 11 010100000 000"
"164","jew",0.26,-0.37,0.03," 11 000000100 000"
"165","jock",1.34,2.52,2.9," 11 000010000 000"
"166","judge",0.97,2.19,-1.52," 11 001000000 000"
"167","junkie",-2.62,-2.11,-0.52," 11 101000000 000"
"168","king",0.66,3.04,0.03," 10 000100000 000"
"169","klutz",-0.25,-0.35,1.52," 11 100000000 000"
"170","knight",2.01,3.14,1.76," 11 000100000 000"
"171","know_it_all",-2.64,-0.06,1.62," 11 100000000 000"
"172","laborer",-0.15,0.13,-0.36," 11 010000000 000"
"173","lady",1.85,0.12,-1.01," 01 100000000 000"
"174","landlady",1.3,1.27,1.2," 01 010000000 000"
"175","laughing_stock",-0.7,-1.66,1.12," 11 100000000 000"
"176","law_student",0.15,1.24,-0.53," 11 001010000 000"
"177","law_breaker",-2.16,1.43,1.47," 11 001000000 000"
"178","lawyer",0.37,1.59,0.39," 11 001000000 000"
"179","leader",-0.52,2.27,2.09," 11 110100100 000"
"180","lecturer",1.12,1.25,-0.75," 11 000010000 000"
"181","lesbian",0.41,0.96,0.57," 01 000000001 000"
"182","liberal",0.86,0.91,0.33," 11 000100000 000"
"183","librarian",1.02,-1.17,-2.3," 11 000010000 000"
"184","little_brother",1.57,-1.45,1.56," 10 000000010 000"
"185","little_sister",1.98,-2.06,0.62," 01 000000010 000"
"186","lobbyist",-2.48,1.9,1.76," 11 000100000 000"
"187","loser",-1.6,-2.64,-2.04," 11 100000000 000"
"188","lout",-3.1,0.95,2.2," 11 100000000 000"
"189","lover_(female)",2.06,-0.45,1.07," 01 000000001 001"
"190","lover_(male)",0.99,1.63,1.17," 10 000000001 001"
"191","macho_male",-2,-0.03,1.46," 10 100000001 000"
"192","mafioso",-2.78,1.12,0.19," 10 011000000 000"
"193","maiden",2.31,-2.2,-1.26," 01 100000000 000"
"194","malcontent",-3.3,-1.58,0.95," 11 110010000 000"
"195","malingerer",-2.43,-1.54,0.03," 11 110010000 000"
"196","mama's_boy",-1.58,-3.17,-2.53," 10 000000010 000"
"197","man",0.9,1.74,0.6," 10 100000001 000"
"198","manager",-1.48,2.37,1.69," 11 010000000 000"
"199","manageress",0.45,1.59,2.27," 01 010000000 000"
"200","masochist",-1.34,0.15,0.87," 11 000000001 100"
"201","mayor",-0.61,1.91,-0.32," 11 000100000 000"
"202","mental_case",-1.52,-1.2,1.01," 11 100001000 000"
"203","merchant",0.09,0.74,1.73," 11 010000000 000"
"204","millionaire",-0.12,1.6,0.6," 11 010000000 000"
"205","minister",-0.06,0.87,-0.2," 11 000000100 000"
"206","miser",-2.9,-0.59,-0.2," 11 100000000 000"
"207","misfit",-0.2,-1.46,-1.4," 11 100000000 000"
"208","moron",-2.67,-0.3,0.71," 11 100000000 000"
"209","mother_(rude)",-2,-0.08,1.06," 01 100000010 000"
"210","mother_in_law",0.1,0.77,0.9," 01 000000010 000"
"211","mother",2.63,1.33,0.09," 01 000000010 001"
"212","mugger",-2.9,1.68,1.52," 10 001000000 001"
"213","murderer",-3.34,1.62,0.9," 11 001000000 001"
"214","murderess",-3.22,-0.22,0.25," 01 001000000 000"
"215","muslim",0.44,0.12,0.08," 11 000000000 000"
"216","nark",-3.25,-1.06,-1.35," 11 001000000 000"
"217","negotiator",0.11,0.47,-0.46," 11 010100000 000"
"218","neighbor",0.95,0.33,0.15," 11 100000000 000"
"219","neurotic",-1.87,-1.61,1.5," 11 000001000 000"
"220","newsboy",1.41,-0.96,1.82," 10 010000000 000"
"221","non_smoker",1.72,0.03,0.05," 11 100001000 000"
"222","nurse",2.32,0.44,0.33," 11 000001000 001"
"223","nursemaid",1.73,-1.16,-0.14," 01 000000010 001"
"224","offender",-2.46,1.57,1.07," 11 001000000 000"
"225","officer",0.48,1.6,0.72," 11 001100000 000"
"226","old_timer",1.35,0.91,-1.04," 11 100000000 100"
"227","old_geezer",-1.02,-0.82,-2.18," 10 100000000 100"
"228","opponent",-1.9,1.4,0.98," 11 100100000 000"
"229","opportunist",-2.75,-0.48,1.03," 11 110100000 000"
"230","organizer",0.48,1.67,1.65," 11 110100100 000"
"231","outlaw",-1.43,-0.45,-1.04," 11 001000000 000"
"232","pal",2.64,1.75,0.9," 11 100000000 000"
"233","partner",2.7,2.33,-0.71," 11 111000001 000"
"234","passer_by",0.15,-0.51,0.07," 11 100000000 000"
"235","pastor",0.97,0.48,-1.09," 11 000000100 000"
"236","patient_(female)",-0.14,-1.43,-1.17," 11 000001000 000"
"237","patient",-0.19,-1.82,-2.02," 11 000001000 001"
"238","patriot",-0.44,0.96,0.62," 11 000100000 000"
"239","patrolman",-0.2,1.01,-0.13," 11 001000000 001"
"240","pauper",-0.82,-1.82,-1.39," 11 010000000 000"
"241","pedestrian",0.86,-0.39,-0.21," 11 100000000 000"
"242","pediatrician",2.29,1.45,-1," 11 000001000 001"
"243","perpetrator",-3,-0.53,0.39," 11 001000000 000"
"244","person",1.05,0.18,-0.03," 11 100000000 000"
"245","pessimist",-2.04,-1.48,-2.08," 11 100000000 000"
"246","pickpocket",-3,-1.35,0.7," 11 001000000 000"
"247","pimp",-2.93,1.23,1.67," 10 011000001 000"
"248","policeman",-0.31,1.51,0.15," 10 001000000 001"
"249","politician",-0.2,0.68,0.09," 11 000100000 000"
"250","pope",-0.1,1.2,-2.04," 10 000000100 000"
"251","pornographer",-0.51,1.49,2.14," 11 010000001 000"
"252","preacher",-0.51,0.67,0.02," 11 000000100 000"
"253","president",0.7,2.52,0.78," 11 000100000 000"
"254","priest",0.81,0.51,-1.1," 10 000000100 000"
"255","prime_minister",-0.03,1.87,0.1," 11 000100000 000"
"256","prince",1.61,-0.02,0.45," 10 000100000 000"
"257","princess",1.91,-1.7,-0.65," 01 000100000 000"
"258","principal",0.23,1.74,0.18," 11 000010000 000"
"259","prisoner",-2,-1.07,-0.29," 11 001000000 000"
"260","probation_officer",1.08,0.73,-0.12," 11 001000000 000"
"261","professor",1.2,2.01,-1.17," 11 000010000 000"
"262","prosecuting_attorney",-0.97,2.16,0.66," 11 001000000 001"
"263","prosecutor",-1.86,1.27,1.04," 11 001000000 000"
"264","prostitute",-0.34,-0.56,0.97," 01 010000001 001"
"265","protestant",0.23,0.35,-0.49," 11 000000100 000"
"266","psychiatrist",0.17,0.49,-1.5," 11 000001000 000"
"267","psychologist",0.59,0.24,-1.31," 11 000011000 000"
"268","psychology_student",0.33,-1.08,-1.33," 11 000010000 000"
"269","public_defender",0.01,0.06,-0.38," 11 001000000 000"
"270","queen",1.66,1.22,-1.14," 11 000100000 000"
"271","racist",-3.66,-0.06,1.07," 11 100100000 000"
"272","racketeer",-2.41,1.35,-1.11," 11 011000000 000"
"273","rapist",-3.59,2.27,2.37," 10 001000001 001"
"274","relative",1.37,0.58,-0.1," 11 000000010 000"
"275","repo_man",-2.31,1.6,-0.82," 11 111000000 000"
"276","representative",0.35,1.24,0," 11 000100000 000"
"277","reservist",0.13,-0.03,-1.05," 11 000100000 000"
"278","right_winger",-3.13,0.93,1.35," 11 000100000 000"
"279","rival",-1.87,1.84,1.62," 11 100100001 000"
"280","robber",-2.48,1.68,1.33," 11 011000000 000"
"281","role_model",2.4,2.81,0.07," 11 110110110 000"
"282","ruffian",-3,1.53,1.89," 10 100000000 000"
"283","sadist",-3.31,1.46,0.33," 11 000000001 001"
"284","saint",1.42,0.28,-2.15," 11 000000100 000"
"285","salesman",0.2,0.27,0.94," 10 010000000 000"
"286","santa_claus",2.22,2.21,-1.57," 10 000000010 000"
"287","schizophrenic",-1.42,-0.24,1.29," 11 000001000 001"
"288","scholar",2.33,1.13,-1.69," 11 000010000 000"
"289","schoolboy",1.14,-0.83,1.63," 10 000010000 000"
"290","schoolgirl",1.57,-2.17,1.32," 01 000010000 000"
"291","scientist",1.79,0.93,-0.93," 11 010010000 000"
"292","secret_agent",-0.71,1.4,-1.15," 11 000100000 000"
"293","secretary",0.98,-0.41,0.81," 11 011100000 000"
"294","senior_citizen",0.56,-1.05,-1.77," 11 100100000 000"
"295","serial_murderer",-3.93,1.58,0.25," 11 001000000 001"
"296","servant",0.78,-0.8,-1.01," 11 010000000 000"
"297","sexist",-2.61,0.34,1.64," 11 111110110 100"
"298","shopkeeper",1.13,1.07,0.67," 11 010000000 000"
"299","shopper",-0.05,-0.16,0.83," 11 010000000 100"
"300","shrew",0.68,0.33,0.36," 01 100000000 000"
"301","sick_person",-1.09,-2.12,-2.29," 11 000001010 001"
"302","sinner",-1.43,-0.67,-0.14," 11 000000100 000"
"303","sister_in_law",0.21,0.46,0.53," 01 000000010 000"
"304","sister",2.17,-0.22,0.42," 01 000000010 000"
"305","skilled_worker",1.28,0.77,0.27," 11 010000000 000"
