"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","absent_minded",-1.495,-1.315,-1.38," 10 010000000 000"
"3","acquiescent",-1.62,-2.15,-1.69," 10 110100000 000"
"4","active",2.67,2.265,3.125," 10 010000000 000"
"5","adjusted",-1.105,-2.105,-2.125," 10 010000000 000"
"6","adventurous",2.55,2.595,2.94," 10 010000000 000"
"7","affected",-2.31,-0.125,1.84," 10 010000000 000"
"8","affectionate",3.56,0.51,-1.835," 10 010000000 000"
"9","afraid",-1.965,-1.915,-1.545," 10 100000000 000"
"10","aggressive",-2.655,2.155,2.92," 10 010000000 000"
"11","alarmed",-1.685,-0.82,0.075," 10 100000000 000"
"12","aloof",-0.45,-0.43,-1.81," 10 010000000 000"
"13","ambitious",0.96,1.795,2.005," 10 010000000 000"
"14","american",-0.25,1.42,1.81," 10 010000000 000"
"15","amused",2.215,1.04,2.29," 10 100000000 000"
"16","anguished",-3.425,-1.505,-1.28," 10 100000000 000"
"17","antisocial",-3.27,0.005,0.25," 10 000100000 000"
"18","anxious",-0.67,-0.025,-0.725," 10 100000000 000"
"19","apathetic",-2.135,-1.63,-3.195," 10 110000000 000"
"20","appalled",-1.66,1.875,2.8," 10 100000000 000"
"21","apprehensive",-2.02,-2.53,-1.56," 10 100000000 000"
"22","arrogant",-2.685,0.955,0.96," 10 010000000 000"
"23","artistic",2.58,1.01,0.605," 10 010000000 000"
"24","ashamed",-2.23,-2.055,-1.98," 10 100010000 000"
"25","assertive",1.065,2.265,0.415," 10 010000000 000"
"26","assiduous",1.465,1.285,2.135," 10 010000000 000"
"27","attentive",2.935,1.29,-0.435," 10 010000000 000"
"28","authoritarian",-1.895,2.155,1.515," 10 010000000 000"
"29","authoritative",-3,1.755,2.595," 10 000100000 000"
"30","average",-0.89,-0.985,-1.275," 10 001000000 000"
"31","awe_struck",0.815,-0.22,-2.015," 10 100000000 000"
"32","bad_tempered",-2.345,-0.55,-1.19," 10 110000000 000"
"33","belligerent",-0.835,1.7,2.59," 10 010000000 000"
"34","beloved",2.915,1.83,1.18," 10 001000000 000"
"35","benevolent",2.82,1.115,-1.07," 10 010000000 000"
"36","bitchy",-2.87,-0.02,2.115," 10 010000000 000"
"37","blinded",-2.555,-1.07,-0.285," 10 000100000 000"
"38","bold",-2.19,1.54,2.48," 10 010000000 000"
"39","bossy",-2.78,0.59,1.975," 10 010000000 000"
"40","brave",2.37,2.12,0.07," 10 010000000 000"
"41","bright",2.235,0.35,2.095," 10 010000000 000"
"42","broken_hearted",-3.17,-1.445,-2.375," 10 100000000 000"
"43","calm",2.07,0.305,-2.79," 10 100010000 000"
"44","candid",2.85,1.255,1.365," 10 010000000 000"
"45","cantankerous",-2.61,1.095,2.53," 10 010000000 000"
"46","carefree",2.185,0.555,-0.345," 10 010000000 000"
"47","careful",0.79,-1.135,-1.83," 10 010100000 000"
"48","careless",-0.755,-0.055,1.99," 10 010000000 000"
"49","caring",3.075,0.715,-1.12," 10 010000000 000"
"50","charming",2.82,0.545,-0.115," 10 010000000 000"
"51","cheerful",3.395,1.115,2.075," 10 110000000 000"
"52","childish",0.275,-1.205,2.485," 10 010000000 000"
"53","clever",2.845,1.16,0.6," 10 010000000 000"
"54","cold",-2.41,0.335,-1.625," 10 010000000 000"
"55","communicative",2.585,1.645,2.435," 10 010000000 000"
"56","compassionate",2.815,0.59,-1.925," 10 110000000 000"
"57","competent",3.03,2.475,0.22," 10 010000000 000"
"58","competitive",-1.06,1.49,1.955," 10 010000000 000"
"59","compulsive",-2.835,-0.81,-0.12," 10 010000000 000"
"60","conceited",-2.855,0.165,0.48," 10 010000000 000"
"61","conflict_shy",-1.895,-1.29,-1.04," 10 010000000 000"
"62","confused",-1.56,-1.065,0.37," 10 010000000 000"
"63","conscientious",2.59,1.715,-1.465," 10 010000000 000"
"64","considerate",3.195,0.69,-1.475," 10 010000000 000"
"65","contemptuous",-2.71,-0.1,-0.1," 10 110000000 000"
"66","contented",3.525,1.855,-1.595," 10 100010000 000"
"67","contrite",-2.03,-1.14,-1.6," 10 100000000 000"
"68","cool",2.92,1.495,-2.395," 10 010000000 000"
"69","cooperative",2.455,1.03,0.08," 10 010000000 000"
"70","courageous",2.62,2.565,1.52," 10 010000000 000"
"71","cowardly",-2.405,-2.675,-1.94," 10 010000000 000"
"72","creative",2.945,1.485,1.085," 10 010000000 000"
"73","credulous",-1.29,-1.88,-0.73," 10 010000000 000"
"74","cruel",-3.77,2.07,0.92," 10 010000000 000"
"75","cultivated",2.555,0.73,-1.255," 10 010000000 000"
"76","cunning",-2.48,0.635,0.945," 10 010000000 000"
"77","curious",1.81,0.955,1.24," 10 010000000 000"
"78","cynical",-1.285,0.72,0.51," 10 010000000 000"
"79","daring",1.61,2.02,1.67," 10 010000000 000"
"80","decent",2.32,0.33,-1.025," 10 010000000 000"
"81","deeply_sad",-2.18,-0.205,-2.805," 10 100000000 000"
"82","defiant",-2.045,0.455,0.95," 10 010000000 000"
"83","delicate",2.985,-0.435,-1.575," 10 000100000 000"
"84","delighted",2.865,0.105,1.53," 10 100000000 000"
"85","democratic",2.77,1.79,0.11," 10 010000000 000"
"86","dependable",3.45,2.075,-1.205," 10 010000000 000"
"87","depressed",-2.73,-0.95,-3.01," 10 100010000 000"
"88","despondent",-2.19,-2.42,-2.64," 10 100000000 000"
"89","determined",2.13,2.51,0.68," 10 010000000 000"
"90","diligent",2.225,1.46,1.44," 10 010000000 000"
"91","direct",0.985,2.405,1.985," 10 010000000 000"
"92","dirty",-1.5,0.245,0.155," 10 000100000 000"
"93","disappointed",-2.57,-0.905,-1.975," 10 100000000 000"
"94","disgusted",-3.14,1.12,0.835," 10 100010000 000"
"95","displeased",-2.74,0.035,-0.65," 10 100000000 000"
"96","dissatisfied",-2.815,-0.055,-0.12," 10 100000000 000"
"97","distant",-0.77,-0.09,-1.66," 10 010000000 000"
"98","distrustful",-1.53,-0.01,-0.875," 10 010100000 000"
"99","dogmatic",-1.89,0.77,-0.505," 10 010000000 000"
"100","dominant",-0.69,2.555,1.85," 10 010000000 000"
"101","domineering",-2.24,2.47,1.48," 10 010000000 000"
"102","downhearted",-2.865,-1.15,-3.095," 10 100000000 000"
"103","dutiful",-0.86,-1.94,-1.97," 10 010000000 000"
"104","easygoing",2.26,0.015,1.05," 10 010000000 000"
"105","effective",2.58,2.16,1.6," 10 010000000 000"
"106","egotistical",-2.685,0.79,0.885," 10 010000000 000"
"107","elated",2.81,0.725,1.67," 10 100000000 000"
"108","embarrassed",-1.19,-1.88,-1.855," 10 100010000 000"
"109","embittered",-3.24,-0.32,-1.63," 10 110100000 000"
"110","emotional",1.275,0.855,2.015," 10 110000000 000"
"111","empathic",2.875,0.545,-1.955," 10 100000000 000"
"112","empty_headed",-2.76,-1.01,-0.94," 10 010000000 000"
"113","enterprising",2.78,2.12,2.95," 10 010000000 000"
"114","enthralled",3.38,2.625,3.02," 10 100000000 000"
"115","enthusiastic",2.74,2.27,2.65," 10 110000000 000"
"116","envious",-2.865,-1.11,-0.265," 10 100000000 000"
"117","erratic",-0.715,0.215,2.455," 10 010100000 000"
"118","euphoric",2.235,2.1,3.03," 10 100000000 000"
"119","evil",-2.835,1.585,1.255," 10 010000000 000"
"120","excitable",-0.435,0.765,2.025," 10 010000000 000"
"121","excited",0.935,1.68,2.39," 10 100010000 000"
"122","fearful",-1.56,-2.055,-0.665," 10 100000000 000"
"123","female",2.755,-0.02,0.775," 10 001000000 000"
"124","feminine",1.99,-1.335,0.145," 10 010000000 000"
"125","flexible",0.46,-0.915,-1.855," 10 010000000 000"
"126","french",1.28,-0.585,0.935," 10 001000000 000"
"127","friendly",3.26,1.585,0.185," 10 010000000 000"
"128","frustrated",-3.085,-0.315,-0.555," 10 100000000 000"
"129","furious",-2.21,2.16,2.985," 10 100010000 000"
"130","generous",2.875,2.025,-0.245," 10 010000000 000"
"131","glad",3.465,1.1,0.755," 10 100000000 000"
"132","gloating",-2.125,-0.005,1.51," 10 100000000 000"
"133","gloomy",-1.975,-1.615,-2.74," 10 110000000 000"
"134","good_natured",2.7,0.98,-1.455," 10 010000000 000"
"135","grateful",2.84,0.98,-0.955," 10 100000000 000"
"136","greedy",-2.76,1.245,2.175," 10 010000000 000"
"137","gregarious",2.625,1.66,1.905," 10 010000000 000"
"138","grouchy",-2.69,0.515,-1.02," 10 010000000 000"
"139","grumpy",-2.215,0.905,0.995," 10 110000000 000"
"140","guilty",-2.97,-0.34,-1.14," 10 101000000 000"
"141","gutsy",2.67,2.785,1.94," 10 010000000 000"
"142","happy",3.77,1.34,0.585," 10 100010000 000"
"143","harmony_seeking",1.75,-0.875,-1.71," 10 010000000 000"
"144","helpful",3.27,2.185,0.34," 10 010000000 000"
"145","hesitant",-0.82,-1.89,-2.15," 10 000100000 000"
"146","honest",3.07,1.91,-0.475," 10 010000000 000"
"147","hopeful",2.845,1.26,0.28," 10 110000000 000"
"148","horny",1,1.8,2.25," 10 010100000 000"
"149","horrified",-2.245,0.99,1.295," 10 100000000 000"
"150","hostile",-3.455,1.28,0.92," 10 110000000 000"
"151","hotheaded",-1.805,1.16,2.7," 10 010000000 000"
"152","humble",-0.71,-1.625,-1.895," 10 110000000 000"
"153","hurt",-2.955,-1.215,-0.91," 10 100100000 000"
"154","hyper",0.305,0.64,2.815," 10 100000000 000"
"155","idealistic",1.95,2.29,1.465," 10 010000000 000"
"156","imaginative",3.265,1.075,1.13," 10 010000000 000"
"157","immature",-1.53,-1.37,0.935," 10 010000000 000"
"158","immoral",-1.815,0.345,0.295," 10 000100000 000"
"159","impatient",-1.535,0.16,2.2," 10 100010000 000"
"160","impudent",-0.57,0.405,2.26," 10 010000000 000"
"161","in_love",3.68,1.355,1.265," 10 000100000 000"
"162","inconsiderate",-3.395,1.585,2.375," 10 010100000 000"
"163","inconspicuous",-0.085,-2.115,-2.455," 10 000100000 000"
"164","independent",3.09,2.7,1.02," 10 010000000 000"
"165","indifferent",-1.97,-1.16,-2.665," 10 010000000 000"
"166","indulgent",2.28,0.925,-1.745," 10 010100000 000"
"167","inexact",-1.975,-0.745,0.975," 10 010000000 000"
"168","inhibited",-2.015,-2.335,-2.685," 10 010000000 000"
"169","inquisitive",2.69,1.905,1.7," 10 010000000 000"
"170","insincere",-3.305,-1.615,-0.705," 10 010000000 000"
"171","intellectual",2.145,1.44,0.29," 10 011000000 000"
"172","intelligent",3.135,2.52,0.71," 10 010000000 000"
"173","interested",2.99,1.525,1.29," 10 000100000 000"
"174","intolerant",-3.26,0.335,0.405," 10 010100000 000"
"175","introverted",-0.245,-1.555,-2.535," 10 010000000 000"
"176","invincible",1.65,2.6,1.725," 10 010000000 000"
"177","irate",-2.25,2.045,2.42," 10 100000000 000"
"178","irked",-2.655,1.34,1.8," 10 100000000 000"
"179","irritable",-2.6,0.025,2.29," 10 010000000 000"
"180","irritated",-2.4,0.555,2.145," 10 100000000 000"
"181","jealous",-2.51,-0.495,1.15," 10 110000000 000"
"182","joyless",-3.415,-1.995,-3.17," 10 100010000 000"
"183","large",1.6,2.775,0.215," 10 000100000 000"
"184","lazy",-1.655,-0.94,-2.995," 10 010000000 000"
"185","lonely",-2.28,-1.855,-2.775," 10 100000000 000"
"186","loyal",2.78,1.86,-0.76," 10 010000000 000"
"187","mad",-2.305,1.355,1.46," 10 100010000 000"
"188","male",0.895,2.085,1.07," 10 001000000 000"
"189","malicious",-3.195,0.585,0.705," 10 010000000 000"
"190","masculine",0.94,2.63,1.705," 10 010000000 000"
"191","mature",2.34,2.185,-0.87," 10 010100000 000"
"192","melancholy",-0.475,-1.15,-2.73," 10 100000000 000"
"193","merry",3.57,1.27,2.24," 10 100000000 000"
"194","middle_aged",1.06,0.875,-0.425," 10 001000000 000"
"195","miserable",-2.665,-2.72,-1.545," 10 100000000 000"
"196","modest",1.975,-0.53,-2.32," 10 010000000 000"
"197","moody",-2.545,0.065,1.68," 10 010000000 000"
"198","mournful",-1.775,0.105,-2.89," 10 100000000 000"
"199","moved",1.655,0.86,0.93," 10 100000000 000"
"200","naive",-0.64,-2.05,-0.775," 10 010000000 000"
"201","narrow_minded",-2.6,-1.27,-1.83," 10 010000000 000"
"202","nasty",-3.275,1.22,1.235," 10 010000000 000"
"203","nervous",-1.89,-1.34,1.81," 10 100010000 000"
"204","nice",2.78,0.285,-0.33," 10 010000000 000"
