"","term","E","P","A","instcodes"
"1","neutral_setting",0,0,0," 10 100000000 000"
"2","audience",1.16,2.49,2.37," 10 110100000 000"
"3","china",0.51,2.22,2.08," 10 000100000 000"
"4","christian_democratic_party",-1.34,1,-0.86," 10 000100000 000"
"5","death",-2.3,2.22,-2.18," 01 100101000 000"
"6","enterprise",0.21,2.52,1.1," 10 010000000 000"
"7","extended_family",2.08,2.9,1.33," 10 000000010 000"
"8","family",3.21,2.96,-0.33," 10 000000010 000"
"9","france",1.81,1.44,1.21," 10 000100000 000"
"10","germany",1.05,1.3,0.56," 10 000100000 000"
"11","government",-0.82,0.91,-1.21," 10 000100000 000"
"12","majority",0.55,2.96,0.86," 10 000100000 000"
"13","minority",0.18,-1.76,-0.47," 10 000100000 000"
"14","parliament",0.82,2.44,1.19," 10 000100000 000"
"15","public",0.24,1.87,2.3," 10 000100000 000"
"16","russia",-0.41,2.53,-0.4," 10 000100000 000"
"17","social_democratic_party",0.73,0.74,-0.02," 10 000100000 000"
"18","society",0.61,2.16,1.93," 10 000100000 000"
"19","state",-0.33,1.41,-1.83," 10 000100000 000"
"20","usa",-0.39,2.32,1.58," 10 000100000 000"
