"","term","E","P","A","instcodes"
"1","neutral_setting",0,0,0," 10 100000000 000"
"2","audience",1.19,1.52,1.64," 10 110100000 000"
"3","china",0.68,2.04,1.34," 10 000100000 000"
"4","christian_democratic_party",-2.09,0.92,-1.88," 10 000100000 000"
"5","death",-1.89,2.9,-1.81," 01 100101000 000"
"6","enterprise",-0.08,2.3,1.34," 10 010000000 000"
"7","extended_family",1.9,2.42,0.71," 10 000000010 000"
"8","family",3,2.57,-0.96," 10 000000010 000"
"9","france",0.97,1.29,0.8," 10 000100000 000"
"10","germany",1.14,1.92,0.28," 10 000100000 000"
"11","government",-1.49,0.25,-1.94," 10 000100000 000"
"12","majority",0.06,2.37,0.93," 10 000100000 000"
"13","minority",0.6,-1.65,-0.55," 10 000100000 000"
"14","parliament",0.63,1.71,0.63," 10 000100000 000"
"15","public",-0.46,2.47,1.84," 10 000100000 000"
"16","russia",-1.01,2.47,-0.54," 10 000100000 000"
"17","social_democratic_party",-0.29,0.63,-0.89," 10 000100000 000"
"18","society",0.32,1.54,0.1," 10 000100000 000"
"19","state",-0.22,1.76,-1.64," 10 000100000 000"
"20","usa",-1.25,2.97,2.64," 10 000100000 000"
