"","term","E","P","A"
"1","having_an_abortion",-1.57,0.85,-0.28
"2","bathing_ababy",2.3,1.45,0.52
"3","cleaning_abathroom",-1.8,-0.5,-0.46
"4","cleaning_akitchen",-0.24,-0.3,-0.11
"5","cooking_for_someone",2.18,1.04,0.98
"6","diapering_ababy",-0.09,0.64,0.64
"7","doing_laundry",-0.98,-0.22,-0.59
"8","driving_children_places",0.2,0.67,1.87
"9","drying_dishes",-0.58,-0.62,-0.93
"10","feeding_ababy",2.61,1.61,-0.42
"11","house_cleaning",-0.41,-0.07,0.57
"12","mowing_the_lawn",-0.45,-0.36,0.17
"13","paying_household_bills",-1.41,0.67,-0.72
"14","polishing_furniture",-0.71,-0.49,-0.87
"15","polluting_the_environment",-2.98,0.85,0.26
"16","having_sex_before_marriage",1.16,1.67,1.87
"17","having_safe_sex",3.33,2.33,2.02
"18","sewing_for_someone",0.93,-0.3,-0.66
"19","having_sex_with_ones_spouse",1.83,2.2,2.54
"20","sweeping_afloor",-0.55,-0.07,-0.39
"21","vacuuming_acarpet",-0.29,0.11,0.33
"22","washing_dishes",-0.56,-0.69,-0.44
