"","term","E","P","A"
"1","abusive_parent",-3.61,1.2,2.05
"2","adolescent",0.52,-0.33,2.33
"3","adulterer",-3.16,0.47,1.31
"4","adulteress",-1.29,-0.36,0.31
"5","aids_patient",-0.2,-1.87,-2.17
"6","boyfriend",2.7,1.96,1.85
"7","the_breadwinner_of_afamily",2.56,2.6,1.69
"8","cripple",0.76,-2.2,-1.8
"9","drinker",-1.07,-0.61,1.17
"10","drug_user",-2.2,-1.37,-0.26
"11","eater_disor",-1.46,-1.57,-1.13
"12","ex_boyfriend",-1.63,-0.48,-0.07
"13","ex_girlfriend",-0.17,-0.34,0.23
"14","female_worker",2.65,1.26,0.96
"15","feminist",1.28,1.76,2.35
"16","husband_who_gets_fired_from_job",-1.02,-1.64,-1.49
"17","wife_who_gets_fired_from_job",-0.81,-1.53,-0.72
"18","someone_with_egalitarian_views_about_gender",1.64,1.03,0.97
"19","someone_with_traditional_views_about_gender",-0.53,-0.11,-0.03
"20","girlfriend",1.67,0.92,0.9
"21","homemaker",1.5,-0.45,0.23
"22","housewife",1.68,-0.02,0.64
"23","i_myself",2.83,1.57,1.7
"24","partner_to_live_with",2.24,1.48,1.26
"25","male_worker",1.49,1.6,1.58
"26","parent",2.96,2.74,1.83
"27","roommate",1.71,0.82,1.2
"28","smoker",-1.26,-0.72,0.2
"29","stepfather",0.31,0.41,0.03
"30","stepmother",0.38,0.23,0.36
"31","swinger",-0.49,0.24,1.7
