"","term","E","P","A"
"1","abusive_parent",-3.13,0.38,2
"2","adolescent",0.09,0.61,2
"3","adulterer",-2.87,0.74,1.39
"4","adulteress",-2,0.32,0.59
"5","aids_patient",-0.91,-1.26,-1.91
"6","boyfriend",0.77,0.38,0.71
"7","the_breadwinner_of_afamily",2.22,2.3,1.48
"8","cripple",-1.04,-1.96,-2.04
"9","drinker",-0.48,0.09,1.39
"10","drug_user",-2.04,-0.91,0.52
"11","eater_disor",-1.83,-1.57,-1
"12","ex_boyfriend",-1,0.43,0.05
"13","ex_girlfriend",-0.36,-0.32,-0.36
"14","female_worker",1.57,0.48,0.35
"15","feminist",-1.26,0.78,2.35
"16","husband_who_gets_fired_from_job",-1.91,-1.14,-0.91
"17","wife_who_gets_fired_from_job",-1.3,-1.52,-0.09
"18","someone_with_egalitarian_views_about_gender",1.13,0.13,0
"19","someone_with_traditional_views_about_gender",-0.05,0.85,-0.1
"20","girlfriend",2.78,2.17,1.78
"21","homemaker",1.65,-0.09,-0.35
"22","housewife",1.7,0.13,-0.04
"23","i_myself",2.48,1.74,1.83
"24","partner_to_live_with",1.82,1.73,0.91
"25","male_worker",1.57,1.13,1.39
"26","parent",2.61,2.74,1.48
"27","roommate",1.35,0.96,0.7
"28","smoker",-1.14,-0.64,-0.55
"29","stepfather",0.2,1,0.4
"30","stepmother",0.55,0.25,-0.1
"31","swinger",-0.22,1,2.06
