"","term","E","P","A","instcodes"
"1","abandon",-2.665,-0.7,-0.825," 01 111111110 000"
"2","abuse",-3.59,0.19,0.83," 10 101000011 100"
"3","accommodate",2.37,1.41,0.56," 10 111111111 000"
"4","accuse",-1.575,0.51,0.77," 10 111111111 010"
"5","address",1.315,1.135,0.22," 10 111111110 010"
"6","admonish",-0.45,0.775,0.75," 10 011111111 000"
"7","advise",2.12,1.66,0.625," 10 011111110 000"
"8","agree_with",1.705,1.215,0.61," 10 111111111 000"
"9","aid",2.65,2.38,0.605," 10 111111111 000"
"10","amuse",1.975,1.5,1.46," 11 111111111 100"
"11","analyze",0.82,0.7,0.165," 10 011111110 100"
"12","answer",1.645,1.005,0.515," 10 111111111 000"
"13","apologize_to",2.08,1.54,-0.635," 10 111111111 000"
"14","appeal_to",1.515,1.545,0.66," 10 111111111 000"
"15","applaud",2.365,1.965,2.065," 10 111111111 010"
"16","apprehend",0.535,1.475,1.32," 10 001000000 001"
"17","approach",1.77,1.44,0.895," 10 111111111 010"
"18","argue_with",-1.01,0.81,1.705," 10 111111111 000"
"19","arrest",-0.075,1.69,1.415," 10 001000000 001"
"20","ask_about_something",1.42,0.8,0.16," 10 111111111 000"
"21","ask_out",1.995,1.635,0.81," 10 000000001 000"
"22","assail",-1.46,0.955,0.94," 10 001100110 001"
"23","assault",-2.805,1.04,1.81," 10 001000000 001"
"24","assist",2.415,1.775,0.555," 10 111111111 000"
"25","attack",-2.8,0.24,1.4," 10 001100010 001"
"26","attend_to",2.28,1.85,0.86," 10 100000001 000"
"27","babble_to",-0.88,-0.61,1.3," 10 111111111 100"
"28","baby",-0.665,-0.5,-0.935," 10 000000010 100"
"29","back",2.245,1.955,1.41," 10 010100000 010"
"30","badger",-1.925,0.35,1.155," 10 111111111 100"
"31","banter_with",0.19,0.36,1.39," 10 110111011 000"
"32","baptize",2.145,1.845,-0.03," 10 000000100 000"
"33","bargain_with",0.99,1.42,1.21," 10 111111111 000"
"34","barter_with",0.87,0.9,0.97," 10 011100000 000"
"35","bash",-1.995,0.285,0.99," 10 101000010 001"
"36","bathe",1.21,0.61,-0.52," 10 000001011 101"
"37","bawl_out",-1.58,0.405,0.695," 10 111111111 000"
"38","be_intimate_with",2.44,2.09,0.84," 10 000000001 001"
"39","be_sarcastic_toward",-0.29,0.415,1.19," 10 100010011 000"
"40","beam_at",1.265,0.965,0.465," 10 111111111 000"
"41","beat_up",-2.54,0.905,1.985," 10 001000010 001"
"42","beckon_to",0.405,0.045,0.575," 10 110010110 000"
"43","bed",1.4,1.17,0.47," 10 000000001 000"
"44","beg",-1.415,-1.845,-0.58," 10 111111111 000"
"45","belittle",-2.075,-0.11,0.445," 10 111111111 100"
"46","bellow_at",-0.97,0.565,1.04," 10 111111111 000"
"47","berate",-1.79,0.15,0.645," 10 111111111 100"
"48","beseech",-0.35,0.035,0.49," 10 111111111 000"
"49","bicker_with",-1.485,-0.055,1.2," 10 111111111 000"
"50","bill",-0.74,1.1,-0.55," 10 010000000 010"
"51","bind",-1.4,0.815,0.075," 10 001000001 001"
"52","bite",-2.265,0.32,0.775," 10 100000001 001"
"53","blabber_to",-0.945,-0.32,1.395," 10 111111111 000"
"54","blame",-1.76,-0.165,0.31," 10 111111111 010"
"55","bless",2.495,1.865,-0.395," 10 000000100 000"
"56","bootlick",-1.075,-0.88,-0.35," 01 010100100 000"
"57","booze_with",0.915,0.58,1.77," 10 100000001 100"
"58","borrow_money_from",-0.665,-0.72,-0.42," 10 010000000 000"
"59","boss_around",-1.595,1.24,1.115," 10 110101011 000"
"60","bow_to",0.7,-0.11,-1.085," 10 010000100 000"
"61","brawl_with",-1.475,0.425,1.855," 10 101000010 001"
"62","bribe",-1.685,0.235,0.3," 10 011100000 110"
"63","brief",0.695,0.84,0.185," 10 011101000 000"
"64","browbeat",-1.48,0.39,0.135," 10 111111111 000"
"65","brown_nose",-1.2,-0.34,0.22," 01 111110000 000"
"66","brutalize",-3.27,0.61,1.535," 10 101100011 001"
"67","bully",-2.395,0.42,0.93," 10 100100011 001"
"68","cajole",0.15,0.565,0.805," 10 111111111 000"
"69","capture",-1.58,1.46,1.375," 10 001100000 011"
"70","care_for",3.175,2.17,0.045," 10 000001000 101"
"71","caress",2.37,1.7,-0.89," 10 000000011 001"
"72","catch",0.975,1.355,1.725," 10 001000001 001"
"73","caution",1.77,1.315,0.61," 10 111111111 100"
"74","challenge",1.12,1.685,1.75," 10 111111111 100"
"75","chase",-0.57,0.735,1.875," 10 001000001 000"
"76","chastise",-1.365,-0.28,0.75," 10 111111111 000"
"77","chat_up",1.355,0.915,1.515," 10 111111111 000"
"78","chat_with",2.085,1.15,0.925," 10 111111111 000"
"79","chatter_to",0.985,0.78,1.35," 10 111111111 100"
"80","cheat_on",-3.01,-0.115,-0.445," 01 000000001 011"
"81","cheat",-2.825,-0.215,-0.29," 01 011100000 000"
"82","cheer_up",2.72,2.32,1.785," 11 100111111 000"
"83","cheer",2.965,2.175,2.495," 10 111111111 110"
"84","chew_out",-1.815,0.52,1.88," 10 111111111 000"
"85","chide",-0.84,0.34,0.5," 10 111111111 000"
"86","chitchat_with",1.865,0.68,0.995," 10 111111111 100"
"87","choke",-3.095,0.295,0.37," 10 001000011 001"
"88","cling_to",-0.715,-0.995,-0.885," 10 000000011 001"
"89","club",-2.48,0.82,1.505," 10 001000000 001"
"90","coach",2.355,2.02,1.56," 10 011111111 010"
"91","coddle",0.42,-0.055,-0.375," 11 000001011 100"
"92","coerce",-1.525,1.035,0.56," 10 111111111 000"
"93","collaborate_with",1.645,1.225,0.915," 10 011111000 010"
"94","combat",-1.5,1.22,1.63," 10 001100000 000"
"95","comfort",2.13,1.89,-0.275," 11 100001110 100"
"96","command",-0.175,1.325,1.6," 10 011111111 000"
"97","compensate",1.98,1.415,0.455," 10 010100000 010"
"98","compete_with",1.26,1.925,2.085," 10 010110000 010"
"99","compliment",2.765,2.025,0.995," 10 111111111 000"
"100","compromise_with",2.075,1.565,0.145," 10 011100010 000"
"101","concur_with",1.155,0.8,0.48," 10 011111111 010"
"102","condemn",-1.915,0.825,-0.01," 10 001100000 110"
"103","confer_with",1.705,1.12,-0.075," 10 111111111 010"
"104","confess_to",1.225,1.05,-0.34," 10 011011111 000"
"105","confide_in",1.92,1.57,-0.165," 10 000111111 000"
"106","confine",-1.285,0.385,-0.135," 10 001101010 001"
"107","confront",0.62,1.7,0.955," 10 111111111 100"
"108","congratulate",2.51,1.86,1.15," 10 111111111 100"
"109","console",2.565,1.64,-0.25," 10 111111111 100"
"110","conspire_with",-0.8,0.96,-0.06," 11 010100011 010"
"111","consult_with",1.62,1.245,0.115," 10 111111111 000"
"112","contemplate",0.765,0.715,-0.73," 01 100111000 100"
"113","contradict",0.005,0.45,0.96," 10 111111111 110"
"114","converse_with",2.055,1.38,1.05," 10 111111111 100"
"115","convict",0.1,1.895,0.45," 10 001000000 010"
"116","correct",0.585,0.88,0.425," 10 111111111 100"
"117","counsel",2.26,1.97,-0.07," 10 011111111 000"
"118","criticize",-1.325,-0.02,-0.155," 10 111111111 100"
"119","cross_examine",0,1.265,0.785," 10 001000000 010"
