"","term","E","P","A","instcodes"
"1","abandon",-3.05,-0.92,-0.81," 01 111111110 000"
"2","abuse",-3.97,0.71,0.66," 10 101000011 100"
"3","accommodate",2.73,1.24,0.45," 10 111111111 000"
"4","accuse",-2.12,0.76,1.25," 10 111111111 010"
"5","address",1.52,1.4,0.29," 10 111111110 010"
"6","admonish",-0.3,0.92,0.9," 10 011111111 000"
"7","advise",2.12,1.73,0.27," 10 011111110 000"
"8","agree_with",1.75,1.16,0.35," 10 111111111 000"
"9","aid",3.25,2.81,0.41," 10 111111111 000"
"10","amuse",2.44,1.8,1.65," 11 111111111 100"
"11","analyze",0.66,0.73,0.12," 10 011111110 100"
"12","answer",1.7,1.28,0.87," 10 111111111 000"
"13","apologize_to",2.32,1.91,-0.87," 10 111111111 000"
"14","appeal_to",1.81,1.79,0.68," 10 111111111 000"
"15","applaud",2.58,2.3,2.51," 10 111111111 010"
"16","apprehend",0.14,1.36,1," 10 001000000 001"
"17","approach",1.7,1.31,0.49," 10 111111111 010"
"18","argue_with",-1.12,0.87,2.02," 10 111111111 000"
"19","arrest",-0.39,2.07,1.41," 10 001000000 001"
"20","ask_about_something",1.68,0.86,-0.09," 10 111111111 000"
"21","ask_out",2.02,1.81,0.42," 10 000000001 000"
"22","assail",-1.62,1.05,1.21," 10 001100110 001"
"23","assault",-3.09,0.98,2.12," 10 001000000 001"
"24","assist",2.63,1.91,0.36," 10 111111111 000"
"25","attack",-3.24,0.46,1.68," 10 001100010 001"
"26","attend_to",2.49,2.16,0.96," 10 100000001 000"
"27","babble_to",-0.79,-0.26,1.22," 10 111111111 100"
"28","baby",-0.53,-0.33,-0.91," 10 000000010 100"
"29","back",2.37,1.94,1.41," 10 010100000 010"
"30","badger",-2.3,0.15,1.18," 10 111111111 100"
"31","banter_with",0.27,0.38,1.73," 10 110111011 000"
"32","baptize",2.29,1.87,-0.17," 10 000000100 000"
"33","bargain_with",0.54,1.42,1.12," 10 111111111 000"
"34","barter_with",0.53,0.73,0.9," 10 011100000 000"
"35","bash",-2.9,0.56,1.11," 10 101000010 001"
"36","bathe",1.81,0.83,-0.66," 10 000001011 101"
"37","bawl_out",-1.54,0.84,0.91," 10 111111111 000"
"38","be_intimate_with",2.25,2.06,0.7," 10 000000001 001"
"39","be_sarcastic_toward",-0.16,0.51,1.27," 10 100010011 000"
"40","beam_at",1.75,1.06,0.84," 10 111111111 000"
"41","beat_up",-3.16,0.81,2.35," 10 001000010 001"
"42","beckon_to",0.52,0.16,1.01," 10 110010110 000"
"43","bed",1.62,1.42,0.73," 10 000000001 000"
"44","beg",-1.19,-1.93,-0.82," 10 111111111 000"
"45","belittle",-2.59,-0.44,0.41," 10 111111111 100"
"46","bellow_at",-1.48,0.75,1.42," 10 111111111 000"
"47","berate",-1.69,0.49,0.46," 10 111111111 100"
"48","beseech",-0.09,0.1,0.65," 10 111111111 000"
"49","bicker_with",-1.73,0.03,1.25," 10 111111111 000"
"50","bill",-1.24,1.32,-0.54," 10 010000000 010"
"51","bind",-1.53,1.07,-0.19," 10 001000001 001"
"52","bite",-2.42,0.04,1.03," 10 100000001 001"
"53","blabber_to",-0.78,-0.15,1.85," 10 111111111 000"
"54","blame",-1.97,-0.17,0.42," 10 111111111 010"
"55","bless",2.82,1.93,-0.84," 10 000000100 000"
"56","bootlick",-1.2,-1.22,-0.29," 01 010100100 000"
"57","booze_with",0.71,0.08,1.77," 10 100000001 100"
"58","borrow_money_from",-0.45,-0.46,-0.66," 10 010000000 000"
"59","boss_around",-2,1.4,1.38," 10 110101011 000"
"60","bow_to",1.07,0.36,-1.11," 10 010000100 000"
"61","brawl_with",-2.13,-0.03,1.93," 10 101000010 001"
"62","bribe",-1.97,0.49,0.78," 10 011100000 110"
"63","brief",0.46,0.74,-0.18," 10 011101000 000"
"64","browbeat",-1.89,0.68,0.51," 10 111111111 000"
"65","brown_nose",-1.26,-0.07,0.08," 01 111110000 000"
"66","brutalize",-3.72,0.94,1.94," 10 101100011 001"
"67","bully",-2.72,0.98,1.4," 10 100100011 001"
"68","cajole",-0.11,0.44,1.01," 10 111111111 000"
"69","capture",-1.76,1.3,1.25," 10 001100000 011"
"70","care_for",3.4,2.32,0.37," 10 000001000 101"
"71","caress",2.59,1.45,-1.45," 10 000000011 001"
"72","catch",1.03,1.84,1.87," 10 001000001 001"
"73","caution",1.88,1.6,0.62," 10 111111111 100"
"74","challenge",1.03,1.66,1.89," 10 111111111 100"
"75","chase",-0.88,0.31,2," 10 001000001 000"
"76","chastise",-1.62,-0.09,1.38," 10 111111111 000"
"77","chat_up",1.66,1.06,1.72," 10 111111111 000"
"78","chat_with",2.27,1.48,1.14," 10 111111111 000"
"79","chatter_to",1.07,0.6,1.38," 10 111111111 100"
"80","cheat_on",-3.39,0.03,-0.35," 01 000000001 011"
"81","cheat",-2.98,-0.44,-0.6," 01 011100000 000"
