"","term","E","P","A","instcodes"
"1","abandon",-2.28,-0.48,-0.84," 01 111111110 000"
"2","abuse",-3.21,-0.33,1," 10 101000011 100"
"3","accommodate",2.01,1.58,0.67," 10 111111111 000"
"4","accuse",-1.03,0.26,0.29," 10 111111111 010"
"5","address",1.11,0.87,0.15," 10 111111110 010"
"6","admonish",-0.6,0.63,0.6," 10 011111111 000"
"7","advise",2.12,1.59,0.98," 10 011111110 000"
"8","agree_with",1.66,1.27,0.87," 10 111111111 000"
"9","aid",2.05,1.95,0.8," 10 111111111 000"
"10","amuse",1.51,1.2,1.27," 11 111111111 100"
"11","analyze",0.98,0.67,0.21," 10 011111110 100"
"12","answer",1.59,0.73,0.16," 10 111111111 000"
"13","apologize_to",1.84,1.17,-0.4," 10 111111111 000"
"14","appeal_to",1.22,1.3,0.64," 10 111111111 000"
"15","applaud",2.15,1.63,1.62," 10 111111111 010"
"16","apprehend",0.93,1.59,1.64," 10 001000000 001"
"17","approach",1.84,1.57,1.3," 10 111111111 010"
"18","argue_with",-0.9,0.75,1.39," 10 111111111 000"
"19","arrest",0.24,1.31,1.42," 10 001000000 001"
"20","ask_about_something",1.16,0.74,0.41," 10 111111111 000"
"21","ask_out",1.97,1.46,1.2," 10 000000001 000"
"22","assail",-1.3,0.86,0.67," 10 001100110 001"
"23","assault",-2.52,1.1,1.5," 10 001000000 001"
"24","assist",2.2,1.64,0.75," 10 111111111 000"
"25","attack",-2.36,0.02,1.12," 10 001100010 001"
"26","attend_to",2.07,1.54,0.76," 10 100000001 000"
"27","babble_to",-0.97,-0.96,1.38," 10 111111111 100"
"28","baby",-0.8,-0.67,-0.96," 10 000000010 100"
"29","back",2.12,1.97,1.41," 10 010100000 010"
"30","badger",-1.55,0.55,1.13," 10 111111111 100"
"31","banter_with",0.11,0.34,1.05," 10 110111011 000"
"32","baptize",2,1.82,0.11," 10 000000100 000"
"33","bargain_with",1.44,1.42,1.3," 10 111111111 000"
"34","barter_with",1.21,1.07,1.04," 10 011100000 000"
"35","bash",-1.09,0.01,0.87," 10 101000010 001"
"36","bathe",0.61,0.39,-0.38," 10 000001011 101"
"37","bawl_out",-1.62,-0.03,0.48," 10 111111111 000"
"38","be_intimate_with",2.63,2.12,0.98," 10 000000001 001"
"39","be_sarcastic_toward",-0.42,0.32,1.11," 10 100010011 000"
"40","beam_at",0.78,0.87,0.09," 10 111111111 000"
"41","beat_up",-1.92,1,1.62," 10 001000010 001"
"42","beckon_to",0.29,-0.07,0.14," 10 110010110 000"
