"","term","E","P","A","instcodes"
"1","abortionist",-1.13,0.93,-0.26," 11 000001001 011"
"2","adolescent",0.64,-0.445,1.64," 11 100000010 000"
"3","adult",1.355,1.9,0.325," 11 100000010 000"
"4","adulterer",-2.345,-0.435,-0.26," 10 000000011 001"
"5","adulteress",-2.28,-0.765,-0.04," 01 000000011 001"
"6","advisor",1.615,1.295,0.32," 11 110110000 000"
"7","afro_american",1.605,0.695,0.94," 11 100100000 100"
"8","agnostic",-0.01,-0.105,-0.01," 11 000000100 000"
"9","aide",1.84,0.75,0.525," 11 011110000 000"
"10","air_force_enlistee",1.46,1.105,0.87," 11 000100000 001"
"11","air_force_officer",1.595,1.945,1.645," 11 000100000 001"
"12","air_force_reservist",1.675,1.335,1.135," 11 000100000 001"
"13","alcoholic",-2.245,-1.725,0.125," 11 100001000 000"
"14","alumnus",1.395,1.155,0.19," 11 000010000 000"
"15","anti_semite",-2.135,-0.57,0.79," 11 100100100 000"
"16","applicant",1.04,-0.53,-0.055," 11 010010000 000"
"17","apprentice",1.165,-0.225,0.24," 11 010000000 000"
"18","army_enlistee",1.425,1.075,1.18," 11 000100000 001"
"19","army_officer",1.205,2.4,1.62," 11 000100000 001"
"20","army_reservist",1.91,1.985,1.415," 11 000100000 001"
"21","asian_american",1.05,-0.045,0.075," 11 100100000 000"
"22","assistant",1.64,0.335,0.585," 11 110001000 000"
"23","atheist",-0.845,-0.485,-0.385," 11 000000100 000"
"24","athlete",2.145,2.185,2.42," 11 010010000 001"
"25","attorney",0.48,2.025,1.43," 11 001000000 000"
"26","aunt",1.92,0.78,0.485," 01 000000010 000"
"27","authority",0.74,2.1,0.995," 11 011111100 000"
"28","babysitter",1.565,1.105,0.525," 11 000000010 011"
"29","baby",2.1,-1.16,0.935," 11 100001010 001"
"30","bachelor",1.09,1.105,1.865," 10 000000011 000"
"31","baldy",-0.355,-0.085,-0.72," 10 100000000 100"
"32","battered_woman",-2.015,-2.105,-1.755," 01 101000010 001"
"33","beginner",0.83,-1.005,-0.63," 11 100000000 000"
"34","best_friend",3.45,2.455,1.995," 11 100000000 000"
"35","best_man",2.255,1.54,1.575," 10 000000010 000"
"36","big_brother",1.745,1.84,1.37," 10 000000010 000"
"37","big_shot",-0.33,1.365,2.03," 11 100000000 000"
"38","big_sister",1.79,1.19,1.06," 01 000000010 000"
"39","bisexual",-0.245,0.03,0.375," 11 000000001 001"
"40","blind_date",0.4,0.175,0.375," 11 000000001 001"
"41","blonde",1.165,0.14,1.14," 01 100000001 000"
"42","bootlicker",-1.46,-1.025,-0.025," 11 110100000 000"
"43","boozer",-1.34,-1.12,0.955," 11 100000000 100"
"44","bore",-1.495,-1.045,-1.715," 11 100000000 000"
"45","born_again_christian",0.86,0.78,0.89," 11 000000100 100"
"46","boss",0.435,2.09,0.82," 11 010000000 000"
"47","bouncer",0.75,2.405,1.18," 10 010000000 001"
"48","boy",1.14,1.045,1.77," 10 100000010 000"
"49","boyfriend",1.72,1.37,1.075," 10 000000001 001"
"50","brat",-2.22,-0.66,1.635," 11 100000010 000"
"51","bride",2.43,1.395,1.435," 01 000000010 001"
"52","bridegroom",1.545,0.885,0.54," 10 000000010 001"
"53","bridesmaid",2.08,0.31,0.71," 01 000000010 000"
"54","brother_in_law",1.28,0.395,0.47," 10 000000010 000"
"55","brother",1.9,1.77,1.525," 10 000000010 000"
"56","brunette",1.35,0.825,0.585," 01 100000001 000"
"57","brute",-0.975,1.16,0.94," 10 100000000 001"
"58","buddy",2.595,1.76,1.615," 11 100000000 000"
"59","bully",-2.735,1.165,1.49," 11 100000000 001"
"60","bum",-0.93,-1.995,-1.55," 11 100000000 000"
"61","bureaucrat",-0.48,0.79,0.45," 11 011101000 000"
"62","businessman",1.435,1.98,1.645," 10 010000000 000"
"63","businesswoman",1.845,1.6,1.395," 01 010000000 000"
"64","call_girl",-1.055,-1.22,1.815," 01 000000001 001"
"65","capitalist",0.42,1.405,1.285," 11 010000000 000"
"66","catholic",1.11,0.885,0.425," 11 000000100 000"
"67","celebrity",0.61,2.155,1.98," 11 110000000 000"
"68","chain_smoker",-2.195,-1.435,-0.385," 11 100000000 100"
"69","champion",2.375,2.715,2.445," 11 100010000 001"
"70","chatterbox",-0.675,0.195,1.975," 11 100000000 000"
"71","child_molester",-3.86,-1.15,-1.605," 11 001000011 001"
"72","child",1.765,-0.7,2.02," 11 100000010 000"
"73","chum",0.52,0.56,0.605," 11 100000000 000"
"74","citizen",1.425,0.67,0.42," 11 000100000 000"
"75","classmate",1.54,0.49,0.665," 11 000010000 000"
"76","clergyman",1.585,1.49,-0.18," 11 000000100 000"
"77","client",1.295,0.795,0.91," 11 011000000 000"
"78","clock_watcher",-0.245,-0.955,-1.7," 11 010010000 100"
"79","co_worker",0.955,0.41,0.56," 11 010000000 000"
"80","coach",1.805,2.15,1.655," 11 010010000 001"
"81","coed",1.765,0.92,1.405," 01 000010000 000"
"82","colleague",1.735,1.225,0.675," 11 000011000 000"
"83","companion",2.78,1.975,1.38," 11 100000000 000"
"84","competitor",0.975,1.655,1.675," 11 110110000 000"
"85","computer_expert",1.455,1.27,-0.195," 11 110011000 100"
"86","confidant",2.145,1.95,0.32," 11 100000000 000"
"87","conservative",0.125,0.575,-0.66," 11 000100000 000"
"88","consultant",1.06,1.105,0.415," 11 011111000 000"
"89","convalescent",0.075,-0.455,-0.49," 11 000001000 100"
"90","cop",0.52,1.97,1.035," 11 001000000 001"
"91","cousin",1.8,0.445,0.715," 11 000000010 000"
"92","criminal",-2.665,-0.425,0.77," 11 001000000 000"
"93","critic",-0.505,0.905,1.445," 11 100110000 000"
"94","crook",-3.045,-0.4,-0.29," 11 011000000 000"
"95","customer",1.71,1.17,1.03," 11 010000000 000"
"96","date",2.75,1.735,1.52," 11 000000001 000"
"97","daughter_in_law",1.165,-0.03,0.265," 01 000000010 000"
"98","daughter",2.1,0.545,1.195," 01 000000010 000"
"99","deadbeat_dad",-2.89,-1.985,-2.145," 10 001000010 000"
"100","defendant",-0.125,-0.565,-0.25," 11 001000000 000"
"101","defense_attorney",0.9,1.735,1.36," 11 001000000 000"
"102","delinquent",-1.835,-0.62,0.66," 11 001000000 000"
"103","demagogue",-0.495,0.625,0.275," 11 000100000 000"
"104","detective",1.21,1.55,0.165," 11 001000000 001"
"105","devil_worshiper",-2.27,-1.585,-0.24," 11 000000100 100"
"106","devil",-3.005,1.54,1.07," 11 100000100 000"
"107","disciplinarian",0.18,1.74,0.935," 11 000010110 001"
"108","district_attorney",0.875,1.745,1.125," 11 001000000 000"
