"","term","E","P","A","instcodes"
"1","abortionist",-1.1,1.62,-0.46," 11 000001001 011"
"2","adolescent",0.63,-0.56,2.11," 11 100000010 000"
"3","adult",1.36,2.04,0.61," 11 100000010 000"
"4","adulterer",-2.85,-0.28,0.05," 10 000000011 001"
"5","adulteress",-2.53,-0.69,0.53," 01 000000011 001"
"6","advisor",1.92,1.39,0.46," 11 110110000 000"
"7","afro_american",2.23,1.06,1.32," 11 100100000 100"
"8","agnostic",0.31,0.11,-0.08," 11 000000100 000"
"9","aide",2.1,0.91,0.64," 11 011110000 000"
"10","air_force_enlistee",1.64,1.52,1.15," 11 000100000 001"
"11","air_force_officer",1.83,2.15,1.63," 11 000100000 001"
"12","air_force_reservist",1.69,1.6,1.31," 11 000100000 001"
"13","alcoholic",-2.46,-1.46,0.34," 11 100001000 000"
"14","alumnus",1.62,1.19,0.41," 11 000010000 000"
"15","anti_semite",-2.55,-0.67,0.89," 11 100100100 000"
"16","applicant",1.08,-0.69,-0.08," 11 010010000 000"
"17","apprentice",0.88,0,0.11," 11 010000000 000"
"18","army_enlistee",1.46,1.27,1.4," 11 000100000 001"
"19","army_officer",1.69,2.93,1.83," 11 000100000 001"
"20","army_reservist",1.69,1.93,1.19," 11 000100000 001"
"21","asian_american",1.18,-0.27,-0.23," 11 100100000 000"
"22","assistant",1.78,0.16,0.72," 11 110001000 000"
"23","atheist",-1.18,-0.67,-0.32," 11 000000100 000"
"24","athlete",2.72,2.71,2.8," 11 010010000 001"
"25","attorney",0.3,2.45,1.92," 11 001000000 000"
"26","aunt",2.08,1.1,0.68," 01 000000010 000"
"27","authority",0.71,2.23,0.96," 11 011111100 000"
"28","babysitter",2.12,1.41,0.94," 11 000000010 011"
"29","baby",2.57,-0.68,1.57," 11 100001010 001"
"30","bachelor",1.17,1.24,1.99," 10 000000011 000"
"31","baldy",-0.16,-0.16,-0.77," 10 100000000 100"
"32","battered_woman",-1.98,-2.74,-2.24," 01 101000010 001"
"33","beginner",0.91,-1.23,-0.98," 11 100000000 000"
"34","best_friend",3.7,2.57,2.26," 11 100000000 000"
"35","best_man",2.49,1.63,1.75," 10 000000010 000"
"36","big_brother",1.89,2.03,1.6," 10 000000010 000"
