"","term","E","P","A","instcodes"
"1","abortionist",-1.16,0.24,-0.06," 11 000001001 011"
"2","adolescent",0.65,-0.33,1.17," 11 100000010 000"
"3","adult",1.35,1.76,0.04," 11 100000010 000"
"4","adulterer",-1.84,-0.59,-0.57," 10 000000011 001"
"5","adulteress",-2.03,-0.84,-0.61," 01 000000011 001"
"6","advisor",1.31,1.2,0.18," 11 110110000 000"
"7","afro_american",0.98,0.33,0.56," 11 100100000 100"
"8","agnostic",-0.33,-0.32,0.06," 11 000000100 000"
"9","aide",1.58,0.59,0.41," 11 011110000 000"
"10","air_force_enlistee",1.28,0.69,0.59," 11 000100000 001"
"11","air_force_officer",1.36,1.74,1.66," 11 000100000 001"
"12","air_force_reservist",1.66,1.07,0.96," 11 000100000 001"
"13","alcoholic",-2.03,-1.99,-0.09," 11 100001000 000"
"14","alumnus",1.17,1.12,-0.03," 11 000010000 000"
"15","anti_semite",-1.72,-0.47,0.69," 11 100100100 000"
"16","applicant",1,-0.37,-0.03," 11 010010000 000"
"17","apprentice",1.45,-0.45,0.37," 11 010000000 000"
"18","army_enlistee",1.39,0.88,0.96," 11 000100000 001"
"19","army_officer",0.72,1.87,1.41," 11 000100000 001"
"20","army_reservist",2.13,2.04,1.64," 11 000100000 001"
"21","asian_american",0.92,0.18,0.38," 11 100100000 000"
"22","assistant",1.5,0.51,0.45," 11 110001000 000"
"23","atheist",-0.51,-0.3,-0.45," 11 000000100 000"
"24","athlete",1.57,1.66,2.04," 11 010010000 001"
"25","attorney",0.66,1.6,0.94," 11 001000000 000"
"26","aunt",1.76,0.46,0.29," 01 000000010 000"
"27","authority",0.77,1.97,1.03," 11 011111100 000"
"28","babysitter",1.01,0.8,0.11," 11 000000010 011"
"29","baby",1.63,-1.64,0.3," 11 100001010 001"
"30","bachelor",1.01,0.97,1.74," 10 000000011 000"
"31","baldy",-0.55,-0.01,-0.67," 10 100000000 100"
"32","battered_woman",-2.05,-1.47,-1.27," 01 101000010 001"
"33","beginner",0.75,-0.78,-0.28," 11 100000000 000"
"34","best_friend",3.2,2.34,1.73," 11 100000000 000"
"35","best_man",2.02,1.45,1.4," 10 000000010 000"
"36","big_brother",1.6,1.65,1.14," 10 000000010 000"
"37","big_shot",-0.04,1.42,1.55," 11 100000000 000"
"38","big_sister",1.17,0.87,0.98," 01 000000010 000"
"39","bisexual",-0.81,-0.2,0.37," 11 000000001 001"
"40","blind_date",0.69,0.19,0.77," 11 000000001 001"
"41","blonde",0.95,-0.04,1.14," 01 100000001 000"
"42","bootlicker",-1.53,-1.56,-0.01," 11 110100000 000"
"43","boozer",-1.16,-0.91,0.54," 11 100000000 100"
"44","bore",-1.26,-0.95,-1.63," 11 100000000 000"
"45","born_again_christian",1.66,1.38,1.09," 11 000000100 100"
"46","boss",0.48,2.16,0.94," 11 010000000 000"
"47","bouncer",0.89,2.17,0.64," 10 010000000 001"
"48","boy",0.95,0.89,1.69," 10 100000010 000"
"49","boyfriend",0.71,1.25,0.81," 10 000000001 001"
"50","brat",-2.42,-0.93,1.6," 11 100000010 000"
"51","bride",1.82,1.1,0.95," 01 000000010 001"
"52","bridegroom",1.31,0.78,0.03," 10 000000010 001"
"53","bridesmaid",2.11,0.24,0.69," 01 000000010 000"
"54","brother_in_law",1.15,0.35,0.24," 10 000000010 000"
"55","brother",1.86,1.82,1.5," 10 000000010 000"
"56","brunette",1.2,0.41,0.31," 01 100000001 000"
"57","brute",-1.01,1.17,0.52," 10 100000000 001"
"58","buddy",2.28,1.61,1.65," 11 100000000 000"
"59","bully",-2.61,1.17,1.38," 11 100000000 001"
"60","bum",-0.79,-1.71,-1.35," 11 100000000 000"
"61","bureaucrat",-0.54,0.11,0.22," 11 011101000 000"
"62","businessman",1.5,2,1.66," 10 010000000 000"
