"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abusive",-3,-0.27,1.68," 10 010000000 000"
"3","accommodating",2.225,1.29,0.55," 10 010000000 000"
"4","adventurous",2.34,2.385,2.72," 10 010000000 000"
"5","affectionate",2.21,1.37,0.595," 10 010000000 000"
"6","afraid",-2.02,-0.94,-0.38," 10 100000000 000"
"7","aggravated",-1.715,-0.64,0.215," 10 100000000 000"
"8","aggressive",0.27,1.565,1.825," 10 010000000 000"
"9","agitated",-1.71,-0.84,0.825," 10 100000000 000"
"10","alarmed",-1.21,-0.24,1.075," 10 100000000 000"
"11","aloof",-0.475,-0.57,-0.93," 10 010000000 000"
"12","ambitious",2.7,2.105,2.155," 10 010000000 000"
"13","amused",2.855,1.625,1.85," 10 100000000 000"
"14","angry",-1.61,-0.5,1.235," 10 100000000 000"
"15","anguished",-1.85,-1.22,-0.895," 10 100000000 000"
"16","annoyed",-1.86,-0.83,-0.035," 10 100010000 000"
"17","antisocial",-1.49,-1.31,-2.065," 10 000100000 000"
"18","anxious",-0.465,-0.14,0.885," 10 100000000 000"
"19","apathetic",-0.525,-0.795,-1.295," 10 110000000 000"
"20","apprehensive",-0.96,-0.59,-0.72," 10 100000000 000"
"21","arrogant",-2.29,-0.445,1.095," 10 010000000 000"
"22","ashamed",-1.87,-1.355,-1.49," 10 100010000 000"
"23","at_ease",2.38,1.475,-0.69," 10 100000000 000"
"24","authoritarian",-0.2,1.59,1.125," 10 010000000 000"
"25","awe_struck",1.385,0.38,-0.005," 10 100000000 000"
"26","bitter",-2.095,-1.115,-0.28," 10 100010000 000"
"27","black",1.145,0.74,0.84," 10 001000000 000"
"28","blue",-1.81,-1.625,-2.06," 10 100000000 000"
"29","bossy",-1.8,0.46,1.33," 10 010000000 000"
"30","brave",2.54,2.555,1.545," 10 010000000 000"
"31","bright",2.46,2.155,0.93," 10 010000000 000"
"32","broad_minded",2.115,2.04,0.75," 10 010100000 000"
"33","broken_hearted",-2.445,-1.07,-2.165," 10 100000000 000"
"34","calm",2.175,1.235,-1.665," 10 100010000 000"
"35","careless",-1.76,-1.1,-0.275," 10 010000000 000"
"36","cautious",1.385,0.185,-1.235," 10 010000000 000"
"37","charmed",2.1,1.54,0.73," 10 100000000 000"
"38","cheerful",2.52,1.805,1.775," 10 110000000 000"
"39","cheerless",-1.835,-1.225,-1.565," 10 100000000 000"
"40","childish",-0.82,-0.945,1.145," 10 010000000 000"
"41","cocky",-1.13,-0.005,1.265," 10 010000000 000"
"42","cold",-2.465,-0.135,-1.57," 10 010000000 000"
"43","compassionate",2.085,1.605,0.835," 10 110000000 000"
"44","competent",2.725,2.485,1.1," 10 010000000 000"
"45","competitive",1.745,1.86,2.07," 10 010000000 000"
"46","compulsive",-0.83,-0.165,0.875," 10 010000000 000"
"47","conceited",-2.065,-0.59,0.99," 10 010000000 000"
"48","confident",2.745,2.755,1.515," 10 010000000 000"
"49","conscientious",1.46,1.21,0.02," 10 010000000 000"
"50","considerate",2.705,2.08,0.85," 10 010000000 000"
"51","contemptuous",-0.72,0.165,-0.22," 10 110000000 000"
"52","contented",1.515,0.91,0.63," 10 100010000 000"
"53","contrite",-0.165,-0.5,-0.51," 10 100000000 000"
"54","cooperative",2.245,1.475,0.67," 10 010000000 000"
"55","courageous",2.315,2.275,1.77," 10 010000000 000"
"56","cowardly",-1.92,-2.045,-2.155," 10 010000000 000"
"57","cruel",-2.945,0.09,0.47," 10 010000000 000"
"58","crushed",-2.155,-1.295,-1.285," 10 100000000 000"
"59","cynical",-1.075,-0.245,0.1," 10 010000000 000"
"60","daring",1.53,2.145,1.96," 10 010000000 000"
"61","defensive",-0.275,-0.045,0.755," 10 010000000 000"
"62","defiant",-0.555,0.995,1.015," 10 010000000 000"
"63","deflated",-1.94,-1.225,-1.775," 10 100000000 000"
"64","dejected",-1.995,-1.63,-1.6," 10 100000000 000"
"65","delighted",3.03,2.215,1.965," 10 100000000 000"
"66","dependable",2.21,1.87,0.695," 10 010000000 000"
"67","dependent",-0.71,-1.22,-0.765," 10 010000000 000"
"68","depressed",-2.9,-1.87,-2.345," 10 100010000 000"
"69","despondent",-1.53,-1.17,-1.285," 10 100000000 000"
"70","disappointed",-2.06,-1.1,-1.385," 10 100000000 000"
"71","disapproving",-1.26,-0.785,-0.805," 10 100000000 000"
"72","discontented",-1.76,-1.215,-1.455," 10 100000000 000"
"73","discouraged",-1.615,-1.125,-1.14," 10 100000000 000"
"74","disgusted",-1.995,-0.67,-0.85," 10 100010000 000"
"75","disheartened",-1.905,-1.29,-1.885," 10 100000000 000"
"76","dismayed",-1.65,-1.4,-1.245," 10 100000000 000"
"77","displeased",-1.845,-0.475,-0.895," 10 100000000 000"
"78","dissatisfied",-2.185,-1.34,-1.275," 10 100000000 000"
"79","distressed",-1.68,-0.805,-0.6," 10 100000000 000"
"80","dogmatic",-0.25,0.73,0.04," 10 010000000 000"
"81","domineering",-0.705,1.185,1.325," 10 010000000 000"
"82","downhearted",-2.01,-1.525,-1.845," 10 100000000 000"
"83","eager",0.94,0.855,1.655," 10 100000000 000"
"84","earnest",2.11,1.335,0.09," 10 010000000 000"
"85","easygoing",2.02,0.78,0," 10 010000000 000"
"86","ecstatic",2.625,2.03,2.45," 10 100000000 000"
"87","egotistical",-1.795,-0.25,0.93," 10 010000000 000"
"88","elated",2.325,1.935,2.02," 10 100000000 000"
"89","embarrassed",-1.59,-1.325,-1.03," 10 100010000 000"
"90","enraged",-1.525,0.885,1.865," 10 100000000 000"
"91","enthusiastic",2.55,2.32,2.385," 10 110000000 000"
"92","envious",-1.245,-0.475,-0.43," 10 100000000 000"
"93","euphoric",2.28,1.815,1.315," 10 100000000 000"
