"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abusive",-2.74,-0.16,1.55," 10 010000000 000"
"3","accommodating",2.47,1.52,0.64," 10 010000000 000"
"4","adventurous",2.41,2.41,2.95," 10 010000000 000"
"5","affectionate",2.57,1.72,0.98," 10 010000000 000"
"6","afraid",-2.06,-0.43,-0.35," 10 100000000 000"
"7","aggravated",-1.87,-0.97,0.09," 10 100000000 000"
"8","aggressive",0.06,1.49,1.83," 10 010000000 000"
"9","agitated",-1.74,-0.41,0.76," 10 100000000 000"
"10","alarmed",-1.52,-0.49,0.73," 10 100000000 000"
"11","aloof",-0.6,-0.48,-0.95," 10 010000000 000"
"12","ambitious",2.75,2.24,2.27," 10 010000000 000"
"13","amused",2.95,1.97,2.14," 10 100000000 000"
"14","angry",-1.77,-0.7,1.34," 10 100000000 000"
"15","anguished",-1.98,-1.25,-0.53," 10 100000000 000"
"16","annoyed",-2.32,-1.06,0.06," 10 100010000 000"
"17","antisocial",-1.98,-1.59,-2.43," 10 000100000 000"
"18","anxious",-0.16,0.02,0.86," 10 100000000 000"
"19","apathetic",-1.14,-1.05,-1.42," 10 110000000 000"
"20","apprehensive",-0.77,-0.74,-0.76," 10 100000000 000"
"21","arrogant",-2.46,-0.18,1.57," 10 010000000 000"
"22","ashamed",-1.95,-1.37,-1.75," 10 100010000 000"
"23","at_ease",2.44,1.58,-0.65," 10 100000000 000"
"24","authoritarian",-0.24,1.45,1.35," 10 010000000 000"
"25","awe_struck",1.67,-0.15,-0.43," 10 100000000 000"
"26","bitter",-2.29,-1.06,-0.28," 10 100010000 000"
"27","black",1.34,0.75,0.59," 10 001000000 000"
"28","blue",-2.05,-1.82,-2.27," 10 100000000 000"
"29","bossy",-2.26,0.7,2.05," 10 010000000 000"
"30","brave",2.6,2.78,1.66," 10 010000000 000"
"31","bright",2.91,2.56,0.74," 10 010000000 000"
"32","broad_minded",2.1,2.1,1.03," 10 010100000 000"
"33","broken_hearted",-3.02,-0.97,-2.17," 10 100000000 000"
"34","calm",2.38,1.15,-1.93," 10 100010000 000"
"35","careless",-1.96,-1.47,-0.13," 10 010000000 000"
"36","cautious",1.54,0.6,-1.73," 10 010000000 000"
"37","charmed",2.2,1.58,0.6," 10 100000000 000"
"38","cheerful",2.93,2.18,2.13," 10 110000000 000"
"39","cheerless",-2.23,-1.31,-1.83," 10 100000000 000"
"40","childish",-0.77,-1.29,1.07," 10 010000000 000"
"41","cocky",-1.69,-0.59,1.47," 10 010000000 000"
"42","cold",-2.62,0.33,-1.63," 10 010000000 000"
"43","compassionate",2.87,2.09,0.58," 10 110000000 000"
"44","competent",2.71,2.62,1.32," 10 010000000 000"
"45","competitive",1.24,1.8,1.92," 10 010000000 000"
"46","compulsive",-0.91,-0.18,0.96," 10 010000000 000"
"47","conceited",-2.35,-0.31,1.03," 10 010000000 000"
"48","confident",3.21,2.92,1.81," 10 010000000 000"
"49","conscientious",1.87,1.53,-0.04," 10 010000000 000"
"50","considerate",2.95,2.42,0.98," 10 010000000 000"
"51","contemptuous",-0.96,0.28,0.05," 10 110000000 000"
"52","contented",1.86,1.07,0.56," 10 100010000 000"
"53","contrite",-0.17,-0.44,-0.69," 10 100000000 000"
"54","cooperative",2.62,1.84,0.73," 10 010000000 000"
"55","courageous",2.41,2.4,1.62," 10 010000000 000"
"56","cowardly",-1.77,-1.98,-2.32," 10 010000000 000"
"57","cruel",-3.46,0.75,0.94," 10 010000000 000"
"58","crushed",-2.09,-1.58,-1.35," 10 100000000 000"
"59","cynical",-0.99,-0.06,0.33," 10 010000000 000"
"60","daring",1.48,2.24,2.17," 10 010000000 000"
"61","defensive",-0.66,-0.46,0.73," 10 010000000 000"
"62","defiant",-0.83,1.12,0.98," 10 010000000 000"
"63","deflated",-1.99,-1,-1.69," 10 100000000 000"
"64","dejected",-2.19,-1.71,-1.45," 10 100000000 000"
"65","delighted",3.36,2.5,2.31," 10 100000000 000"
"66","dependable",2.42,2.08,0.6," 10 010000000 000"
"67","dependent",-0.94,-1.71,-1.48," 10 010000000 000"
"68","depressed",-2.95,-1.96,-2.33," 10 100010000 000"
"69","despondent",-1.33,-0.81,-1.63," 10 100000000 000"
"70","disappointed",-2.41,-1,-1.43," 10 100000000 000"
"71","disapproving",-1.74,-0.7,-1.04," 10 100000000 000"
"72","discontented",-1.92,-1.12,-1.69," 10 100000000 000"
"73","discouraged",-2.09,-1.39,-1.5," 10 100000000 000"
"74","disgusted",-2.18,-0.4,-0.44," 10 100010000 000"
"75","disheartened",-1.8,-1.47,-2.1," 10 100000000 000"
"76","dismayed",-1.82,-1.6,-1.24," 10 100000000 000"
"77","displeased",-1.89,-1.01,-1.51," 10 100000000 000"
"78","dissatisfied",-2.31,-1.07,-1.21," 10 100000000 000"
"79","distressed",-1.79,-0.99,-0.61," 10 100000000 000"
"80","dogmatic",0.01,1.18,0.61," 10 010000000 000"
"81","domineering",-0.87,1.6,1.75," 10 010000000 000"
"82","downhearted",-2.35,-1.66,-2.25," 10 100000000 000"
"83","eager",0.96,0.6,1.72," 10 100000000 000"
"84","earnest",2.22,1.62,0.08," 10 010000000 000"
"85","easygoing",2.19,0.69,-0.32," 10 010000000 000"
"86","ecstatic",3.07,2.06,2.72," 10 100000000 000"
"87","egotistical",-2.42,-0.23,0.96," 10 010000000 000"
"88","elated",2.4,2.19,1.87," 10 100000000 000"
"89","embarrassed",-2.06,-1.45,-1.18," 10 100010000 000"
"90","enraged",-1.89,0.76,1.98," 10 100000000 000"
"91","enthusiastic",3.15,2.74,3.01," 10 110000000 000"
"92","envious",-1.85,-0.87,-0.98," 10 100000000 000"
