"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","abusive",-3.26,-0.38,1.81," 10 010000000 000"
"3","accommodating",1.98,1.06,0.46," 10 010000000 000"
"4","adventurous",2.27,2.36,2.49," 10 010000000 000"
"5","affectionate",1.85,1.02,0.21," 10 010000000 000"
"6","afraid",-1.98,-1.45,-0.41," 10 100000000 000"
"7","aggravated",-1.56,-0.31,0.34," 10 100000000 000"
"8","aggressive",0.48,1.64,1.82," 10 010000000 000"
"9","agitated",-1.68,-1.27,0.89," 10 100000000 000"
"10","alarmed",-0.9,0.01,1.42," 10 100000000 000"
"11","aloof",-0.35,-0.66,-0.91," 10 010000000 000"
"12","ambitious",2.65,1.97,2.04," 10 010000000 000"
"13","amused",2.76,1.28,1.56," 10 100000000 000"
"14","angry",-1.45,-0.3,1.13," 10 100000000 000"
"15","anguished",-1.72,-1.19,-1.26," 10 100000000 000"
"16","annoyed",-1.4,-0.6,-0.13," 10 100010000 000"
"17","antisocial",-1,-1.03,-1.7," 10 000100000 000"
"18","anxious",-0.77,-0.3,0.91," 10 100000000 000"
"19","apathetic",0.09,-0.54,-1.17," 10 110000000 000"
"20","apprehensive",-1.15,-0.44,-0.68," 10 100000000 000"
"21","arrogant",-2.12,-0.71,0.62," 10 010000000 000"
"22","ashamed",-1.79,-1.34,-1.23," 10 100010000 000"
"23","at_ease",2.32,1.37,-0.73," 10 100000000 000"
"24","authoritarian",-0.16,1.73,0.9," 10 010000000 000"
"25","awe_struck",1.1,0.91,0.42," 10 100000000 000"
"26","bitter",-1.9,-1.17,-0.28," 10 100010000 000"
"27","black",0.95,0.73,1.09," 10 001000000 000"
"28","blue",-1.57,-1.43,-1.85," 10 100000000 000"
"29","bossy",-1.34,0.22,0.61," 10 010000000 000"
"30","brave",2.48,2.33,1.43," 10 010000000 000"
"31","bright",2.01,1.75,1.12," 10 010000000 000"
"32","broad_minded",2.13,1.98,0.47," 10 010100000 000"
"33","broken_hearted",-1.87,-1.17,-2.16," 10 100000000 000"
"34","calm",1.97,1.32,-1.4," 10 100010000 000"
"35","careless",-1.56,-0.73,-0.42," 10 010000000 000"
"36","cautious",1.23,-0.23,-0.74," 10 010000000 000"
"37","charmed",2,1.5,0.86," 10 100000000 000"
"38","cheerful",2.11,1.43,1.42," 10 110000000 000"
"39","cheerless",-1.44,-1.14,-1.3," 10 100000000 000"
"40","childish",-0.87,-0.6,1.22," 10 010000000 000"
"41","cocky",-0.57,0.58,1.06," 10 010000000 000"
"42","cold",-2.31,-0.6,-1.51," 10 010000000 000"
"43","compassionate",1.3,1.12,1.09," 10 110000000 000"
