"","term","E","P","A","instcodes"
"1","abortion_clinic",-1.04,0.58,-0.79," 10 000001000 000"
"2","adult_bookstore",-0.7,0.03,0.25," 10 010000001 000"
"3","airplane",1.77,2.09,2.155," 10 110000000 000"
"4","amusement_park",2.345,2.14,2.645," 10 110000000 000"
"5","april_fools_day",1.045,0.415,1.25," 01 100000000 000"
"6","assembly_line",0.615,1.075,1.72," 10 010000000 000"
"7","athletic_club",1.905,1.785,2.005," 10 100000000 101"
"8","auction",0.955,1.19,2.31," 01 010000000 000"
"9","ball_game",2.23,1.89,1.895," 11 110010000 000"
"10","banquet",1.81,1.38,1.125," 01 100110010 000"
"11","bar",1.53,1.15,2.205," 10 110000000 000"
"12","barber_shop",0.985,-0.285,-0.1," 10 110000000 000"
"13","basketball_game",2.36,1.8,2.365," 11 110010000 001"
"14","battlefield",-1.73,2.205,2.52," 10 000100000 001"
"15","beach",2.995,2.095,0.265," 10 100000000 100"
"16","beauty_salon",0.875,0.21,1.41," 10 110000000 001"
"17","bed",2.78,1.26,-1.085," 10 000001001 101"
"18","bedroom",2.525,1.26,-0.345," 10 000000011 101"
"19","board_room",0.13,1.315,-0.035," 10 010000000 000"
"20","bowling_alley",1.2,0.765,2.13," 10 010000000 000"
"21","brothel",-1.51,0.07,1.715," 10 010000001 001"
"22","bull_session",0.795,0.6,1.34," 01 100000000 000"
"23","bus_stop",0.38,-0.265,0.705," 10 100000000 100"
"24","bus",0.565,1.26,1.52," 10 110000000 100"
"25","business_meeting",0.795,1.315,0.555," 11 010000000 000"
"26","cafe",1.89,0.24,0.185," 10 010000000 000"
"27","cafeteria",0.52,0.75,1.525," 10 010011000 100"
"28","camp",1.595,0.94,1.23," 10 100100010 100"
"29","campground",1.49,0.105,0.07," 10 100000010 000"
"30","campus",2.31,2.255,2.2," 10 000010000 100"
"31","car",2.525,2.15,2.17," 10 100000000 100"
"32","carnival",2.085,1.495,2.835," 11 100000000 000"
"33","casino",0.54,1.555,2.57," 10 010000000 100"
"34","cathedral",1.445,1.745,-1.57," 10 000000100 100"
"35","catholic_mass",1.015,0.785,-0.665," 01 000000100 000"
"36","celebration",2.915,2.39,2.895," 01 100100010 000"
"37","cemetery",-0.48,-0.68,-2.575," 10 100000100 100"
"38","chapel",2.145,1.735,-0.92," 10 000000100 100"
"39","christmas",2.92,2.43,2.405," 01 100000110 000"
"40","church",2.14,2.345,0.3," 10 000000100 100"
"41","classroom",1.62,1.355,0.98," 10 000010000 000"
"42","clinic",1.11,1.095,0.495," 10 000001000 001"
"43","cocktail_lounge",1.41,0.83,1.68," 10 010000001 000"
"44","coffee_break",1.59,0.41,0.1," 01 110000000 100"
"45","coffee_house",1.69,-0.085,-0.415," 10 010000000 100"
"46","committee_meeting",0.76,1.095,0.25," 01 010111000 000"
"47","concert",2.62,2.195,2.94," 11 100010000 000"
"48","conference_room",0.475,0.97,0.605," 10 011111000 000"
"49","cook_out",2.54,1,1.66," 01 100000010 000"
"50","country_club",1.16,1.235,-0.02," 10 010000000 000"
"51","courtroom",0.28,2.24,0.74," 10 001000000 000"
"52","crowd",0.54,1.605,2.21," 01 100000000 000"
"53","dance",2.03,1.43,1.735," 01 100000001 001"
"54","daycare_center",1.855,0.93,1.965," 10 010000010 001"
"55","debate",0.815,1.535,1.585," 01 000110000 000"
"56","desert_(dry_place)",-0.655,0.235,-1.81," 10 100000000 100"
"57","dining_room",1.6,0.355,-0.12," 10 000000010 100"
"58","disco",0.825,0.99,2.3," 10 010000001 000"
"59","doctor's_office",0.385,0.76,-0.475," 10 000001000 000"
"60","dorm_room",-0.375,-0.535,0.765," 10 000010000 101"
"61","drive_in_movie",1.965,0.92,0.605," 10 010000001 001"
"62","easter",2.275,1.925,1.46," 01 100000100 000"
"63","elevator",1.295,1.125,-0.17," 10 100000000 100"
"64","emergency_room",0.39,2.07,2.785," 10 000001000 001"
"65","encounter_group",0.67,0.74,0.645," 01 000001000 000"
"66","examination",-0.655,0.71,-1.12," 01 000011000 000"
"67","execution",-2.125,1.01,-0.4," 11 001000000 011"
"68","factory",0.705,1.715,1.66," 10 010000000 000"
"69","fairground",1.73,1.24,2.34," 10 100000000 000"
"70","family_reunion",1.875,1.225,1.855," 01 000000010 000"
"71","festival",2.3,1.88,2.66," 01 100000000 000"
"72","fight",-1.81,1.01,2.225," 01 101000000 001"
"73","fire_drill",0.645,1.525,2.26," 01 100000000 000"
"74","flea_market",0.625,0.025,1.575," 10 010000000 000"
"75","flophouse",-0.6,-0.31,-0.19," 10 100000000 100"
"76","funeral_home",-1.35,-0.38,-2.395," 10 010000000 000"
"77","funeral",-1.83,0.56,-2.495," 01 000000100 000"
"78","gay_bar",-0.29,-0.165,1.85," 10 010000001 001"
"79","ghetto",-1.945,0.055,1.36," 10 100000000 100"
"80","government_office",0.64,1.665,0.675," 10 001100000 000"
"81","graduation_ceremony",2.32,1.92,0.465," 01 000010000 010"
"82","graveyard",-0.72,0.035,-2.815," 10 000000100 100"
"83","greasy_spoon",-0.91,-0.415,-0.085," 10 010000000 000"
"84","grocery_store",1.165,1.035,0.84," 10 110000000 100"
"85","gunfight",-2.82,1.315,2.74," 01 001000000 001"
