"","term","E","P","A","instcodes"
"1","abortion_clinic",-1.38,1.01,-0.44," 10 000001000 000"
"2","adult_bookstore",-0.53,-0.07,0.39," 10 010000001 000"
"3","airplane",1.96,2.54,2.3," 10 110000000 000"
"4","amusement_park",2.78,2.56,3.19," 10 110000000 000"
"5","april_fools_day",0.85,0.4,1.26," 01 100000000 000"
"6","assembly_line",0.46,0.84,2.04," 10 010000000 000"
"7","athletic_club",2,2.05,2.15," 10 100000000 101"
"8","auction",1.02,1.24,2.72," 01 010000000 000"
"9","ball_game",2.22,1.49,2.02," 11 110010000 000"
"10","banquet",2.15,1.44,1.39," 01 100110010 000"
"11","bar",1.49,1.12,2.56," 10 110000000 000"
"12","barber_shop",1.39,-0.15,0.12," 10 110000000 000"
"13","basketball_game",2.52,1.78,2.78," 11 110010000 001"
"14","battlefield",-2.28,2.67,2.84," 10 000100000 001"
"15","beach",3.03,2.1,-0.42," 10 100000000 100"
"16","beauty_salon",1.8,0.62,1.77," 10 110000000 001"
"17","bed",2.88,1.15,-1.65," 10 000001001 101"
"18","bedroom",2.76,1.3,-0.45," 10 000000011 101"
"19","board_room",-0.12,0.97,-0.1," 10 010000000 000"
"20","bowling_alley",0.97,0.65,2.04," 10 010000000 000"
"21","brothel",-2.04,-0.34,1.41," 10 010000001 001"
"22","bull_session",0.27,0.58,1.46," 01 100000000 000"
"23","bus_stop",0.51,-0.49,0.77," 10 100000000 100"
"24","bus",0.52,1.09,1.57," 10 110000000 100"
"25","business_meeting",0.66,1.81,0.47," 11 010000000 000"
"26","cafe",2.18,0.31,0.03," 10 010000000 000"
"27","cafeteria",0.6,1.12,2.03," 10 010011000 100"
"28","camp",1.4,0.75,1.25," 10 100100010 100"
"29","campground",1.74,0.48,-0.1," 10 100000010 000"
"30","campus",2.38,2.49,2.43," 10 000010000 100"
"31","car",2.66,2.6,2.29," 10 100000000 100"
"32","carnival",2.7,1.93,3.4," 11 100000000 000"
"33","casino",-0.02,1.67,2.95," 10 010000000 100"
"34","cathedral",1,1.35,-1.58," 10 000000100 100"
"35","catholic_mass",1.41,1.15,-0.95," 01 000000100 000"
"36","celebration",3.34,2.45,3.31," 01 100100010 000"
"37","cemetery",-0.8,-0.5,-2.68," 10 100000100 100"
"38","chapel",2.64,1.71,-0.59," 10 000000100 100"
"39","christmas",3.13,2.68,2.95," 01 100000110 000"
"40","church",2.63,2.45,0.49," 10 000000100 100"
"41","classroom",1.79,1.41,0.67," 10 000010000 000"
"42","clinic",1.54,1.36,0.8," 10 000001000 001"
"43","cocktail_lounge",1.08,0.92,1.64," 10 010000001 000"
"44","coffee_break",2.11,0.8,-0.14," 01 110000000 100"
"45","coffee_house",1.82,0.38,0.09," 10 010000000 100"
"46","committee_meeting",0.78,1.2,0.59," 01 010111000 000"
