"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.7,0.15,-1.14," 10 000001000 000"
"2","adult_bookstore",-0.87,0.13,0.11," 10 010000001 000"
"3","airplane",1.58,1.64,2.01," 10 110000000 000"
"4","amusement_park",1.91,1.72,2.1," 10 110000000 000"
"5","april_fools_day",1.24,0.43,1.24," 01 100000000 000"
"6","assembly_line",0.77,1.31,1.4," 10 010000000 000"
"7","athletic_club",1.81,1.52,1.86," 10 100000000 101"
"8","auction",0.89,1.14,1.9," 01 010000000 000"
"9","ball_game",2.24,2.29,1.77," 11 110010000 000"
"10","banquet",1.47,1.32,0.86," 01 100110010 000"
"11","bar",1.57,1.18,1.85," 10 110000000 000"
"12","barber_shop",0.58,-0.42,-0.32," 10 110000000 000"
"13","basketball_game",2.2,1.82,1.95," 11 110010000 001"
"14","battlefield",-1.18,1.74,2.2," 10 000100000 001"
"15","beach",2.96,2.09,0.95," 10 100000000 100"
"16","beauty_salon",-0.05,-0.2,1.05," 10 110000000 001"
"17","bed",2.68,1.37,-0.52," 10 000001001 101"
"18","bedroom",2.29,1.22,-0.24," 10 000000011 101"
"19","board_room",0.38,1.66,0.03," 10 010000000 000"
"20","bowling_alley",1.43,0.88,2.22," 10 010000000 000"
"21","brothel",-0.98,0.48,2.02," 10 010000001 001"
"22","bull_session",1.32,0.62,1.22," 01 100000000 000"
"23","bus_stop",0.25,-0.04,0.64," 10 100000000 100"
"24","bus",0.61,1.43,1.47," 10 110000000 100"
"25","business_meeting",0.93,0.82,0.64," 11 010000000 000"
"26","cafe",1.6,0.17,0.34," 10 010000000 000"
"27","cafeteria",0.44,0.38,1.02," 10 010011000 100"
"28","camp",1.79,1.13,1.21," 10 100100010 100"
"29","campground",1.24,-0.27,0.24," 10 100000010 000"
"30","campus",2.24,2.02,1.97," 10 000010000 100"
"31","car",2.39,1.7,2.05," 10 100000000 100"
"32","carnival",1.47,1.06,2.27," 11 100000000 000"
"33","casino",1.1,1.44,2.19," 10 010000000 100"
"34","cathedral",1.89,2.14,-1.56," 10 000000100 100"
"35","catholic_mass",0.62,0.42,-0.38," 01 000000100 000"
"36","celebration",2.49,2.33,2.48," 01 100100010 000"
"37","cemetery",-0.16,-0.86,-2.47," 10 100000100 100"
"38","chapel",1.65,1.76,-1.25," 10 000000100 100"
"39","christmas",2.71,2.18,1.86," 01 100000110 000"
"40","church",1.65,2.24,0.11," 10 000000100 100"
"41","classroom",1.45,1.3,1.29," 10 000010000 000"
"42","clinic",0.68,0.83,0.19," 10 000001000 001"
"43","cocktail_lounge",1.74,0.74,1.72," 10 010000001 000"
"44","coffee_break",1.07,0.02,0.34," 01 110000000 100"
"45","coffee_house",1.56,-0.55,-0.92," 10 010000000 100"
"46","committee_meeting",0.74,0.99,-0.09," 01 010111000 000"
"47","concert",2.33,1.9,2.55," 11 100010000 000"
"48","conference_room",0.04,0.7,0.38," 10 011111000 000"
"49","cook_out",2.62,1.08,1.44," 01 100000010 000"
"50","country_club",1.25,0.91,-0.6," 10 010000000 000"
"51","courtroom",0.16,1.95,0.51," 10 001000000 000"
"52","crowd",0.92,1.56,2.21," 01 100000000 000"
"53","dance",1.49,0.97,1.21," 01 100000001 001"
"54","daycare_center",1.76,0.51,1.57," 10 010000010 001"
"55","debate",0.6,1.17,1.44," 01 000110000 000"
"56","desert_(dry_place)",-0.36,0.16,-1.21," 10 100000000 100"
"57","dining_room",1.46,0.34,-0.03," 10 000000010 100"
"58","disco",0.26,0.3,1.7," 10 010000001 000"
"59","doctor's_office",0.06,0.65,-0.85," 10 000001000 000"
"60","dorm_room",-0.55,-0.67,0.25," 10 000010000 101"
"61","drive_in_movie",1.71,0.95,0.83," 10 010000001 001"
"62","easter",2.01,1.66,1.65," 01 100000100 000"
"63","elevator",1.09,0.76,-0.28," 10 100000000 100"
"64","emergency_room",0.28,1.58,2.34," 10 000001000 001"
"65","encounter_group",0.66,0.41,0.33," 01 000001000 000"
"66","examination",-0.22,0.77,-0.87," 01 000011000 000"
"67","execution",-1.58,1.1,0.03," 11 001000000 011"
"68","factory",0.84,1.32,1.15," 10 010000000 000"
"69","fairground",1.58,1.39,2.07," 10 100000000 000"
"70","family_reunion",1.69,1.07,1.91," 01 000000010 000"
"71","festival",2.1,1.8,2.3," 01 100000000 000"
"72","fight",-1.28,1.29,1.7," 01 101000000 001"
"73","fire_drill",0.69,1.2,1.83," 01 100000000 000"
"74","flea_market",0.42,-0.21,1.35," 10 010000000 000"
"75","flophouse",-0.51,-0.15,-0.14," 10 100000000 100"
"76","funeral_home",-1.2,-1.14,-2.41," 10 010000000 000"
"77","funeral",-1.76,0.22,-2.47," 01 000000100 000"
"78","gay_bar",-0.66,-0.14,1.35," 10 010000001 001"
"79","ghetto",-1.78,-0.3,0.77," 10 100000000 100"
"80","government_office",0.61,1.19,0.12," 10 001100000 000"
"81","graduation_ceremony",2.61,1.67,0.77," 01 000010000 010"
