"","term","E","P","A"
"1","merging_voluntarily_into_one_nation_state",2.3,1.9,1.3
"2","forming_one_nation_with_one_legally_binding_government",2.1,1.9,1.1
"3","fighting_awar_jointly",0.5,1.45,1.3
"4","establishing_ajoint_military_command_or_alliance",0.9,1.45,0.65
"5","conducting_joint_military_maneuvers",1,1.2,0.5
"6","establishing_an_economic_common_market",1.65,1.6,0.45
"7","joining_or_organizing_international_alliances",1.25,1.45,0.3
"8","establishing_joint_program_to_raise_the_global_quality_of_life",2.8,1.65,0.75
"9","selling_nuclear_power_plants_and_material",-0.45,1.85,0.6
"10","providing_air_naval_or_land_facilities_or_bases",0.65,0.7,-0.05
"11","giving_military_technical_or_advisory_assistance",0.95,1.2,0.5
"12","concluding_military_agreements",0.95,1.1,0.05
"13","granting_military_aid",0.6,1.15,0.55
"14","training_military_personnel",0.4,0.95,0.5
"15","intervening_with_military_support_by_request",0.75,1.45,1.2
"16","making_economic_loans_grants",2.1,1.7,0.4
"17","agreeing_to_economic_pacts",1.85,1.45,-0.1
"18","giving_industrial_cultural_educational_assistance",2.35,1.3,0.3
"19","conducting_trade_agreements",2,1.1,0.45
"20","granting_most_favored_nation_status",1.9,1.4,0.35
"21","establishing_common_transportation_communications",2.15,1.05,0.85
"22","selling_industrial_technological_surplus_supplies",1.25,0.85,0.15
"23","providing_technical_expertise",1.75,1.4,0.35
"24","ceasing_economic_restrictions",1.4,1.2,0
"25","repaying_debts",2.15,1.1,-0.35
"26","selling_nonmilitary_goods",1.6,0.85,-0.5
"27","giving_disaster_relief",2.4,1.5,0.25
"28","sharing_highly_advanced_technology",2,1.55,0.9
"29","joint_programs_plans_to_initiate_pursue_disarmament",2.2,1.65,0.25
"30","starting_diplomatic_relations",2.1,1.35,0.55
"31","establishing_technological_and_scientific_communications",1.9,1.1,0.35
"32","proposing_or_offering_economic_or_military_aid",1.05,1.3,0.1
"33","recognizing_governments",1.5,0.95,0
"34","opening_borders",1.1,1.3,0.5
"35","conducting_or_elevating_friendship_agreements",1.8,0.8,-0.05
"36","conducting_cultural_academic_agreements_exchanges",2.1,1.05,-0.05
"37","official_support_of_policy",1.5,0.65,0.3
"38","raising_adelegation_to_an_embassy",1.8,0.7,0.3
"39","reaffirming_friendship",1.85,0.9,0.35
"40","apologizing_for_unfavorable_statements_and_actions",1.45,0.25,0.15
"41","allowing_press_correspondents_entry",1.8,0.85,0.5
"42","thanking_for_aid",1.85,0.05,0.15
"43","resuming_broken_diplomatic_or_other_relations",1.9,1,0.3
"44","compensating_for_nationalized_confiscated_properties",-0.2,0.1,-0.25
"45","meeting_of_high_officials",1.65,0.8,0.45
"46","conferring_on_problems_of_mutual_interest",1.85,0.9,0.15
"47","visits_by_lower_officials_talks",1.3,0.2,-0.35
"48","issuing_joint_communiques",0.85,0.2,0.05
"49","appointing_ambassadors",1.3,0.65,0
"50","announcing_acease_fire",2,0.95,0.4
"51","nongovernmental_exchanges_and_visitors",1.1,0.3,-0.05
"52","proposing_talks",1.6,0.75,0.2
"53","public_non_governmental_support_of_regime",0.85,0.2,0.5
