"","term","E","P","A"
"1","merging_voluntarily_into_one_nation_state",2.2,2.2,0.7
"2","forming_one_nation_with_one_legally_binding_government",2.3,2.3,0.7
"3","fighting_awar_jointly",0.9,1.4,0.7
"4","establishing_ajoint_military_command_or_alliance",1,1.8,0.4
"5","conducting_joint_military_maneuvers",1.4,1.3,0
"6","establishing_an_economic_common_market",1.1,2.2,-0.1
"7","joining_or_organizing_international_alliances",1.5,1.6,0
"8","establishing_joint_program_to_raise_the_global_quality_of_life",2.8,2,0.6
"9","selling_nuclear_power_plants_and_material",-0.6,2.1,0.2
"10","providing_air_naval_or_land_facilities_or_bases",0.6,1.2,-0.3
"11","giving_military_technical_or_advisory_assistance",0.9,1.1,0.1
"12","concluding_military_agreements",1.2,1.4,-0.4
"13","granting_military_aid",0.6,1.4,0.2
"14","training_military_personnel",0.5,1.1,0.4
"15","intervening_with_military_support_by_request",0.8,1.4,0.9
"16","making_economic_loans_grants",2.3,1.8,0.3
"17","agreeing_to_economic_pacts",1.9,1.6,-0.8
"18","giving_industrial_cultural_educational_assistance",2.4,1.3,-0.1
"19","conducting_trade_agreements",2.2,1.3,0.2
"20","granting_most_favored_nation_status",2.1,1.5,0.4
"21","establishing_common_transportation_communications",2.3,1.3,0.7
"22","selling_industrial_technological_surplus_supplies",1.5,1,0
"23","providing_technical_expertise",1.7,1.4,0.1
"24","ceasing_economic_restrictions",1.3,1.4,-0.3
"25","repaying_debts",2.3,1.3,-1
"26","selling_nonmilitary_goods",1.8,1.1,-0.7
"27","giving_disaster_relief",2.6,1.9,-0.2
"28","sharing_highly_advanced_technology",2.1,1.5,0.8
"29","joint_programs_plans_to_initiate_pursue_disarmament",2.3,1.9,-0.5
"30","starting_diplomatic_relations",2.1,1.7,0.3
"31","establishing_technological_and_scientific_communications",1.8,1.5,0.3
"32","proposing_or_offering_economic_or_military_aid",1,1.3,-0.2
"33","recognizing_governments",1.5,1.3,-0.3
"34","opening_borders",1.6,1.6,0.2
"35","conducting_or_elevating_friendship_agreements",1.9,0.9,-0.4
"36","conducting_cultural_academic_agreements_exchanges",2.2,1.2,-0.4
"37","official_support_of_policy",1.6,0.6,-0.1
"38","raising_adelegation_to_an_embassy",1.8,0.8,-0.3
"39","reaffirming_friendship",2.1,1.2,0
"40","apologizing_for_unfavorable_statements_and_actions",1.5,0.3,0
"41","allowing_press_correspondents_entry",1.8,1.1,0.3
"42","thanking_for_aid",1.9,0.2,0
"43","resuming_broken_diplomatic_or_other_relations",2.1,1.5,-0.2
"44","compensating_for_nationalized_confiscated_properties",-0.3,0.1,-0.6
"45","meeting_of_high_officials",1.9,1.1,0.2
"46","conferring_on_problems_of_mutual_interest",2,1,-0.2
"47","visits_by_lower_officials_talks",1.4,0.3,-0.6
"48","issuing_joint_communiques",0.8,0.1,-0.4
"49","appointing_ambassadors",1.5,0.9,-0.7
"50","announcing_acease_fire",2.1,1.2,0
"51","nongovernmental_exchanges_and_visitors",1.2,0.3,-0.4
"52","proposing_talks",1.6,1,-0.1
"53","public_non_governmental_support_of_regime",1.1,0.4,0.4
"54","exchanging_prisoners_of_war",1.8,0.8,-0.1
"55","asking_for_support_of_policy",1,0.1,-0.6
"56","requesting_change_of_policy",1.4,0.9,0
"57","asking_for_help_against_athird_party",0.6,0.4,-0.5
"58","official_verbal_support_of_goals_values_regime",0.3,0.7,0.1
"59","rhetorical_policy_statements",-0.1,-0.4,0.6
"60","non_consequential_news_items",-0.2,-0.8,-0.1
"61","statements_of_indifference",-0.5,-0.6,-0.3
"62","no_comment_statements",-0.3,0.1,0.1
"63","low_key_objection_to_policies_or_behavior",-0.9,-0.6,0.1
"64","communicating_dissatisfaction_through_third_party",-0.9,-0.6,-0.1
"65","recalling_ambassador_for_emergency_consultations",-0.2,0.4,0.6
"66","warning_of_retaliation_for_acts",0.01,1.1,0.5
"67","failing_to_reach_an_agreement",-1.2,-0.2,-0.3
"68","refusing_aprotest_note",-1.1,0.4,0.2
"69","denying_accusations",-0.4,-0.5,0.2
"70","objecting_to_explanations_of_goals_positions_etc",-0.9,0.1,0.3
"71","making_threatening_demands_and_accusations",-1.4,0,1
"72","condemning_strongly_specific_actions_and_policies",-0.4,0.8,1
"73","granting_sanctuary_to_opposition_leaders",-0.2,0.7,0
"74","denouncing_leaders_system_or_ideology",-0.8,0.3,1.5
"75","postponing_visits_by_heads_of_state",1.1,0.4,0
"76","refusing_participation_in_meetings_or_summits",-1.6,0.1,0.4
"77","leveling_strong_propaganda_attacks",-1.6,0.6,1.3
"78","denying_support",-1,0.4,0.4
"79","blocking_or_vetoing_policy_or_opposition",-0.8,1,0
"80","increasing_troop_movements",-0.9,1.3,0.7
"81","boycotts",-1,1,0.3
"82","imposing_economic_sanctions",-0.5,1.1,-0.2
"83","hindering_movement_through_land_waterways_or_air",-1.6,0.7,0.4
"84","embargoing_goods",-1.3,0.9,-0.6
"85","refusing_mutual_trade_rights",-1.6,0.7,0.4
"86","closing_borders_and_blocking_free_communications",-1.8,1.2,1.2
"87","manipulating_trade_currency_to_cause_economic_problems",-2,2,0.1
"88","halting_aid",-1.3,1.1,0.5
"89","mobilizing_hostile_demonstrations_at_target_country",-1.4,0.6,1.6
"90","refusing_to_support_foreign_military_allies",-1.8,0.2,0.3
"91","refusing_visas_to_other_national",-1,0.6,0.3
"92","restricting_movement_of_other_nationals_in_country",-1.5,0.6,0.1
"93","expelling_or_arresting_nationals_or_press",-1.8,0.2,1.4
"94","spying_on_foreign_government_officials",-1.8,0.6,-0.2
"95","terminating_major_agreements",-1.5,1.3,0.3
"96","inciting_riots_and_rebellions",-1.5,0.8,1.7
"97","training_and_financially_aiding_rebellions",-1.3,1,1.1
"98","encouraging_guerrilla_activity",-1.7,0.3,1
"99","limited_and_sporadic_terrorist_activities",-1.8,0.3,1.6
"100","giving_sanctuary_to_terrorists",-1.5,0.4,0.9
"101","breaking_diplomatic_relations",-1.5,0.7,0.7
"102","expelling_military_advisors",-0.7,0.6,1.5
"103","nationalizing_companies_without_compensation",-2.1,1,1.7
"104","attacking_diplomats_or_embassies",-2.1,0.1,1.5
"105","limited_air_sea_or_border_skirmishes",-1.6,0.8,0.9
"106","border_police_acts",-0.7,0.6,0.5
"107","annexing_territory_already_occupied",-1.9,1.4,0.5
"108","seizing_material_of_target_country",-1.1,1.8,1.1
"109","imposing_blockades",-1.2,1.7,0.5
"110","kidnapping_or_torturing_foreign_citizens_or_prisoners",-3.2,0.2,0.8
"111","material_support_subversive_activities_in_target_country",0.4,1.7,0.6
"112","capturing_soldiers_in_battle",0.4,1.7,0.6
"113","intermittent_shelling_or_clashes",-1.8,0.7,1
"114","sporadic_bombing_of_military_industrial_area",-1.5,1.1,1.5
"115","small_scale_interception_or_sinking_of_ships",-2,0.7,1
"116","mining_of_territorial_waters",-1.7,1.3,0.7
"117","assassinating_leader_of_target_country",-2.5,1,2
"118","use_of_atomic_or_nuclear_weapons",-2.9,2.2,2.5
"119","full_scale_air_naval_or_land_battles",-2.7,2.2,2.3
