"","term","E","P","A"
"1","merging_voluntarily_into_one_nation_state",2.4,1.6,1.9
"2","forming_one_nation_with_one_legally_binding_government",1.9,1.5,1.5
"3","fighting_awar_jointly",0.1,1.5,1.9
"4","establishing_ajoint_military_command_or_alliance",0.8,1.1,0.9
"5","conducting_joint_military_maneuvers",0.6,1.1,1
"6","establishing_an_economic_common_market",2.2,1,1
"7","joining_or_organizing_international_alliances",1,1.3,0.6
"8","establishing_joint_program_to_raise_the_global_quality_of_life",2.8,1.3,0.9
"9","selling_nuclear_power_plants_and_material",-0.3,1.6,1
"10","providing_air_naval_or_land_facilities_or_bases",0.7,0.2,0.2
"11","giving_military_technical_or_advisory_assistance",1,1.3,0.9
"12","concluding_military_agreements",0.7,0.8,0.5
"13","granting_military_aid",0.6,0.9,0.9
"14","training_military_personnel",0.3,0.8,0.6
"15","intervening_with_military_support_by_request",0.7,1.5,1.5
"16","making_economic_loans_grants",1.9,1.6,0.5
"17","agreeing_to_economic_pacts",1.8,1.3,0.6
"18","giving_industrial_cultural_educational_assistance",2.3,1.3,0.7
"19","conducting_trade_agreements",1.8,0.9,0.7
"20","granting_most_favored_nation_status",1.7,1.3,0.3
"21","establishing_common_transportation_communications",2,0.8,1
"22","selling_industrial_technological_surplus_supplies",1,0.7,0.3
"23","providing_technical_expertise",1.8,1.4,0.6
"24","ceasing_economic_restrictions",1.5,1,0.3
"25","repaying_debts",2,0.9,0.3
"26","selling_nonmilitary_goods",1.4,0.6,-0.3
"27","giving_disaster_relief",2.2,1.1,0.7
"28","sharing_highly_advanced_technology",1.9,1.6,1
"29","joint_programs_plans_to_initiate_pursue_disarmament",2.1,1.4,1
"30","starting_diplomatic_relations",2.1,1,0.8
"31","establishing_technological_and_scientific_communications",2,0.7,0.4
"32","proposing_or_offering_economic_or_military_aid",1.1,1.3,0.4
"33","recognizing_governments",1.5,0.6,0.3
"34","opening_borders",0.6,1,0.8
"35","conducting_or_elevating_friendship_agreements",1.7,0.7,0.3
"36","conducting_cultural_academic_agreements_exchanges",2,0.9,0.3
"37","official_support_of_policy",1.4,0.7,0.7
"38","raising_adelegation_to_an_embassy",1.8,0.6,0.9
"39","reaffirming_friendship",1.6,0.6,0.7
"40","apologizing_for_unfavorable_statements_and_actions",1.4,0.2,0.3
"41","allowing_press_correspondents_entry",1.8,0.6,0.7
"42","thanking_for_aid",1.8,-0.1,0.3
"43","resuming_broken_diplomatic_or_other_relations",1.7,0.5,0.8
"44","compensating_for_nationalized_confiscated_properties",-0.1,0.1,0.1
"45","meeting_of_high_officials",1.4,0.5,0.7
"46","conferring_on_problems_of_mutual_interest",1.7,0.8,0.5
"47","visits_by_lower_officials_talks",1.2,0.1,-0.1
"48","issuing_joint_communiques",0.9,0.3,0.5
"49","appointing_ambassadors",1.1,0.4,0.7
"50","announcing_acease_fire",1.9,0.7,0.8
"51","nongovernmental_exchanges_and_visitors",1,0.3,0.3
"52","proposing_talks",1.6,0.5,0.5
"53","public_non_governmental_support_of_regime",0.6,0,0.6
"54","exchanging_prisoners_of_war",1.8,0.5,0.5
"55","asking_for_support_of_policy",0.5,-0.3,0
"56","requesting_change_of_policy",1.3,0.7,0.3
"57","asking_for_help_against_athird_party",0,0,-0.2
"58","official_verbal_support_of_goals_values_regime",0,0.6,0.2
"59","rhetorical_policy_statements",-0.1,-0.3,0.6
"60","non_consequential_news_items",-0.1,-0.4,-0.1
"61","statements_of_indifference",-0.2,-0.5,-0.3
"62","no_comment_statements",-0.1,0.1,0.1
"63","low_key_objection_to_policies_or_behavior",-0.3,-0.2,0.3
"64","communicating_dissatisfaction_through_third_party",-0.3,-0.2,0.3
"65","recalling_ambassador_for_emergency_consultations",-0.3,0.5,0.8
"66","warning_of_retaliation_for_acts",-0.8,1.3,1.3
"67","failing_to_reach_an_agreement",-1.2,-0.5,0.5
"68","refusing_aprotest_note",-0.6,0.2,0.6
"69","denying_accusations",-0.1,-0.1,0.4
"70","objecting_to_explanations_of_goals_positions_etc",-1,-0.3,0.5
"71","making_threatening_demands_and_accusations",-1.2,0.6,0.9
"72","condemning_strongly_specific_actions_and_policies",-0.6,0.3,1.1
"73","granting_sanctuary_to_opposition_leaders",0.6,0.7,0.3
"74","denouncing_leaders_system_or_ideology",-1,0,1.4
"75","postponing_visits_by_heads_of_state",-0.8,0.3,-0.3
"76","refusing_participation_in_meetings_or_summits",-1.2,0.4,0.5
"77","leveling_strong_propaganda_attacks",-1,0.7,1.3
"78","denying_support",-0.8,0.5,0.5
"79","blocking_or_vetoing_policy_or_opposition",-0.7,1,0.6
"80","increasing_troop_movements",-1.2,1.4,1.6
"81","boycotts",-1,1,0.7
"82","imposing_economic_sanctions",-1,0.5,0.5
"83","hindering_movement_through_land_waterways_or_air",-1.4,0.5,1.2
"84","embargoing_goods",-2.1,0.9,0.4
"85","refusing_mutual_trade_rights",-1.4,0.4,0.5
"86","closing_borders_and_blocking_free_communications",-1.9,0.8,1.2
"87","manipulating_trade_currency_to_cause_economic_problems",-2,1.3,1.2
"88","halting_aid",-1,1,0.8
"89","mobilizing_hostile_demonstrations_at_target_country",-0.7,0.8,1
"90","refusing_to_support_foreign_military_allies",-0.8,0.4,0.6
"91","refusing_visas_to_other_national",-1.1,0,0.2
"92","restricting_movement_of_other_nationals_in_country",-1.4,0.7,0.6
"93","expelling_or_arresting_nationals_or_press",-1.9,0.6,1.2
"94","spying_on_foreign_government_officials",-1.2,0.6,0.6
"95","terminating_major_agreements",-1.2,0.3,0.7
"96","inciting_riots_and_rebellions",-1.6,1,1.3
"97","training_and_financially_aiding_rebellions",-0.9,1.1,1.5
"98","encouraging_guerrilla_activity",-0.9,1,1.2
"99","limited_and_sporadic_terrorist_activities",-2,0.6,1.2
"100","giving_sanctuary_to_terrorists",-1.7,0.8,0.8
"101","breaking_diplomatic_relations",-1.3,0.5,1.3
"102","expelling_military_advisors",-0.7,0.6,1.6
"103","nationalizing_companies_without_compensation",-1.5,1.1,1.5
"104","attacking_diplomats_or_embassies",-2.1,0.4,1.4
"105","limited_air_sea_or_border_skirmishes",-1.3,1.3,1.5
"106","border_police_acts",-0.9,0.7,1.2
"107","annexing_territory_already_occupied",-1.8,1.6,1.8
"108","seizing_material_of_target_country",-1,1.5,1.2
"109","imposing_blockades",-1.4,1.6,1.6
"110","kidnapping_or_torturing_foreign_citizens_or_prisoners",-2,0.5,1.4
"111","material_support_subversive_activities_in_target_country",-1.3,1,1.5
"112","capturing_soldiers_in_battle",-0.4,1.1,1.1
"113","intermittent_shelling_or_clashes",-1.3,0.6,1.4
"114","sporadic_bombing_of_military_industrial_area",-2.2,1.6,1.9
"115","small_scale_interception_or_sinking_of_ships",-1.6,0.8,1.4
"116","mining_of_territorial_waters",-1.6,1.2,1.1
"117","assassinating_leader_of_target_country",-2.5,0.8,2
"118","use_of_atomic_or_nuclear_weapons",-3.4,2.7,2.7
"119","full_scale_air_naval_or_land_battles",-2.6,2.3,2.7
"120","invasion_of_territory",-2.6,2.4,2.7
"121","massive_bombing_of_civilian_areas",-3.3,2,2
"122","large_scale_bombing_of_military_installations",-1.4,2.2,2.2
"123","occupation_of_territory",-2.3,1.7,1.8
"124","chemical_or_biological_warfare",-3.1,1.6,2.4
"125","conduct_campaigns_of_genocide",-3.4,2,2.2
"126","guarantee_energy_food_and_basic_resources_to_all_parts_of_society",2.2,1.4,0.8
"127","investing_substantially_in_reducing_illiteracy",1.9,1.3,0.9
"128","starting_social_welfare_programs",1.7,1.1,0.8
"129","establishing_structures_to_protect_the_individual_from_the_state",2.4,1.7,1
"130","coming_to_the_aid_of_disadvantaged_ethnic_or_poverty_stricken_groups",2.1,1.6,0.7
"131","legislating_suffrage_regardless_of_sex_race_or_origin",2.3,1.8,0.7
"132","reducing_the_rate_of_infant_or_child_mortality",2.4,1.4,1
"133","writing_social_security_labor_and_retirement_insurance_laws",1.9,1.3,0.4
"134","cooperation_to_protect_freedom_and_the_good_life",2.4,0.7,0.7
"135","enacting_laws_to_protect_rights_of_minorities",2,1.6,1
"136","lifting_of_total_censorship_or_curfew",2.3,1.5,1
"137","upholding_constitutional_rights_by_higher_courts",2.3,1.8,0.6
"138","holding_free_elections_of_high_officials",2.5,1.5,0.7
"139","reform_the_judicial_constitutional_educational_etc.systems",1.6,1,1
"140","restore_normal_constitutional_life",2.5,0.8,1
"141","reinstitute_voluntary_assemble",1.9,1.2,0.7
"142","return_revoked_citizenships",1.6,0.8,0.7
"143","remove_restrictions_against_voting",1.7,1.4,0.7
"144","allow_media_criticism_of_government",2.2,1.3,0.6
"145","release_political_prisoners",1.9,1.2,0.8
"146","granting_amnesty_to_leaders_and_exiled_nationals",1.6,1,0.8
"147","remove_partial_political_censorship_and_curfew",1.6,1,0.7
"148","reopen_public_facilities_and_permit_free_trade",2,1.5,0.7
"149","open_universities_and_schools_that_were_closed_for_political_unrest",2,1.2,0.7
"150","initiate_agrarian_reform",2.1,1.3,1
"151","grant_laborers_share_in_corporate_decision_making",1.9,1,1.1
"152","alter_taxes_making_them_more_equitable",1.3,1.3,0.6
"153","starting_new_educational_institutions",2.2,1.1,1.2
"154","improving_the_income_distribution_of_individuals_and_corporations",1.9,1.4,0.7
"155","release_frozen_accounts_of_opposition",1.1,1.2,0.4
"156","return_expropriated_property",1.9,1,0.7
"157","domestic_cease_fire_from_unions",1.5,0.6,0.8
"158","participating_in_political_economic_and_cultural_life_of_the_nation",1.9,0.9,0.5
"159","the_surrendering_of_rebels",0.3,-0.2,0.2
"160","ending_hunger_strikes",0.8,0.1,-0.1
"161","public_showing_support_of_government",1.6,1.2,0.6
"162","political_support_for_legislation_to_reduce_structural_inequalities",2,1,0.4
"163","public_joins_in_support_of_governments_external_policies",1.5,1.1,0.5
"164","improving_the_level_of_technology",1.2,0.6,1.6
"165","constructing_port_facilities_and_transportation_modes",1.8,1,1
"166","adopting_policies_facilitating_free_movement_of_goods_and_services",1.8,1.2,0.6
"167","enacting_laws_to_protect_the_environment",2.5,1.5,0.8
"168","requesting_public_support_for_domestic_and_foreign_policy",1.1,0,-0.1
"169","agreeing_to_confer_to_study_social_welfare_legislation",1.4,0.3,0.4
"170","exploring_means_to_improve_economic_and_industrial_conditions_in_country",2,1.1,0.3
"171","agreeing_to_study_complaints_of_public",1.7,0.7,-0.2
"172","government_and_opposition_talk_about_mutual_public_concerns",1.9,0,0
