"","term","E","P","A","instcodes"
"1","abandon",-2,0.95,0.33," 01 111111110 000"
"2","abuse",-2.715,2.1,2.205," 10 101000011 100"
"3","acclaim",1.62,1.01,0.64," 10 000100000 010"
"4","accommodate",2.375,2.06,-1.49," 10 111111111 000"
"5","accuse",-0.195,0.89,1.04," 10 111111111 010"
"6","act_as_guarantor_for",0.5775,1.23,-0.7," 10 001000000 010"
"7","adjudicate",0.18,2.425,-1.75," 10 001000000 010"
"8","adjust_one's_opinion_for",0.775,0.54,-0.25," 10 100000000 000"
"9","admire",0.52,0.23,-1.3," 01 111111111 100"
"10","admonish",1.2,1.74,-2.1," 10 011111111 000"
"11","adopt",0.74,1.24,-1.05," 10 000000010 010"
"12","adopt_(girl_baby)",0.755,0.97,-0.85," 10 000000010 010"
"13","adore",1.895,0.84,-1.04," 01 000000111 000"
"14","advise",1.495,1.505,-0.49," 10 011111110 000"
"15","affront",-2.735,0.015,1.02," 01 111111111 000"
"16","agree_with",0.9,0.52,0.05," 10 111111111 000"
"17","aid",2.27,1.955,-0.5," 10 111111111 000"
"18","amuse",1.28,0.95,2.055," 11 111111111 100"
"19","analyze",0.24,0.73,-1.8," 10 011111110 100"
"20","anger",-1.715,0.54,1.69," 01 111111111 000"
"21","annoy",-1.78,0.14,2.615," 01 111111111 000"
"22","answer",0.68,0.3,-0.15," 10 111111111 000"
"23","antagonize",-1.68,0.74,1.34," 01 111111111 000"
"24","apologize_to",0.88,-0.4,-0.85," 10 111111111 000"
"25","appeal_to",-0.14,0.205,0.95," 10 111111111 000"
"26","applaud",1.44,0.78,1.6," 10 111111111 010"
"27","appoint",0.975,0.565,0.605," 10 000100000 010"
"28","appreciate",1.58,0.97,-0.4," 01 111111101 000"
"29","apprehend",-0.28,2.16,0.56," 10 001000000 001"
"30","approach",0.385,0.525,-0.015," 10 111111111 010"
"31","argue_with",1.585,1.29,0.505," 10 111111111 000"
"32","arrest",-0.26,1.97,1.71," 10 001000000 001"
"33","ask",0.8,-0.05,0," 10 111111111 000"
"34","assail",-1.07,0.87,2.385," 10 001100110 001"
"35","assist",2.155,2.09,-0.8," 10 111111111 000"
"36","attack",-2.465,2.1,2.235," 10 001100010 001"
"37","attend_to",1.24,0.35,-1.8," 10 100000001 000"
"38","authorize",0.705,2.285,-0.93," 10 011111100 010"
"39","avoid",-1.15,-0.55,-0.85," 01 111111110 010"
"40","awaken",0.34,0.66,0.2," 10 100000000 000"
"41","backstab",-2.675,0.68,0.42," 01 011110000 010"
"42","ban",-1.105,2.02,-0.085," 10 010100110 010"
"43","bankrupt",-2.12,1.78,0.225," 10 010000000 010"
"44","be_in_love_with",2.015,1.75,1.52," 01 000000011 001"
"45","be_kind_to",1.56,0.73,-0.3," 01 100000000 000"
"46","be_partial_to",-1.6,0.44,0.49," 01 100010010 010"
"47","be_sarcastic_toward",-1.64,-0.3,0.57," 10 100010011 000"
"48","be_toady_to",-1.7,-1.9,1.69," 10 010110100 000"
"49","beat_up",-2.195,1.54,2.075," 10 001000010 001"
"50","beckon",0.275,0.4,-0.2," 10 100000011 010"
"51","beg",-0.19,-1.65,0.66," 10 111111111 000"
"52","believe",1.935,1.52,-1.85," 01 111111111 000"
"53","bestow_something_to",0.38,-0.15,-0.1," 10 001000010 000"
"54","bewilder",-1.16,-0.4,0.67," 01 111111111 000"
"55","bicker_with",-0.48,0.86,2.255," 10 111111111 000"
"56","blackmail",-2.045,-1,1.56," 10 011100000 010"
"57","blame",-1.19,0.93,1.5," 10 111111111 010"
"58","bless",2.095,1,0.58," 10 000000100 000"
"59","bluff",-1.94,-0.11,1.435," 01 111100010 000"
"60","borrow_money_from",-1.385,-0.9,0.545," 10 010000000 000"
"61","bow_to",1.38,0.105,-0.75," 10 010000100 000"
"62","break_up_with",-1.045,0.025,-0.355," 01 000000001 000"
"63","breastfeed",1.68,1.51,-1.95," 10 000000010 001"
"64","bribe",-1.84,1.9,-0.8," 10 011100000 110"
"65","brush_off",-0.94,0.63,0.94," 01 100100001 010"
"66","brutalize",-3.105,2.11,1.57," 10 101100011 001"
"67","bully",-2.375,1.43,1.79," 10 100100011 001"
"68","butter_up",-1.02,-0.95,1.55," 01 111111111 000"
"69","calm",1.64,1.67,-2.1," 01 111111111 100"
"70","captivate",0.715,2.075,0.54," 01 110111111 000"
"71","care_for",2.19,1.57,-1.85," 10 000001000 101"
