"","term","E","P","A","instcodes"
"1","abandon",-2,0.9,0.3," 01 111111110 000"
"2","abuse",-2.8,2.4,2.1," 10 101000011 100"
"3","acclaim",1.64,0.9,0.2," 10 000100000 010"
"4","accommodate",2.74,2.27,-1.6," 10 111111111 000"
"5","accuse",-0.03,1.2,1.16," 10 111111111 010"
"6","act_as_guarantor_for",1.01,1.7,-1," 10 001000000 010"
"7","adjudicate",0.48,2.7,-2," 10 001000000 010"
"8","adjust_one's_opinion_for",1.03,0.5,0," 10 100000000 000"
"9","admire",0.84,0.1,-1," 01 111111111 100"
"10","admonish",1.04,1.8,-2," 10 011111111 000"
"11","adopt",0.88,1.4,-1," 10 000000010 010"
"12","adopt_(girl_baby)",0.74,1.2,-1," 10 000000010 010"
"13","adore",2.13,0.8,-1," 01 000000111 000"
"14","advise",1.61,1.8,-1," 10 011111110 000"
"15","affront",-3.2,-0.02,1.01," 01 111111111 000"
"16","agree_with",0.6,0.4,0.1," 10 111111111 000"
"17","aid",2.07,1.8,-1," 10 111111111 000"
"18","amuse",1.32,1.1,2," 11 111111111 100"
"19","analyze",0,0.7,-2," 10 011111110 100"
"20","anger",-1.4,0.6,1.5," 01 111111111 000"
"21","annoy",-1.6,0.2,2.6," 01 111111111 000"
"22","answer",0.52,0.2,0," 10 111111111 000"
"23","antagonize",-1.4,0.8,1.2," 01 111111111 000"
"24","apologize_to",1.08,0,-1," 10 111111111 000"
"25","appeal_to",-0.1,0.3,0.9," 10 111111111 000"
"26","applaud",1.4,1,1.4," 10 111111111 010"
"27","appoint",1.25,0.8,1," 10 000100000 010"
"28","appreciate",1.28,0.9,0," 01 111111101 000"
"29","apprehend",-0.2,2.4,0.4," 10 001000000 001"
"30","approach",0.33,0.39,0.21," 10 111111111 010"
"31","argue_with",1.51,1.23,0.42," 10 111111111 000"
"32","arrest",0.12,2.1,1.5," 10 001000000 001"
"33","ask",0.76,0,0," 10 111111111 000"
"34","assail",-0.9,0.5,2.3," 10 001100110 001"
"35","assist",2.35,2.3,-1," 10 111111111 000"
"36","attack",-2.7,2.4,2," 10 001100010 001"
"37","attend_to",1.44,0.9,-2," 10 100000001 000"
"38","authorize",0.99,2.59,-1.2," 10 011111100 010"
"39","avoid",-1.3,0,-1," 01 111111110 010"
"40","awaken",0.31,0.55,0.15," 10 100000000 000"
"41","backstab",-2.6,1,0.2," 01 011110000 010"
"42","ban",-1.26,2.32,-0.21," 10 010100110 010"
"43","bankrupt",-2.3,2.1,0.2," 10 010000000 010"
"44","be_in_love_with",2.17,1.84,1.76," 01 000000011 001"
"45","be_kind_to",1.36,0.7,0.2," 01 100000000 000"
"46","be_partial_to",-1.8,0.8,0.5," 01 100010010 010"
"47","be_sarcastic_toward",-1.6,0,0.5," 10 100010011 000"
"48","be_toady_to",-1.4,-2,1.7," 10 010110100 000"
"49","beat_up",-2.2,1.6,2," 10 001000010 001"
"50","beckon",0.3,0.58,-0.13," 10 100000011 010"
"51","beg",-0.1,-2,0.6," 10 111111111 000"
"52","believe",2.11,1.6,-2," 01 111111111 000"
"53","bestow_something_to",0.58,0,0.1," 10 001000010 000"
"54","bewilder",-1,0,0.9," 01 111111111 000"
"55","bicker_with",-0.6,0.8,2.2," 10 111111111 000"
"56","blackmail",-1.9,-1,1.8," 10 011100000 010"
"57","blame",-1.3,0.9,1.2," 10 111111111 010"
"58","bless",2,1,0.2," 10 000000100 000"
"59","bluff",-2.34,0.05,1.38," 01 111100010 000"
"60","borrow_money_from",-1.7,-1,1," 10 010000000 000"
"61","bow_to",1.73,0.1,-1," 10 010000100 000"
"62","break_up_with",-0.96,-0.13,-0.51," 01 000000001 000"
"63","breastfeed",1.52,1.5,-2," 10 000000010 001"
"64","bribe",-2.2,2.2,-1," 10 011100000 110"
"65","brush_off",-0.8,0.7,0.8," 01 100100001 010"
"66","brutalize",-3.3,2.5,1.5," 10 101100011 001"
"67","bully",-2.4,1.7,1.7," 10 100100011 001"
"68","butter_up",-1,-1,1.7," 01 111111111 000"
"69","calm",1.6,1.7,-2," 01 111111111 100"
"70","captivate",0.93,2.21,0.7," 01 110111111 000"
"71","care_for",2.31,1.5,-2," 10 000001000 101"
"72","caress",0.68,1.1,-1," 10 000000011 001"
"73","carry",1.16,1.7,0.1," 10 000001010 001"
"74","catch",0.09,1.6,1.1," 10 001000001 001"
"75","caution",0.76,1.4,-1," 10 111111111 100"
"76","censure",-1.94,0.46,1.6," 10 000100000 010"
"77","challenge",1.28,1,2.2," 10 111111111 100"
"78","charge_falsely",-2.8,0.5,0.8," 01 001000000 000"
"79","charm",1.24,1.7,0.2," 01 111111111 000"
"80","chastise",-0.2,2.03,-0.16," 10 111111111 000"
"81","cheat",-2.39,1.24,0.72," 01 011100000 000"
"82","cheer_up",2.03,1.8,0.8," 11 100111111 000"
"83","chide",-0.9,1.3,0.4," 10 111111111 000"
"84","cling_to",-0.3,-2,1.1," 10 000000011 001"
"85","coach",2.17,2.4,0.45," 10 011111111 010"
"86","coax",1.8,2,0.5," 01 111111111 100"
"87","coerce",-1.87,2.09,1.21," 10 111111111 000"
"88","comfort",2.2,1.41,-1.8," 11 111111111 100"
"89","command",-0.5,2.7,-1," 10 011111111 000"
"90","commend",1.44,0.9,0," 10 011111111 010"
"91","compensate",0.2,-1,0," 10 010100000 010"
"92","compete_with",0.99,1.42,2.19," 10 010110010 010"
"93","compromise_with",-0.2,-1,-1," 10 011100010 000"
"94","conduct",0.81,1.83,-0.69," 10 010000100 000"
"95","confine",-2.68,1.36,0.46," 10 001101010 001"
"96","confound",-0.8,0.4,1.8," 01 111111111 000"
"97","confuse",-1.58,0.49,0.72," 01 111111111 100"
"98","contact",1.16,0.7,1," 01 100000000 000"
"99","control",-0.6,2,-1," 01 011100010 100"
"100","convict",1.14,1.44,-0.17," 10 001000000 010"
"101","convince",0.96,1.6,-2," 01 111111111 100"
"102","correspond_with",1.16,0.8,0.3," 10 110000010 000"
"103","corrupt",-2.97,0.94,0.03," 01 011111111 000"
"104","counsel",0.78,1.3,-1," 10 011111111 000"
"105","court",1,1.1,0.3," 01 100000001 010"
"106","covet",-1.4,-1,0.3," 01 000000001 000"
"107","criticize",-0.2,1.4,0.7," 10 111111111 100"
"108","cross_examine",-1.12,1.64,0.48," 10 001000000 010"
"109","cuddle",0.6,-1,-1," 10 000000011 001"
"110","cure",0.9,1.3,-1," 10 000001000 100"
"111","curry_favor_from",-1.4,-2,0.7," 11 111111111 000"
"112","curse",-2.4,0.2,0," 10 111111111 100"
"113","cut_off_relations_with",-1.2,1.5,0.1," 10 000100000 000"
"114","cut_the_pay_of",-1.8,1.5,-1," 10 010000000 000"
"115","dance_with",0.68,0.4,2," 10 100000111 011"
"116","debate_with",1.29,1.68,1.87," 10 111111110 000"
"117","deceive",-2.6,0.8,0.6," 01 111111111 000"
"118","defy",-0.63,0.51,1.9," 10 011111110 000"
"119","delay",-1.59,0.06,-0.06," 01 011111110 000"
"120","delay_payment_to",-1.8,0,0," 01 010000000 000"
"121","delight",1.24,1.3,2," 01 111111111 100"
"122","demote",-1.7,1.5,-1," 10 010000000 000"
"123","denounce",-2.25,0.8,1.56," 10 111111111 010"
"124","deprecate",-2,0.2,1.3," 10 111111111 100"
"125","depress",-1.6,1,0," 01 000001100 100"
"126","deride",-1.1,0.2,1.5," 10 111111111 010"
"127","despise",-2.48,0.07,0.5," 01 111111111 100"
"128","detest",-1.7,0.7,0.2," 01 111111111 000"
"129","direct",0.24,2.2,-1," 10 011111111 000"
"130","disappoint",-2.48,-0.5,0.28," 01 111111111 100"
"131","disbelieve",-1.56,-1.05,0.08," 01 111111111 000"
"132","discipline",-0.2,1.5,0," 10 011111111 100"
"133","discomfort",-2.2,0.3,1.2," 01 100001000 000"
"134","discourage",-1.7,0.6,0," 10 111111111 100"
