"","term","E","P","A","instcodes"
"1","abandon",-2,1,0.36," 01 111111110 000"
"2","abuse",-2.63,1.8,2.31," 10 101000011 100"
"3","acclaim",1.6,1.12,1.08," 10 000100000 010"
"4","accommodate",2.01,1.85,-1.38," 10 111111111 000"
"5","accuse",-0.36,0.58,0.92," 10 111111111 010"
"6","act_as_guarantor_for",0.145,0.76,-0.4," 10 001000000 010"
"7","adjudicate",-0.12,2.15,-1.5," 10 001000000 010"
"8","adjust_one's_opinion_for",0.52,0.58,-0.5," 10 100000000 000"
"9","admire",0.2,0.36,-1.6," 01 111111111 100"
"10","admonish",1.36,1.68,-2.2," 10 011111111 000"
"11","adopt",0.6,1.08,-1.1," 10 000000010 010"
"12","adopt_(girl_baby)",0.77,0.74,-0.7," 10 000000010 010"
"13","adore",1.66,0.88,-1.08," 01 000000111 000"
"14","advise",1.38,1.21,0.02," 10 011111110 000"
"15","affront",-2.27,0.05,1.03," 01 111111111 000"
"16","agree_with",1.2,0.64,0," 10 111111111 000"
"17","aid",2.47,2.11,0," 10 111111111 000"
"18","amuse",1.24,0.8,2.11," 11 111111111 100"
"19","analyze",0.48,0.76,-1.6," 10 011111110 100"
"20","anger",-2.03,0.48,1.88," 01 111111111 000"
"21","annoy",-1.96,0.08,2.63," 01 111111111 000"
"22","answer",0.84,0.4,-0.3," 10 111111111 000"
"23","antagonize",-1.96,0.68,1.48," 01 111111111 000"
"24","apologize_to",0.68,-0.8,-0.7," 10 111111111 000"
"25","appeal_to",-0.18,0.11,1," 10 111111111 000"
"26","applaud",1.48,0.56,1.8," 10 111111111 010"
"27","appoint",0.7,0.33,0.21," 10 000100000 010"
"28","appreciate",1.88,1.04,-0.8," 01 111111101 000"
"29","apprehend",-0.36,1.92,0.72," 10 001000000 001"
"30","approach",0.44,0.66,-0.24," 10 111111111 010"
"31","argue_with",1.66,1.35,0.59," 10 111111111 000"
"32","arrest",-0.64,1.84,1.92," 10 001000000 001"
"33","ask",0.84,-0.1,0," 10 111111111 000"
"34","assail",-1.24,1.24,2.47," 10 001100110 001"
"35","assist",1.96,1.88,-0.6," 10 111111111 000"
"36","attack",-2.23,1.8,2.47," 10 001100010 001"
"37","attend_to",1.04,-0.2,-1.6," 10 100000001 000"
"38","authorize",0.42,1.98,-0.66," 10 011111100 010"
