"","term","E","P","A","instcodes"
"1","absent_minded_person",-0.93,-1.05,2.015," 11 100000000 000"
"2","accomplice",-1.635,-0.64,0.34," 11 001000000 000"
"3","accounting_clerk",0.845,-0.05,0.055," 11 010000000 000"
"4","acquaintance_(longtime)",0.94,0.69,-0.3," 10 100000000 000"
"5","actor",0.86,0.915,1.07," 11 110000000 000"
"6","acupuncturist",1.075,-0.35,-1.1," 11 000001000 000"
"7","admiral",0.665,2,-0.3," 11 000100000 000"
"8","adonis",0.56,-0.15,0.1," 10 000000001 000"
"9","adopted_child",-0.02,-1.3,-0.45," 11 000000010 000"
"10","adopted_daughter",0.22,-1.05,-0.6," 01 000000010 000"
"11","adult",0.48,1.52,-1.7," 11 101000010 000"
"12","adulterer",-1.74,-0.8,1.32," 10 000000011 001"
"13","aggressor",-2.375,2.145,1.385," 11 100000000 000"
"14","agricultural_engineer",1.34,0.15,-0.25," 10 010000000 000"
"15","aide_(nursery_school)",1.28,0.2,0.34," 11 100010000 000"
"16","aids_patient",-0.51,-0.885,-0.435," 11 000001000 000"
"17","ainu_aborigine",0.265,-2.2,-1.25," 11 100000000 000"
"18","aircraft_pilot",1.855,1.33,0.995," 11 010000000 000"
"19","alter",-0.28,-0.15,0.165," 11 100000000 000"
"20","alumnus",1,0.99,-1," 11 000010000 000"
"21","amateur",0.34,-0.68,1.005," 11 100000000 000"
"22","ambassador",1.44,1.81,-1.64," 11 000100000 000"
"23","american",0.35,2.66,2.725," 11 100100000 000"
"24","apprentice",0.475,-0.695,0.64," 11 010000000 000"
"25","architect",1.325,0.94,0.285," 11 010000000 000"
"26","army_general",0.43,2.07,-0.25," 11 000100000 000"
"27","arsonist",-3.195,-0.3,0.83," 11 001000000 000"
"28","artist",1.6,0.77,-1.3," 11 110010000 000"
"29","ass",-1.65,-1.85,0.76," 11 100000000 000"
"30","assailant",-2.195,0.63,0.88," 11 001000000 001"
"31","assistant_professor",1.18,0.75,-1," 11 000010000 000"
