"","term","E","P","A","instcodes"
"1","absent_minded_person",-0.9,-1,2," 11 100000000 000"
"2","accomplice",-1.71,-0.89,0.41," 11 001000000 000"
"3","accounting_clerk",1,0.3,0," 11 010000000 000"
"4","acquaintance_(longtime)",1.12,0.5,0," 10 100000000 000"
"5","actor",0.9,0.7,1.2," 11 110000000 000"
"6","acupuncturist",1.2,0,-1," 11 000001000 000"
"7","admiral",0.58,2,0.1," 11 000100000 000"
"8","adonis",0.52,0,0," 10 000000001 000"
"9","adopted_child",0.04,-1,0," 11 000000010 000"
"10","adopted_daughter",0.16,-1,-1," 01 000000010 000"
"11","adult",0.64,1.6,-2," 11 101000010 000"
"12","adulterer",-2.2,-1,1.4," 10 000000011 001"
"13","aggressor",-2.79,2.25,1.3," 11 100000000 000"
"14","agricultural_engineer",1.29,0.5,0," 10 010000000 000"
"15","aide_(nursery_school)",1.52,0.8,0," 11 100010000 000"
"16","aids_patient",-0.11,-1.22,-0.92," 11 000001000 000"
"17","ainu_aborigine",0.17,-2,-1," 11 100000000 000"
"18","aircraft_pilot",1.83,1.7,1.3," 11 010000000 000"
"19","alter",-0.2,0,0," 11 100000000 000"
"20","alumnus",0.8,0.9,-1," 11 000010000 000"
"21","amateur",0.37,-1.05,1.26," 11 100000000 000"
"22","ambassador",1.94,2.25,-1.78," 11 000100000 000"
"23","american",0.94,2.3,2.6," 11 100100000 000"
"24","apprentice",0.38,-1.04,0.47," 11 010000000 000"
"25","architect",1.44,1.2,0.3," 11 010000000 000"
"26","army_general",0.34,2.1,0.2," 11 000100000 000"
"27","arsonist",-3.2,0.1,0.9," 11 001000000 000"
"28","artist",1.6,0.9,-1," 11 110010000 000"
"29","ass",-1.5,-2,0.4," 11 100000000 000"
"30","assailant",-2.2,0.5,0.6," 11 001000000 001"
"31","assistant_professor",1.08,0.7,-1," 11 000010000 000"
"32","astrologer",0.49,0.47,-1.91," 11 100000100 000"
"33","athlete",1.53,2.38,1.53," 11 010010000 001"
"34","attendant",1.16,0.6,-2," 11 010001000 001"
"35","auctioneer",-0.6,0.3,0.9," 11 010000000 000"
"36","auditor",0.83,1.1,-1," 11 011010000 000"
"37","aunt",0.44,0.6,0," 01 000000010 000"
"38","author",1.57,1.22,-1.78," 11 010010000 000"
"39","authority",2,2.6,-1," 11 111111100 000"
"40","autocrat",-2.6,3.3,0," 11 000100000 000"
"41","automobile_assembler",0.6,0,0.5," 11 010000000 000"
"42","automobile_repairer",0.44,0,0.6," 10 110000000 000"
"43","average_joe",-0.3,-1,-1," 11 100000000 000"
"44","baby",0.2,-3,2.3," 11 100001010 001"
"45","babysitter",1.11,0,0.9," 11 000000010 011"
"46","bachelor",0.28,-0.13,-0.2," 10 000000011 000"
"47","backstabber",-2.8,0,0.6," 11 100100000 000"
"48","baker",1.22,0.3,0.4," 11 010000000 000"
"49","bank_teller",0.91,0.3,0.2," 11 010000000 000"
"50","banker",0.57,1.34,-1.21," 11 010000000 001"
"51","barber",0.82,-1,0.8," 11 010000000 001"
"52","barmaid",-1.1,-1,1.6," 01 010000000 000"
"53","bartender",0.52,-1,0.2," 11 010000000 000"
"54","bastard",-0.7,-2,0.2," 11 100000010 000"
"55","beautician",1.11,0,1.6," 11 010000000 001"
"56","beauty",0.44,0.3,-1," 01 100000000 001"
"57","beggar",-1.1,-2,-1," 11 100000000 000"
"58","benefactor",2.23,2.1,-2," 11 010100000 000"
"59","bereaved_relative",0.04,-1,-2," 11 000000010 000"
"60","better_half",1.04,1,0," 01 000000010 001"
"61","bigot",-0.76,1.63,-0.58," 11 100000000 000"
"62","bill_collector",-0.1,0.6,0," 11 010000000 000"
"63","blind_person",-0.4,-2,-2," 11 100001000 010"
"64","blockhead",-1.4,-1,-2," 11 100000000 000"
"65","blood_donor",2.61,1.42,-0.78," 11 000001000 001"
"66","blue_collar_worker",0.78,1.52,2.29," 11 010000000 000"
"67","board_director",0.43,2.2,-2," 10 010000000 000"
"68","boaster",-0.2,2.2,-1," 11 100000000 000"
"69","bodyguard",2.27,3.46,-0.59," 11 001100000 001"
"70","boiler_engineer",0.45,0,0.2," 10 010000000 000"
"71","bookbinder",0.48,-1,-1," 11 010000000 000"
"72","bookie",-0.38,-0.2,1.75," 11 011000000 000"
"73","boyfriend",1.68,1.98,1.09," 10 000000001 001"
"74","braggart",-1.4,0,1.2," 11 100000000 000"
"75","brain",1.52,0.9,-2," 11 100010000 000"
"76","brat",-0.8,-2,1.3," 11 100000010 000"
"77","briber",-2.2,0.8,-1," 11 100100000 000"
"78","bricklayer",0.7,0.1,0.4," 11 010000000 000"
"79","bride",0.48,-1,0.5," 01 000000010 001"
"80","brother_in_law_(hu_br)",-0.56,0.76,0.8," 10 000000010 000"
"81","bruiser",-3,2.2,2," 10 100000000 000"
"82","bully",-1.8,1.9,2.2," 11 100000000 001"
"83","bully's_victim",-1.04,-2.71,-1.44," 11 100000000 001"
"84","burglar",-3.71,0.66,2.29," 11 011000000 000"
"85","busybody",0.88,0.9,1.6," 11 100000000 000"
"86","butcher",0.22,0.16,0.24," 11 010000000 000"
"87","bystander",-0.6,-1,-1," 11 100000000 000"
"88","cabinet_maker",1.07,0,-1," 11 010000000 000"
"89","cabinet_member",-0.7,1.7,-2," 11 000100000 000"
"90","capitalist",0.28,3.6,1," 11 010000000 000"
"91","captive",-0.72,-2.1,-0.33," 11 001100001 001"
"92","cashier",1.35,0.52,-1.43," 11 010000000 000"
"93","celebrity",0.72,2,0," 11 110000000 000"
"94","cement_worker",0.57,0,0," 11 010000000 000"
"95","censor",-0.67,2.35,-1.56," 11 000100000 000"
"96","central_figure",1.08,2.5,0.4," 11 100000000 000"
"97","ceo",1.1,2.1,-2," 11 010000000 000"
