"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","absent_minded",-0.695,-0.85,-0.95," 10 010000000 000"
"3","abusive_(physically)",-2.405,0.35,1.79," 10 010000000 000"
"4","abusive_(verbally)",-1.515,-0.5,1.025," 10 010000000 000"
"5","accommodating",1.455,1.025,-0.2," 10 010000000 000"
"6","active",1.775,1.73,2.085," 10 010000000 000"
"7","adaptive",1.13,0.7,0.56," 10 010000000 000"
"8","adventurous",1.495,1.44,2.35," 10 010000000 000"
"9","affectionate",2.045,1.475,-0.2," 10 010000000 000"
"10","afraid",-1.905,-1.135,0.74," 10 100000000 000"
"11","aggravated",-1.97,1.28,2.185," 10 100000000 000"
"12","aggressive",-0.935,0.82,1.645," 10 010000000 000"
"13","aggrieved",-3.01,-2.2,-1.05," 10 100100000 000"
"14","agitated",-2.195,0.175,2.16," 10 100000000 000"
"15","agreeable",1.965,1.025,0.05," 10 010000000 000"
"16","ambitious",0.88,1.625,1.755," 10 010000000 000"
"17","amorous",1.725,1.175,1.13," 10 010000000 000"
"18","amused",0.965,1.2,1.86," 10 100000000 000"
"19","angry",-2.69,1.43,2.18," 10 100000000 000"
"20","anguished",-2.385,-0.44,-0.135," 10 100000000 000"
"21","annoyed",-1.375,-1.29,0.135," 10 100010000 000"
"22","antisocial",-1.29,-1.6,-1," 10 000100000 000"
"23","anxious",-1.845,-0.975,0.17," 10 100000000 000"
"24","appreciative",1.84,0.78,-0.1," 10 110000000 000"
"25","apprehensive",-1.12,-0.375,0.635," 10 100000000 000"
"26","ashamed",-1.885,-1.705,-0.715," 10 100010000 000"
"27","astonished",-0.1,1.24,1.905," 10 010000000 000"
"28","at_ease",2.3,0.235,-2.355," 10 100000000 000"
"29","attractive",1.57,1.03,1.295," 10 000100000 000"
"30","authoritarian",-1.465,0.58,-0.25," 10 010000000 000"
"31","awe_struck",0.4,-0.305,-0.97," 10 100000000 000"
"32","awkward",-0.705,-0.95,-0.2," 10 000100000 000"
"33","bad",-2.62,-0.05,0.225," 10 001000000 000"
"34","beautiful",1.265,1.11,1.03," 10 000100000 000"
"35","belligerent",-1.94,-0.55,0.1," 10 010000000 000"
"36","betrayed",-0.495,-1.2,-0.6," 10 000100000 000"
"37","bitter",-2.35,-1.095,-0.83," 10 100010000 000"
"38","blue",-2.345,-3.3,-2.05," 10 100000000 000"
"39","bold",0.795,1.495,1.84," 10 010000000 000"
"40","boring",-1.135,-1.1,-1," 10 000100000 000"
"41","bossy",-0.44,1.115,0.685," 10 010000000 000"
"42","brave",2.23,2.19,1.665," 10 010000000 000"
"43","bright",1.525,1.6,0.575," 10 010000000 000"
"44","bright_spirited",1.73,1.59,2.195," 10 010000000 000"
"45","broad_minded",2.225,1.785,-0.9," 10 010100000 000"
"46","broken_hearted",-2.11,-0.62,-0.26," 10 100000000 000"
"47","calm",1.25,0.27,-2.665," 10 100010000 000"
"48","careless",-1.28,-0.8,1.265," 10 010000000 000"
"49","cautious",0.685,0.1,-1.15," 10 010000000 000"
"50","charmed",1.045,1.145,1.15," 10 100000000 000"
"51","charming",2.285,1.89,1.08," 10 010000000 000"
"52","cheered",2.125,1.735,2.265," 10 100000000 000"
"53","cheerful",1.965,1.335,1.96," 10 110000000 000"
"54","cheerless",-2.56,-0.055,0.245," 10 100000000 000"
"55","childish",-0.31,-0.8,1.44," 10 010000000 000"
"56","clever",1.42,1.465,-0.05," 10 010000000 000"
"57","clumsy",-0.555,-0.85,-0.25," 10 010100000 000"
"58","cock_sure",1.055,1.31,2.125," 10 100000000 000"
"59","cocky",-1.07,-0.55,0.55," 10 010000000 000"
"60","cold",-1.785,-0.55,-0.65," 10 010000000 000"
"61","compassionate",1.06,0.295,-1.45," 10 110000000 000"
"62","competent",1.895,2.075,0.905," 10 010000000 000"
"63","complicated",-0.215,-0.1,0," 10 010000000 000"
"64","composed",1.04,0.76,-1.825," 10 010000000 000"
"65","compulsive",-0.785,1.21,1.45," 10 010000000 000"
"66","conceited",-1.325,-0.3,0.975," 10 010000000 000"
"67","confident",1.3,1.795,1.1," 10 010000000 000"
"68","conscientious",2.035,1.37,-0.35," 10 010000000 000"
"69","conservative",-0.32,0.045,-1.35," 10 011000000 000"
"70","considerate",2.485,1.705,-0.95," 10 010000000 000"
"71","contemptuous",-2.18,-0.025,0.275," 10 110000000 000"
"72","contented",2.035,0.495,-2.925," 10 100010000 000"
"73","coquettish",-1.18,-0.1,0.445," 10 010000000 000"
"74","courageous",1.64,1.795,0.95," 10 010000000 000"
"75","courteous",2.29,1.17,-1.15," 10 010000000 000"
"76","covetous",-3.21,-1.05,0.285," 10 010000000 000"
"77","cowardly",-1.03,-1.8,-0.85," 10 010000000 000"
"78","coy",-0.625,-1.7,-1.2," 10 010000000 000"
"79","crazy",-1.495,-0.9,0.645," 10 011000000 000"
"80","critical",-0.6,0.15,0.635," 10 010000000 000"
"81","cruel",-2.585,-0.21,0.305," 10 010000000 000"
"82","crushed",-1.665,-1.375,-1.005," 10 100000000 000"
"83","cunning",-1.96,0.075,0.56," 10 010000000 000"
"84","curious",1.705,1.415,2.11," 10 010000000 000"
"85","cute",1.225,0.385,1.065," 10 010000000 000"
"86","cynical",-1.575,-0.65,-0.5," 10 010000000 000"
"87","death_defying",1.125,0.595,1.545," 10 000100000 000"
"88","defensive",-0.075,0.155,-0.95," 10 010000000 000"
"89","defiant",-0.985,-0.435,1.62," 10 010000000 000"
"90","deflated",-2.095,-2.03,-1.645," 10 100000000 000"
"91","dejected",-1.89,-1.925,-1.38," 10 100000000 000"
"92","demanding",-0.79,0.1,1.07," 10 010000000 000"
"93","demure",0.845,-1.75,-2.2," 10 010000000 000"
"94","dependable",2.165,2.3,-0.65," 10 010000000 000"
"95","dependent",-1.185,-1.8,-0.8," 10 010000000 000"
"96","depressed",-2.04,-0.73,-0.335," 10 100010000 000"
"97","determined",2.15,1.95,1.895," 10 010000000 000"
"98","devoted",1.82,0.755,-0.44," 10 010000000 000"
"99","diffident",-2.275,-2.9,-0.95," 10 010000000 000"
"100","dignified",1.04,1.225,-1.1," 10 000100000 000"
"101","disagreeable",-2.04,-0.8,0," 10 010000000 000"
"102","disappointed",-1.875,-0.61,-0.4," 10 100000000 000"
"103","discomforted",-3.365,-0.36,0.31," 10 010000000 000"
"104","disconcerted",-1.925,-0.85,0.91," 10 010000000 000"
"105","discontented",-2.07,-0.345,-0.075," 10 100000000 000"
"106","disgusted",-2.685,0.96,2.08," 10 100010000 000"
"107","disheartened",-1.97,-1.02,-1.34," 10 100000000 000"
"108","dismayed",-2.64,0.025,0.255," 10 100000000 000"
"109","displeased",-2.375,0.03,0.75," 10 100000000 000"
"110","disreputable",-1.175,-0.3,0.1," 10 010000000 000"
"111","dissatisfied",-1.93,-0.15,0.38," 10 100000000 000"
"112","distressed",-2.255,-1.35,-1.285," 10 100000000 000"
"113","divorced",-0.48,-0.2,0.62," 10 001000000 000"
"114","dogmatic",-0.96,0.97,0.73," 10 010000000 000"
"115","domineering",-2.21,0.555,1.315," 10 010000000 000"
"116","doubtful",-1.075,-0.9,-0.7," 10 000100000 000"
"117","downhearted",-2.15,-1.04,-1.23," 10 100000000 000"
"118","drowsy",-0.395,-0.9,-0.7," 10 000100000 000"
"119","drunken",-1.16,-0.3,0.795," 10 001100000 000"
"120","dull",-0.74,-1,-0.95," 10 000100000 000"
"121","earnest",2.045,1.44,0.565," 10 010000000 000"
"122","easily_hurt",-0.25,-0.95,0.015," 10 010000000 000"
"123","easygoing",0.055,-0.1,-1," 10 010000000 000"
"124","eccentric",-0.04,0.46,1.88," 10 010000000 000"
"125","ecstatic",1.78,0.105,-1.4," 10 100000000 000"
"126","educated",1.97,1.69,-0.25," 10 001000000 000"
"127","efficient",1.64,1.645,0.7," 10 010000000 000"
"128","egotistical",-1.33,0.05,0.695," 10 010000000 000"
"129","elated",1.895,2.29,2.5," 10 100000000 000"
"130","elegant",2.24,0,-2.05," 10 010000000 000"
"131","embarrassed",-1.56,-0.68,0.815," 10 100010000 000"
"132","emotional",-0.38,-0.15,1.535," 10 110000000 000"
"133","employed",0.04,-1,0.31," 10 001000000 000"
"134","empty",-1.89,-1.71,-1.845," 10 000100000 000"
"135","energetic",1.56,1.89,2.37," 10 010000000 000"
"136","enthusiastic",0.475,1.115,2.18," 10 110000000 000"
"137","entrusting",-0.12,-0.9,-0.05," 10 010000000 000"
"138","envious",-0.615,0.175,0.435," 10 100000000 000"
"139","envious2",-2.305,0.085,0.42," 10 100000000 000"
"140","esteemed",2.095,1.57,-0.5," 10 001000000 000"
"141","exasperated",-2.275,0.7,2.1," 10 100000000 000"
"142","excitable",-0.545,0.08,1.745," 10 010000000 000"
"143","excited",0.91,2.1,2.72," 10 100010000 000"
"144","experienced",2.015,1.87,-0.3," 10 001000000 000"
"145","extroverted",1.605,1.59,1.895," 10 010000000 000"
"146","exuberant",2.29,0.05,-1.4," 10 010000000 000"
"147","faithful",1.37,0.5,-0.85," 10 010000000 000"
"148","fashionable",1.12,0.665,1.52," 10 000100000 000"
"149","fearful",-2.075,-0.335,0.575," 10 100000000 000"
"150","fed_up",-2.255,-0.86,-0.625," 10 100000000 000"
"151","female",0.815,0.215,0.335," 10 001000000 000"
"152","feminine",0.685,0,-0.7," 10 010000000 000"
"153","fickle",-1.225,-0.7,1.075," 10 010000000 000"
"154","finicky",-1.135,-0.1,-1.3," 10 010000000 000"
"155","flexible",1.875,1.355,0.425," 10 010000000 000"
"156","flustered",-1.335,0.26,2.68," 10 100010000 000"
"157","foolish",-1.555,-1.75,0.275," 10 010000000 000"
"158","forbearing",-1.395,-1.5,-1.1," 10 010000000 000"
"159","forgiving",2.165,1.745,-0.9," 10 010000000 000"
"160","foxy",-0.45,0.415,-0.25," 10 010000000 000"
"161","fretful",-2.52,0.87,1.965," 10 010000000 000"
"162","friendly",1.805,1.305,0.4," 10 010000000 000"
"163","frightened",-1.095,0.43,1.44," 10 100000000 000"
"164","frivolous",-1.26,-1.1,0.25," 10 000100000 000"
"165","frustrated",-2.655,-1.245,-1.12," 10 100000000 000"
"166","furious",-2.895,2.23,2.9," 10 100010000 000"
"167","generous",1.435,1.265,0.95," 10 010000000 000"
"168","gentle",1.86,1.125,-1.35," 10 010000000 000"
"169","glad",2.73,1.83,1.21," 10 100000000 000"
"170","gloomy",-1.225,-1.55,-1.6," 10 110000000 000"
"171","goal_directed",2.575,1.825,1.725," 10 010000000 000"
"172","good",2.38,1.225,-0.1," 10 001000000 000"
"173","graceful",1.385,0.71,-1.65," 10 000100000 000"
"174","great",1.425,1.955,-0.65," 10 000100000 000"
"175","greedy",-1.035,0.22,1.255," 10 010000000 000"
"176","grief_stricken",-2.22,-0.75,-0.965," 10 100000000 000"
"177","guileless",-1.515,0,1.155," 10 010000000 000"
"178","guilty",-2.215,-0.9,0.695," 10 101000000 000"
"179","gullible",-0.955,-1.15,-0.1," 10 010000000 000"
"180","handsome",1.125,1.05,1.14," 10 000100000 000"
"181","happily_surprised",0.88,0.295,1.235," 10 100000000 000"
"182","happy",2.535,2.105,2.115," 10 100010000 000"
"183","hardworking",2.17,1.61,0.45," 10 010000000 000"
"184","heavy_hearted",-3.01,-2.975,-1.8," 10 100000000 000"
"185","helpful",1.665,0.665,0," 10 010000000 000"
"186","helpless",-1.225,-2.05,-1.05," 10 000100000 000"
"187","homesick",-0.39,-0.395,-0.385," 10 100000000 000"
"188","homosexual",-0.37,-0.3,0.75," 10 001100000 000"
"189","honest",2.025,0.89,0.1," 10 010000000 000"
"190","honorable",2.635,2.355,-0.6," 10 010000000 000"
"191","hopeful",2.065,1.57,1.93," 10 110000000 000"
"192","horrified",-2.095,-0.18,0.7," 10 100000000 000"
"193","hostile",-1.065,0.65,1.39," 10 110000000 000"
"194","hotheaded",-1.4,0.51,1.79," 10 010000000 000"
"195","humane",1.305,0.405,-0.1," 10 010000000 000"
"196","humble",1.19,0.125,-0.9," 10 110000000 000"
"197","humiliated",-0.625,-0.95,0.215," 10 100000000 000"
"198","hurt",-2.03,-1.065,-0.4," 10 100100000 000"
"199","idealistic",0.48,0.08,0.84," 10 010000000 000"
"200","ignorant",-1.215,-1.65,0.435," 10 000100000 000"
"201","ill_at_ease",-1.705,-0.345,1.92," 10 100000000 000"
"202","immature",-0.545,-1.85,1," 10 010000000 000"
"203","immoral",-2.035,-0.85,0.68," 10 000100000 000"
"204","impatient",-1.415,-0.65,1.335," 10 100010000 000"
"205","impressionable",-1.315,-1.7,-0.05," 10 010000000 000"
"206","in_love",2.325,1.665,1.84," 10 000100000 000"
"207","incompetent",-1.535,-1.95,-0.35," 10 000100000 000"
"208","inconsiderate",-2.405,-1.45,0.615," 10 010000000 000"
"209","indecent",-1.645,-1.2,0.165," 10 000100000 000"
"210","indecisive",-1.655,-1.7,-0.75," 10 010000000 000"
"211","independent",2.175,1.775,0.63," 10 010000000 000"
"212","indifferent",-0.86,-0.3,0.255," 10 010000000 000"
"213","industrious",1.785,1.125,-0.6," 10 010000000 000"
"214","inexperienced",-0.73,-1.65,0.125," 10 000100000 000"
"215","inhibited",-0.935,0.655,0.49," 10 010000000 000"
"216","innocent",1.94,1.1,0.4," 10 000100000 000"
"217","insane",-1.355,-0.7,0.82," 10 001100000 000"
"218","insecure",-1.32,-1.5,0.52," 10 010000000 000"
"219","insensitive",-2.065,-0.85,1.01," 10 010000000 000"
"220","insincere",-1.425,-0.8,0.5," 10 010000000 000"
"221","intellectual",1.865,1.405,-0.25," 10 011000000 000"
"222","intelligent",1.585,1.44,-1.1," 10 010000000 000"
"223","interesting",1.695,1.475,1.62," 10 010000000 000"
