"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","absent_minded",-0.8,-1,-1," 10 010000000 000"
"3","abusive_(physically)",-2.6,0,1.7," 10 010000000 000"
"4","abusive_(verbally)",-1.9,-1,1.1," 10 010000000 000"
"5","accommodating",1.72,1.4,0," 10 010000000 000"
"6","active",2.1,2.1,2.4," 10 010000000 000"
"7","adaptive",1.32,0.8,0.8," 10 010000000 000"
"8","adventurous",1.81,1.9,2.6," 10 010000000 000"
"9","affectionate",2.37,1.9,0," 10 010000000 000"
"10","afraid",-1.93,-1.42,0.81," 10 100000000 000"
"11","aggravated",-2.23,1.67,2.22," 10 100000000 000"
"12","aggressive",-1.1,0.7,1.7," 10 010000000 000"
"13","aggrieved",-2.6,-2,-1," 10 100100000 000"
"14","agitated",-2.3,0.47,2.29," 10 100000000 000"
"15","agreeable",2.33,1.3,0.1," 10 010000000 000"
"16","ambitious",1.03,1.6,1.9," 10 010000000 000"
"17","amorous",2.02,1.64,1.19," 10 010000000 000"
"18","amused",0.48,0.92,1.66," 10 100000000 000"
"19","angry",-2.63,1.7,1.88," 10 100000000 000"
"20","anguished",-2.29,-0.49,-0.27," 10 100000000 000"
"21","annoyed",-1.4,-1.33,0.08," 10 100010000 000"
"22","antisocial",-1.6,-2,-1," 10 000100000 000"
"23","anxious",-2,-1.09,-0.32," 10 100000000 000"
"24","appreciative",2.28,1.4,0," 10 110000000 000"
"25","apprehensive",-0.97,-0.42,0.26," 10 100000000 000"
"26","ashamed",-2.18,-1.94,-0.44," 10 100010000 000"
"27","astonished",-0.04,1.31,2.14," 10 010000000 000"
"28","at_ease",2.01,0.59,-1.99," 10 100000000 000"
"29","attractive",1.97,1.7,1.6," 10 000100000 000"
"30","authoritarian",-1.8,0.8,0.1," 10 010000000 000"
"31","awe_struck",0.2,-0.67,-0.94," 10 100000000 000"
"32","awkward",-0.9,-1,0," 10 000100000 000"
"33","bad",-2.7,0,0.3," 10 001000000 000"
"34","beautiful",1.32,1.1,1.2," 10 000100000 000"
"35","belligerent",-2.3,-1,0.2," 10 010000000 000"
"36","betrayed",-0.8,-1,-1," 10 000100000 000"
"37","bitter",-2.13,-1.29,-1.12," 10 100010000 000"
"38","blue",-2,-3,-2," 10 100000000 000"
"39","bold",1.03,1.9,2.1," 10 010000000 000"
"40","boring",-1.5,-1,-1," 10 000100000 000"
"41","bossy",-0.3,1.2,0.7," 10 010000000 000"
"42","brave",2.36,2.2,1.9," 10 010000000 000"
"43","bright",2.01,2,0.9," 10 010000000 000"
"44","bright_spirited",2.12,2.1,2.5," 10 010000000 000"
"45","broad_minded",2.49,2.2,-1," 10 010100000 000"
"46","broken_hearted",-1.91,-1.16,-0.38," 10 100000000 000"
"47","calm",1.5,0.2,-2.33," 10 100010000 000"
"48","careless",-1.7,-1,1.6," 10 010000000 000"
"49","cautious",0.93,0.3,-1," 10 010000000 000"
"50","charmed",1.15,1.22,1.34," 10 100000000 000"
"51","charming",2.38,2,0.9," 10 010000000 000"
"52","cheered",2.61,2.27,2.34," 10 100000000 000"
"53","cheerful",2.45,1.8,2.3," 10 110000000 000"
"54","cheerless",-2.59,-0.26,0.18," 10 100000000 000"
"55","childish",-0.5,-1,1.3," 10 010000000 000"
"56","clever",1.77,1.9,0.1," 10 010000000 000"
"57","clumsy",-0.7,-1,0," 10 010100000 000"
"58","cock_sure",1.23,1.8,2.3," 10 100000000 000"
"59","cocky",-1.5,-1,0.6," 10 010000000 000"
"60","cold",-1.8,-1,-1," 10 010000000 000"
"61","compassionate",1.19,0.2,-2," 10 110000000 000"
"62","competent",1.85,2.2,0.9," 10 010000000 000"
"63","complicated",-0.5,0,0.1," 10 010000000 000"
"64","composed",0.76,0.54,-1.4," 10 010000000 000"
"65","compulsive",-0.9,1.2,1.6," 10 010000000 000"
"66","conceited",-1.6,0,0.9," 10 010000000 000"
"67","confident",1.56,2.1,1.4," 10 010000000 000"
"68","conscientious",1.88,1.9,0," 10 010000000 000"
"69","conservative",-0.3,0,-1," 10 011000000 000"
"70","considerate",2.62,2,-1," 10 010000000 000"
"71","contemptuous",-2.21,0.1,0.08," 10 110000000 000"
"72","contented",2.28,0.42,-2.94," 10 100010000 000"
"73","coquettish",-1.5,0,0.3," 10 010000000 000"
"74","courageous",2.15,2.3,1.3," 10 010000000 000"
"75","courteous",2.4,1.6,-1," 10 010000000 000"
"76","covetous",-3,-1,0.5," 10 010000000 000"
"77","cowardly",-1.3,-2,-1," 10 010000000 000"
"78","coy",-0.9,-2,-1," 10 010000000 000"
"79","crazy",-1.9,-1,0.9," 10 011000000 000"
"80","critical",-1.1,0,0.6," 10 010000000 000"
"81","cruel",-2.7,-1,0," 10 010000000 000"
"82","crushed",-1.58,-1.53,-1.43," 10 100000000 000"
"83","cunning",-2.2,0,0.83," 10 010000000 000"
"84","curious",2,1.9,2.4," 10 010000000 000"
"85","cute",1.36,0.5,0.9," 10 010000000 000"
"86","cynical",-2.1,-1,-1," 10 010000000 000"
"87","death_defying",1.23,0.4,1.7," 10 000100000 000"
"88","defensive",-0.1,0,-1," 10 010000000 000"
"89","defiant",-1.5,-1,1.8," 10 010000000 000"
"90","deflated",-2.19,-2.19,-1.56," 10 100000000 000"
"91","dejected",-1.88,-2.08,-1.33," 10 100000000 000"
"92","demanding",-0.9,0,1," 10 010000000 000"
"93","demure",0.92,-2,-2," 10 010000000 000"
"94","dependable",2.23,2.5,-1," 10 010000000 000"
"95","dependent",-1.3,-2,-1," 10 010000000 000"
"96","depressed",-1.86,-0.81,-0.48," 10 100010000 000"
"97","determined",2.45,2.1,2," 10 010000000 000"
"98","devoted",2.06,1.2,-1," 10 010000000 000"
"99","diffident",-2.2,-3,-1," 10 010000000 000"
"100","dignified",1.37,1.2,-1," 10 000100000 000"
"101","disagreeable",-2.5,-1,0," 10 010000000 000"
"102","disappointed",-1.77,-0.94,-0.32," 10 100000000 000"
"103","discomforted",-3.4,-1,0.1," 10 010000000 000"
"104","disconcerted",-1.93,-1.17,0.51," 10 010000000 000"
"105","discontented",-2.17,-0.45,-0.19," 10 100000000 000"
"106","disgusted",-2.55,0.88,1.92," 10 100010000 000"
"107","disheartened",-2.13,-1.06,-1.59," 10 100000000 000"
"108","dismayed",-2.65,-0.21,0.43," 10 100000000 000"
"109","displeased",-2.12,-0.04,0.5," 10 100000000 000"
"110","disreputable",-1.4,0,0.3," 10 010000000 000"
"111","dissatisfied",-2,0,0.13," 10 100000000 000"
"112","distressed",-2.31,-1.7,-1.23," 10 100000000 000"
"113","divorced",-0.5,0,0.8," 10 001000000 000"
"114","dogmatic",-1,0.9,0.5," 10 010000000 000"
"115","domineering",-2.4,0.2,1.1," 10 010000000 000"
"116","doubtful",-1.4,-1,-1," 10 000100000 000"
"117","downhearted",-2.25,-1.13,-1.17," 10 100000000 000"
"118","drowsy",-0.3,-1,0," 10 000100000 000"
"119","drunken",-1,0,0.8," 10 001100000 000"
"120","dull",-0.7,-1,-1," 10 000100000 000"
"121","earnest",2.11,1.6,0.6," 10 010000000 000"
"122","easily_hurt",-0.3,-1,0," 10 010000000 000"
"123","easygoing",0.26,0.1,-1," 10 010000000 000"
"124","eccentric",-0.1,0.4,1.9," 10 010000000 000"
"125","ecstatic",1.81,0.12,-1.17," 10 100000000 000"
"126","educated",2.42,2.2,0," 10 001000000 000"
"127","efficient",1.96,1.9,1.4," 10 010000000 000"
"128","egotistical",-1.3,0,0.7," 10 010000000 000"
"129","elated",2.13,2.52,2.42," 10 100000000 000"
"130","elegant",2.25,0.4,-2," 10 010000000 000"
"131","embarrassed",-1.35,-0.98,0.22," 10 100010000 000"
"132","emotional",-0.4,0,1.8," 10 110000000 000"
"133","employed",0,-1,0.4," 10 001000000 000"
"134","empty",-1.88,-1.84,-1.44," 10 000100000 000"
"135","energetic",1.82,2.2,2.6," 10 010000000 000"
"136","enthusiastic",0.79,1.1,2.2," 10 110000000 000"
"137","entrusting",-0.3,-1,0," 10 010000000 000"
