"","term","E","P","A","instcodes"
"1","no_emotion",0,0,0," 10 100000000 000"
"2","absent_minded",-0.59,-0.7,-0.9," 10 010000000 000"
"3","abusive_(physically)",-2.21,0.7,1.88," 10 010000000 000"
"4","abusive_(verbally)",-1.13,0,0.95," 10 010000000 000"
"5","accommodating",1.19,0.65,-0.4," 10 010000000 000"
"6","active",1.45,1.36,1.77," 10 010000000 000"
"7","adaptive",0.94,0.6,0.32," 10 010000000 000"
"8","adventurous",1.18,0.98,2.1," 10 010000000 000"
"9","affectionate",1.72,1.05,-0.4," 10 010000000 000"
"10","afraid",-1.88,-0.85,0.67," 10 100000000 000"
"11","aggravated",-1.71,0.89,2.15," 10 100000000 000"
"12","aggressive",-0.77,0.94,1.59," 10 010000000 000"
"13","aggrieved",-3.42,-2.4,-1.1," 10 100100000 000"
"14","agitated",-2.09,-0.12,2.03," 10 100000000 000"
"15","agreeable",1.6,0.75,0," 10 010000000 000"
"16","ambitious",0.73,1.65,1.61," 10 010000000 000"
"17","amorous",1.43,0.71,1.07," 10 010000000 000"
"18","amused",1.45,1.48,2.06," 10 100000000 000"
"19","angry",-2.75,1.16,2.48," 10 100000000 000"
"20","anguished",-2.48,-0.39,0," 10 100000000 000"
"21","annoyed",-1.35,-1.25,0.19," 10 100010000 000"
"22","antisocial",-0.98,-1.2,-1," 10 000100000 000"
"23","anxious",-1.69,-0.86,0.66," 10 100000000 000"
"24","appreciative",1.4,0.16,-0.2," 10 110000000 000"
"25","apprehensive",-1.27,-0.33,1.01," 10 100000000 000"
"26","ashamed",-1.59,-1.47,-0.99," 10 100010000 000"
"27","astonished",-0.16,1.17,1.67," 10 010000000 000"
"28","at_ease",2.59,-0.12,-2.72," 10 100000000 000"
"29","attractive",1.17,0.36,0.99," 10 000100000 000"
"30","authoritarian",-1.13,0.36,-0.6," 10 010000000 000"
"31","awe_struck",0.6,0.06,-1," 10 100000000 000"
"32","awkward",-0.51,-0.9,-0.4," 10 000100000 000"
"33","bad",-2.54,-0.1,0.15," 10 001000000 000"
"34","beautiful",1.21,1.12,0.86," 10 000100000 000"
"35","belligerent",-1.58,-0.1,0," 10 010000000 000"
"36","betrayed",-0.19,-1.4,-0.2," 10 000100000 000"
"37","bitter",-2.57,-0.9,-0.54," 10 100010000 000"
"38","blue",-2.69,-3.6,-2.1," 10 100000000 000"
"39","bold",0.56,1.09,1.58," 10 010000000 000"
"40","boring",-0.77,-1.2,-1," 10 000100000 000"
"41","bossy",-0.58,1.03,0.67," 10 010000000 000"
"42","brave",2.1,2.18,1.43," 10 010000000 000"
"43","bright",1.04,1.2,0.25," 10 010000000 000"
"44","bright_spirited",1.34,1.08,1.89," 10 010000000 000"
"45","broad_minded",1.96,1.37,-0.8," 10 010100000 000"
"46","broken_hearted",-2.31,-0.08,-0.14," 10 100000000 000"
"47","calm",1,0.34,-3," 10 100010000 000"
