"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.2,0.33,-0.15," 10 000001000 000"
"2","adult_bookstore",-1.05,-0.8,0.625," 10 010000001 000"
"3","airplane",1.63,1.91,2.05," 10 110000000 000"
"4","airport",1.52,2.045,2.015," 10 110000000 000"
"5","air_raid",-2.6,2.325,1.47," 01 000100000 001"
"6","alley",-0.4,-0.8,-0.8," 10 100000000 000"
"7","altar",0.955,0.795,-1.1," 10 000000100 000"
"8","altar_(buddhist)",0.855,-0.15,-2," 10 000000100 000"
"9","altar_(shinto)",0.805,0.4,-1.85," 10 000000100 000"
"10","ambulance",1.55,1.54,1.8," 10 000001000 001"
"11","amusement_center",0.875,1.18,1.765," 10 110000000 000"
"12","amusement_park",1.485,1.43,2.175," 10 110000000 000"
"13","apartment",-0.25,-0.75,-0.75," 10 100000010 001"
"14","art_gallery",1.275,-0.2,-1.2," 10 010000000 000"
"15","art_museum",1.77,0.825,-1.25," 10 000010000 000"
"16","assembly",0.615,0.845,0.22," 10 100100000 000"
"17","assembly_line",0.505,0.67,1.205," 10 010000000 000"
"18","asylum",-1.8,1.1,-0.85," 10 000001000 001"
"19","atelier",1.225,-0.8,-0.85," 10 100000000 000"
"20","athletic_club",1.2,0.59,1.805," 10 100000000 101"
"21","attic",0.635,0.205,-0.25," 10 000000010 000"
"22","auction",0.435,0.805,1.41," 01 010000000 000"
"23","automobile",0.835,1.37,1.81," 10 100000000 000"
"24","bakery",0.985,-0.7,0.635," 10 010000000 000"
"25","ballet",1.17,0,0.785," 11 010010000 000"
"26","ball_game",1.01,1.22,1.95," 10 110010000 000"
"27","banquet",0.345,0.84,1.76," 01 100110110 000"
"28","barber_shop",0.47,-0.7,0.07," 10 110000000 000"
"29","barrack",-0.9,0.16,0.525," 10 001100000 000"
"30","basement",-0.65,-0.3,-1.2," 10 000000010 100"
"31","battlefield",-2.45,2.02,1.845," 10 000100000 001"
"32","beach",1.375,0.59,-0.75," 10 100000000 100"
"33","beauty_parlor",1.055,0,0.85," 10 010000000 000"
"34","bed",1.155,0.62,-0.95," 10 000001001 101"
"35","bedroom",1.26,0.07,-1.65," 10 000000011 101"
