"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.1,0.2,0," 10 000001000 000"
"2","adult_bookstore",-1.7,-1,0.4," 10 010000001 000"
"3","airplane",1.88,2.1,2.1," 10 110000000 000"
"4","airport",1.81,2.3,2.3," 10 110000000 000"
"5","air_raid",-2.9,2.7,1.6," 01 000100000 001"
"6","alley",-0.5,-1,-1," 10 100000000 000"
"7","altar",1.22,0.9,-1," 10 000000100 000"
"8","altar_(buddhist)",1.4,0.3,-2," 10 000000100 000"
"9","altar_(shinto)",1.33,0.9,-2," 10 000000100 000"
"10","ambulance",1.73,1.8,2.2," 10 000001000 001"
"11","amusement_center",1.28,1.3,2.2," 10 110000000 000"
"12","amusement_park",1.79,1.6,2.4," 10 110000000 000"
"13","apartment",-0.2,-1,-1," 10 100000010 001"
"14","art_gallery",1.49,0,-1," 10 010000000 000"
"15","art_museum",1.83,1.1,-1," 10 000010000 000"
"16","assembly",0.89,1,0.4," 10 100100000 000"
"17","assembly_line",0.84,0.4,1.2," 10 010000000 000"
"18","asylum",-2.2,1.2,-1," 10 000001000 001"
"19","atelier",1.38,-1,-1," 10 100000000 000"
"20","athletic_club",1.6,0.7,2.1," 10 100000000 101"
"21","attic",0.62,0.3,0," 10 000000010 000"
"22","auction",0.61,1,1.7," 01 010000000 000"
"23","automobile",1.39,1.7,2.2," 10 100000000 000"
"24","bakery",1.32,-1,1.1," 10 010000000 000"
"25","ballet",1.51,0.1,1," 11 010010000 000"
"26","ball_game",0.95,1.3,2.3," 10 110010000 000"
"27","banquet",0.43,1,1.8," 01 100110110 000"
"28","barber_shop",0.42,-1,0.1," 10 110000000 000"
"29","barrack",-0.8,0,0.4," 10 001100000 000"
"30","basement",-0.8,0,-1," 10 000000010 100"
"31","battlefield",-3,2.1,2," 10 000100000 001"
"32","beach",1.58,0.8,-1," 10 100000000 100"
"33","beauty_parlor",1.18,0.1,1," 10 010000000 000"
"34","bed",1.33,0.9,-1," 10 000001001 101"
"35","bedroom",1.63,0,-2," 10 000000011 101"
"36","boiler_room",0.05,-1,-1," 10 100000000 000"
"37","bookstore",1.63,0.5,-1," 10 010000000 100"
"38","boutique",1.11,0,0," 10 010000000 000"
"39","brawl",-1.6,1.5,1.9," 10 100000000 000"
"40","bus",0.39,0.6,0," 10 110000000 100"
"41","bus_stop",-0.2,0,-1," 10 100000000 100"
"42","by_road",-0.5,-1,-1," 10 100000000 100"
"43","cabaret",-1.1,0.1,1.6," 10 010000000 000"
"44","cabin",-0.8,-2,-1," 10 100000000 101"
"45","cafe",1.34,-1,-1," 10 010000000 000"
"46","cafeteria",1.37,0,0," 10 010011000 100"
"47","campground",0.76,0.7,2," 10 110000010 000"
"48","campus",1.47,1.4,1.8," 10 000010000 100"
"49","car",1.1,1.6,2.1," 10 100000000 100"
"50","casino",-0.5,1.3,1.7," 10 010000000 100"
"51","castle",1.76,1.5,-2," 10 100100010 100"
"52","cathedral",1.66,1.3,-2," 10 000000100 100"
"53","celebration",1.43,1.2,1.7," 01 100100110 000"
"54","cemetery",0.9,0.2,-2," 10 100000100 100"
"55","chapel",1.69,0.8,-2," 10 000000100 100"
"56","christmas",1.62,1.4,1.8," 01 100000110 000"
"57","church",1.4,0.9,-2," 10 000000100 100"
"58","circus",1.01,0.5,2.1," 11 010000010 000"
"59","city_hall",0.54,0.9,-1," 10 000100000 000"
"60","classroom",0.59,0.5,1.5," 10 000010000 000"
"61","clinic",1.05,0.5,-1," 10 000001000 001"
"62","clubhouse",0.38,0.2,1.7," 10 100000000 001"
"63","coal_mine",-1.6,0,0," 10 010000000 000"
"64","cocktail_lounge",1.19,0,-1," 10 010000001 000"
"65","coffee_shop",0.92,-1,-1," 10 010000000 100"
"66","committee_meeting",0.86,0.8,0.9," 01 010111100 000"
"67","company",1.35,1.6,1," 10 010000000 000"
"68","concentration_camp",-2.2,1.8,-1," 10 001100000 001"
"69","concert",1.68,1.7,2.1," 11 110010000 000"
"70","convent",0.69,0,-2," 10 000000100 100"
"71","country_club",0.09,1,0," 10 010000000 000"
"72","courtroom",1.07,2.3,-1," 10 001000000 000"
"73","cram_school",0.52,1.3,1.3," 10 000010000 000"
"74","crowd",-1.1,0.8,1.6," 01 100000000 000"
"75","customs_office",-0.2,1.9,0.1," 10 000100000 000"
"76","dance",1.37,0.4,2.1," 01 100000001 001"
"77","day_nursery",1,0,1.2," 10 010000010 000"
"78","daycare_center",1.34,0.5,0.2," 10 010010010 001"
"79","death_row",-2.1,0.8,-2," 10 001000000 100"
"80","debate",0.96,0.9,2," 01 101110000 000"
"81","dentist's_office",0.47,0.6,0," 10 000001000 000"
"82","department_store",1.49,1.5,1.6," 10 010000000 000"
"83","desert",-1,1.9,-2," 10 100000000 100"
"84","disco",0.05,1.2,2.5," 10 010000001 000"
