"","term","E","P","A","instcodes"
"1","abortion_clinic",-0.3,0.46,-0.3," 10 000001000 000"
"2","adult_bookstore",-0.4,-0.6,0.85," 10 010000001 000"
"3","airplane",1.38,1.72,2," 10 110000000 000"
"4","airport",1.23,1.79,1.73," 10 110000000 000"
"5","air_raid",-2.3,1.95,1.34," 01 000100000 001"
"6","alley",-0.3,-0.6,-0.6," 10 100000000 000"
"7","altar",0.69,0.69,-1.2," 10 000000100 000"
"8","altar_(buddhist)",0.31,-0.6,-2," 10 000000100 000"
"9","altar_(shinto)",0.28,-0.1,-1.7," 10 000000100 000"
"10","ambulance",1.37,1.28,1.4," 10 000001000 001"
"11","amusement_center",0.47,1.06,1.33," 10 110000000 000"
"12","amusement_park",1.18,1.26,1.95," 10 110000000 000"
"13","apartment",-0.3,-0.5,-0.5," 10 100000010 001"
"14","art_gallery",1.06,-0.4,-1.4," 10 010000000 000"
"15","art_museum",1.71,0.55,-1.5," 10 000010000 000"
"16","assembly",0.34,0.69,0.04," 10 100100000 000"
"17","assembly_line",0.17,0.94,1.21," 10 010000000 000"
"18","asylum",-1.4,1,-0.7," 10 000001000 001"
"19","atelier",1.07,-0.6,-0.7," 10 100000000 000"
"20","athletic_club",0.8,0.48,1.51," 10 100000000 101"
"21","attic",0.65,0.11,-0.5," 10 000000010 000"
"22","auction",0.26,0.61,1.12," 01 010000000 000"
"23","automobile",0.28,1.04,1.42," 10 100000000 000"
"24","bakery",0.65,-0.4,0.17," 10 010000000 000"
"25","ballet",0.83,-0.1,0.57," 11 010010000 000"
"26","ball_game",1.07,1.14,1.6," 10 110010000 000"
"27","banquet",0.26,0.68,1.72," 01 100110110 000"
"28","barber_shop",0.52,-0.4,0.04," 10 110000000 000"
"29","barrack",-1,0.32,0.65," 10 001100000 000"
"30","basement",-0.5,-0.6,-1.4," 10 000000010 100"
"31","battlefield",-1.9,1.94,1.69," 10 000100000 001"
"32","beach",1.17,0.38,-0.5," 10 100000000 100"
"33","beauty_parlor",0.93,-0.1,0.7," 10 010000000 000"
"34","bed",0.98,0.34,-0.9," 10 000001001 101"
"35","bedroom",0.89,0.14,-1.3," 10 000000011 101"
"36","boiler_room",0.08,-0.3,-0.3," 10 100000000 000"
"37","bookstore",1.16,0.54,-0.1," 10 010000000 100"
"38","boutique",0.73,0.04,0.61," 10 010000000 000"
"39","brawl",-0.8,1.04,1.65," 10 100000000 000"
"40","bus",0.07,0,-0.4," 10 110000000 100"
"41","bus_stop",0.05,-0.6,-0.5," 10 100000000 100"
"42","by_road",0,-0.8,-0.9," 10 100000000 100"
"43","cabaret",-0.3,0.17,1.37," 10 010000000 000"
"44","cabin",0,-1.2,-0.9," 10 100000000 101"
"45","cafe",0.95,-0.3,-0.1," 10 010000000 000"
"46","cafeteria",0.99,-0.2,0.32," 10 010011000 100"
"47","campground",0.41,0.34,1.04," 10 110000010 000"
"48","campus",0.62,0.97,1.14," 10 000010000 100"
"49","car",0.4,1.13,1.61," 10 100000000 100"
"50","casino",0.01,1.14,1.8," 10 010000000 100"
"51","castle",1.52,1.85,-1.1," 10 100100010 100"
"52","cathedral",1.16,1.25,-1.9," 10 000000100 100"
"53","celebration",1.1,0.83,1.22," 01 100100110 000"
"54","cemetery",0,-0.4,-2.3," 10 100000100 100"
"55","chapel",0.98,0.54,-1.7," 10 000000100 100"
"56","christmas",0.95,1.13,1.03," 01 100000110 000"
"57","church",0.97,0.8,-1.5," 10 000000100 100"
"58","circus",0.98,0.8,1.75," 11 010000010 000"
"59","city_hall",0.32,0.7,-0.6," 10 000100000 000"
"60","classroom",0.07,0.48,0.49," 10 000010000 000"
"61","clinic",1.04,0.27,-1," 10 000001000 001"
"62","clubhouse",0.24,0.36,0.59," 10 100000000 001"
"63","coal_mine",-0.8,0.02,-0.7," 10 010000000 000"
"64","cocktail_lounge",0.74,-0.2,0.04," 10 010000001 000"
"65","coffee_shop",0.74,-0.5,-0.5," 10 010000000 100"
"66","committee_meeting",0.41,0.48,0.28," 01 010111100 000"
"67","company",0.53,1.37,0.76," 10 010000000 000"
"68","concentration_camp",-1.7,1.46,-0.4," 10 001100000 001"
"69","concert",1.12,1.34,1.75," 11 110010000 000"
"70","convent",0.66,-0.8,-1.5," 10 000000100 100"
"71","country_club",0,0.56,-0.4," 10 010000000 000"
"72","courtroom",0.77,1.96,-1.1," 10 001000000 000"
"73","cram_school",-0.4,0.9,1.05," 10 000010000 000"
"74","crowd",-0.7,0.38,1.11," 01 100000000 000"
"75","customs_office",0.1,1.2,0.52," 10 000100000 000"
"76","dance",0.66,0.07,1.19," 01 100000001 001"
"77","day_nursery",0.56,-0.1,0.58," 10 010000010 000"
"78","daycare_center",1.04,-0.3,-0.3," 10 010010010 001"
"79","death_row",-1,0.45,-1.4," 10 001000000 100"
"80","debate",0.77,0.44,1.09," 01 101110000 000"
"81","dentist's_office",0.67,0.26,-0.1," 10 000001000 000"
