"","term","E","P","A"
"1","abandon",-1.81,-1.03,1.2
"2","abuse",-2.62,-1.96,1.13
"3","accuse",-1.88,-0.97,1.34
"4","address",1.52,1.26,-0.64
"5","admonish",2.58,2.09,-1.4
"6","advise",2.27,2.02,-1.47
"7","agree_with",1.68,0.88,-0.56
"8","aid",2.28,1.84,-1.02
"9","amuse",1.45,0.71,0.18
"10","analyze",1.62,1.11,-0.51
"11","answer",1.71,1.02,-0.92
"12","apologize_to",2.74,1.65,-1.57
"13","appeal_to",-0.79,-1.11,0.19
"14","applaud",0.84,0.09,-0.13
"15","apprehend",-1.15,-2.03,-0.86
"16","approach",1.06,0.89,-0.15
"17","argue_with",-1.44,-0.56,1.46
"18","arrest",0.52,1.38,1.47
"19","ask_about_something",1.5,1.06,-0.94
"20","ask_out",1.11,0.46,-0.28
"21","assault",-2.96,-0.84,2
"22","assist",2.81,1.97,-1.3
"23","attack",-2.11,-0.3,1.56
"24","babble_to",-1.29,-0.59,1.19
"25","banter_with",1.46,0.64,0.03
"26","baptize",-0.17,0.2,0.33
"27","bargain_with",0.18,-0.07,-0.01
"28","barter_with",-0.33,0.33,0.06
"29","bash",-2.67,0.18,2.18
"30","bawl_out",-0.61,-0.13,0.51
"31","be_intimate_with",1.75,1.09,-0.77
"32","be_sarcastic_toward",-1.71,-1.42,1.06
"33","beat_up",-2.64,-0.72,2.19
"34","beckon_to",0.07,-0.2,-0.39
"35","bed",0.22,0.51,-0.11
"36","beg",-1.17,-0.94,-0.58
"37","belittle",-2.17,-1.59,1.18
"38","bellow_at",-2.35,-1.24,1.91
"39","beseech",-0.98,-1.12,-0.05
"40","bill",0.35,0.23,-0.07
"41","bind",-1.22,0.18,0.85
"42","bite",-1.26,-0.3,1.44
"43","blabber_to",-0.51,-0.65,0.73
"44","blame",-1.4,-0.95,1.34
"45","bless",2.19,1.66,-1.2
"46","bootlick",-1.47,-1.37,0.5
"47","booze_with",-1.6,-1.22,1.1
"48","borrow_money_from",-0.03,-0.46,-0.33
"49","boss_around",-1,-0.27,0.82
"50","bow_to",-0.74,-0.84,-1.07
"51","bribe",-2.88,-2.51,0.91
"52","brief",0.66,0.57,-0.63
