"","term","E","P","A"
"1","afro_american",1.1,1.08,0.32
"2","air_force_enlistee",1.39,1.92,1.07
"3","air_force_officer",1.59,1.95,0.3
"4","air_force_reservist",1.67,1.71,0.17
"5","army_enlistee",1.3,1.26,0.23
"6","army_officer",0.71,1.75,0.86
"7","army_reservist",0.59,0.66,-0.06
"8","catholic",-0.58,-0.5,-0.04
"9","christian",-0.5,-0.56,0.07
"10","god",2.71,3.06,-0.53
"11","jew",-1.44,-1.09,0.87
"12","navy_enlistee",1.86,1.78,-0.33
"13","navy_officer",2.01,1.88,0.43
"14","protestant",-0.34,-0.47,-0.07
"15","vip",2.01,1.73,-0.46
"16","director",0.92,1.21,0.05
"17","abortionist",-1.21,-0.15,0.18
"18","adolescent",0.88,0.38,1.33
"19","adult",1.09,1.35,-0.24
"20","adulterer",-3.17,-2.25,1.61
"21","adulteress",-2.39,-1.53,1.44
"22","advisor",1.12,1.25,-0.28
"23","alcoholic",-2.15,-1.86,1.66
"24","anti_semite",-0.49,-0.05,0.35
"25","applicant",1.71,1.19,0.17
"26","assistant",2.72,2,-1.37
"27","atheist",-1.95,-1.78,0.95
"28","athlete",2.25,2.15,0.24
"29","attorney",1.18,1.37,0.38
"30","aunt",1.03,0.38,-0.46
"31","authority",1.36,1.35,0.48
"32","baby",1.81,-1.17,-0.22
"33","babysitter",1.8,0.76,-0.98
"34","bachelor",1.58,1.42,-0.08
"35","baldy",0.53,0.43,0.04
"36","battered_woman",-2.89,-2.4,2.44
"37","beginner",1.08,0.06,-1.01
"38","beloved",2.54,1.52,-0.9
"39","best_friend",2.54,1.3,-0.68
"40","big_brother",1.99,1.83,0.62
"41","big_shot",1.72,1.57,-0.04
"42","big_sister",2.01,1.34,-0.56
"43","bisexual_female",-1.28,-0.92,0.13
"44","bisexual_male",-1.81,-1.26,0.54
"45","blind_date",-0.21,-0.49,-0.11
"46","boozer",-2.25,-1.94,1.02
"47","bore",-1.08,-0.96,0.1
"48","boss",1.24,1.74,0.07
"49","boy",1.17,1.07,0.71
"50","brat",-1.62,-0.59,2.03
"51","bride",1.8,0.38,-0.13
"52","bridegroom",1.99,1.88,0.03
"53","bridesmaid",1.46,0.79,-0.3
"54","brother",2.09,1.63,-0.2
"55","brother_in_law",0.83,0.71,-0.31
"56","brute",-2.57,-0.09,2.38
"57","bum",-0.96,-1.16,0.43
"58","bureaucrat",-0.24,-0.49,-0.59
"59","businessman",1.61,1.81,0.13
"60","businesswoman",2,1.6,-0.24
"61","capitalist",0.66,1.39,0.53
"62","celebrity",1.72,1.41,0
"63","chain_smoker",-2.09,-1.4,1.12
"64","champion",2.37,2.26,-0.45
"65","chatterbox",-1.77,-1.29,2
"66","child_molester",-3.41,-2.12,2.15
"67","chum",2.4,1.45,-0.73
"68","citizen",1.55,1.35,0.16
"69","classmate",1.6,1,-0.89
"70","clergyman",-0.33,-0.78,-0.62
"71","client",1.91,1.06,-0.19
"72","co_worker",1.04,0.86,-0.46
"73","coach",1.73,1.96,1
"74","coed",2.08,1.2,-0.43
"75","colleague",1.53,1.41,-0.68
"76","companion",1.95,1.08,-0.18
"77","competitor",1.45,1.45,0.61
"78","computer_expert",2.31,2.02,-0.51
"79","confidant",2.46,2.12,-1.7
"80","conservative",1.78,1.39,-1.21
"81","consultant",1.33,1.47,-0.55
"82","convalescent",1.36,0.55,-0.49
"83","cop",0.83,1.53,0.79
"84","cousin1",1.34,0.18,-0.71
"85","cousin2",1.47,0.49,-0.14
"86","cousin3",1.26,0.74,-0.32
"87","cousin4",1.11,0.29,-0.58
"88","cousin5",1.48,0.86,-0.24
"89","cousin6",1.4,1.05,0.04
"90","cousin7",1.13,0.69,-0.43
"91","cousin8",0.87,0.32,-0.18
"92","criminal",-2.33,-1.35,1.65
"93","critic",0.75,1.06,0.34
"94","crook",-2.49,-1,1.76
"95","date",1.5,0.85,-0.46
"96","daughter",1.27,0.53,-0.37
"97","daughter_in_law",1.33,0.51,-0.12
"98","deadbeat_dad",-2.66,-2.23,1
"99","defendant",-0.69,-0.51,0.46
"100","defense_attorney",1.22,1.44,0.33
"101","delinquent",-2.05,-1.03,1.81
"102","detective",1.09,1.85,-0.59
"103","devil_worshiper",-3.3,-2.71,2.17
"104","disciplinarian",0.33,1.45,0.47
"105","divorce_lawyer",1.06,0.97,-0.49
"106","divorcee_(gender_neutral)",-0.23,-0.18,0.1
"107","do_nothing",-1.71,-1.38,-0.02
"108","doctor",2.28,1.91,-0.97
"109","dropout",-1.9,-1.4,0.77
"110","drunk",-2.34,-1.77,1.96
"111","dummy",-1.8,-1.75,0.27
"112","egghead",-1.75,-0.67,1.44
"113","elder",1.58,0.02,-1.09
"114","employee",0.94,0.79,-0.04
"115","employer",0.97,1.4,0.3
"116","enemy",-1.97,-1.28,1.32
