"","term","E","P","A"
"1","black",0.72,1.1,-0.27
"2","abusive",-0.85,-0.61,0.53
"3","accommodating",2.36,1.37,-1.51
"4","adventurous",1.82,1.78,0.87
"5","affectionate",1.71,0.51,-1.14
"6","afraid",-1.33,-1.46,-0.04
"7","aggressive",-2.41,-1.07,1.3
"8","alarmed",-1.52,-0.2,0.86
"9","aloof",-0.87,-1.01,-0.04
"10","ambitious",2.87,2.4,-0.06
"11","amused",1.87,0.65,-0.5
"12","anguished",-1.26,-0.77,-0.43
"13","antisocial",-1.24,-1.14,-1.1
"14","anxious",-1.6,-1.27,0.36
"15","apathetic",-1.38,-0.92,-0.76
"16","arrogant",-2.62,-2.05,1.73
"17","ashamed",0.36,-0.65,-1.38
"18","at_ease",2.67,2.23,-2.04
"19","authoritarian",-2.08,-0.7,1.89
"20","bitter",-1.11,-0.59,0.09
"21","bold",1.93,1.79,1
"22","bossy",0.64,1.08,0.19
"23","brave",2.34,2.31,0
"24","bright",2.6,2.13,-1.26
"25","broad_minded",2.67,2.24,-0.1
"26","broken_hearted",-2.26,-1.22,0
"27","calm",2.03,0.8,-1.61
"28","careless",-2.22,-1.63,-0.42
"29","cautious",1.78,1.44,-0.59
"30","charmed",-0.23,0.12,0.03
"31","cheerful",2.44,1.52,-0.02
"32","cheerless",-2.05,-1.71,-0.72
"33","childish",-1.07,-1.13,1.44
"34","cocky",-0.67,-0.11,0.6
"35","cold_toward_someone",-0.66,-0.09,-1.06
"36","competent",2,1.76,-0.57
"37","competitive",2.24,1.96,0.22
"38","compulsive",-1.61,-0.2,1.45
"39","conceited",-1.67,-0.79,1.35
"40","confident",2.44,2.16,-1.27
"41","conscientious",2.57,2.04,-0.31
"42","considerate",2.54,1.83,-1.33
"43","contented",2.89,2.77,-1.3
"44","cooperative",2.06,1.69,-0.81
"45","courageous",2.24,2.26,-0.1
"46","cowardly",-2.26,-2.18,-0.12
"47","cruel",-1.5,-0.09,1.13
"48","cynical",-1.6,-1,1.14
"49","daring",1.57,1.95,0.87
"50","defensive",1.49,1.49,-0.04
"51","deflated",-1.26,-0.27,0.66
"52","delighted",2.42,1.74,0.71
"53","dependable",1.99,1.23,-0.76
"54","dependent",-1.9,-1.9,-0.18
"55","despondent",-2.27,-1.16,-0.11
"56","disappointed",-1.43,-0.92,0.23
"57","discontented",-2.13,-0.79,1.18
"58","discouraged",-0.15,-0.04,0.62
"59","disgusted",-1.85,-0.71,1.04
"60","disheartened",-0.44,-0.23,-0.15
"61","displeased",-1.71,-1.64,0.83
"62","dissatisfied",-1.07,-1.1,0.36
"63","distressed",-1.47,-0.76,0.42
"64","dogmatic",-1.3,-0.77,1.57
"65","domineering",-1.41,-0.33,1.17
"66","downhearted",-1.58,-0.73,-0.81
"67","eager",-0.72,-0.03,1.33
"68","earnest",2.6,2.3,-1.04
"69","easygoing",0.16,0.06,-0.17
"70","ecstatic",1.5,0.76,-0.04
"71","egotistical",-1.95,-1.74,0.61
"72","enraged",-1.84,-0.19,2.57
"73","enthusiastic",2.23,2.18,0.94
"74","envious",-2.87,-1.91,1.46
"75","euphoric",-0.19,-0.18,0.3
"76","evil",-2.24,-0.42,1.9
"77","excited",1.13,0.51,0.97
"78","female",0.95,-0.1,-0.04
"79","feminine",-1.35,-1.42,-0.51
"80","flattered",1.41,0.76,-0.39
"81","flustered",-0.91,-0.6,-0.24
"82","foolish",-2.18,-1.95,0.05
"83","forgiving",2.48,1.64,-1.53
